code,title,units,prereqs,offered,corrupt
AFRICAM R1A,Freshman Composition,4 Units, UC Entry Level Writing Requirement,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
Training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement.",0
AFRICAM R1B,Freshman Composition,4 Units, UC Entry Level Writing Requirement and 1A,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement.",0
AFRICAM 4A,Africa: History and Culture,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems.",0
AFRICAM 4B,Africa: History and Culture,4 Units,,"Terms offered: Summer 2016 Second 6 Week Session, Spring 2016, Summer 2015 Second 6 Week Session<br/>
Emphasis on social, political, and economic change in 20th century Africa; with further emphasis upon the roles of modernization, urbanization, and the emergence of contemporary African states.",0
AFRICAM 5A,African American Life and Culture in the United States,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents.",0
AFRICAM 5B,African American Life and Culture in the United States,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Emphasis on the social experience of African Americans. An interdisciplinary approach designed to help students understand the forces and ideas that are influencing the individual and collective African American experience.",0
AFRICAM 10A,Intermediate Swahili,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading",0
AFRICAM 10B,Intermediate Swahili,4 Units, C10A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and",0
AFRICAM 11A,Elementary Swahili,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center.",0
AFRICAM 11B,Elementary Swahili,4 Units, C11A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language",0
AFRICAM 15B,Advanced Swahili,4 Units, Elementary Swahili C1A-C1B; Intermediate Swahili C10A-C10B; Advanced Swahili C15A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course reviews and expands students' knowledge from Intermediate Swahili. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, research projects with texts available through Berkeley's African Library",0
AFRICAM 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
AFRICAM 27AC,Lives of Struggle: Minorities in a Majority Culture,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The purpose of this course is to examine the many forms that the struggle of minorities can assume. The focus is on individual struggle and its outcome as reported and perceived by the individuals themselves. Members of three minority aggregates are considered: African Americans, Asian Americans (so called), and Chicano/Latino Americans. The choice of these three has to do with the different histories of members of these aggregrates. Such differences",0
AFRICAM 28AC,Globalization and Minority American Communities,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
An examination of the movement of individuals, ideas, ideologies, and institutions between minority American communities in the U.S. (African Americans, Asians, Chicanos) and their cultures of origin, in the 19th and 20th centuries. The course will utilize the concepts of ""migration,"" ""diaspora,"" ""otherness,"" ""multiculturalism,"" and ""global village"" and will draw largely on social science",0
AFRICAM 30A,Elementary Chichewa,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center.",0
AFRICAM 30B,Elementary Chichewa,4 Units, C19A,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language",0
AFRICAM 31A,Intermediate Chichewa,4 Units,,"Terms offered: Fall 2016, Fall 2011, Fall 2010<br/>
This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading",0
AFRICAM 39B,Freshman/Sophmore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Spring 2018, Fall 2010, Fall 2009<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
AFRICAM 39D,Freshman/Sophmore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Summer 2016 10 Week Session, Spring 2013, Fall 2012<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
AFRICAM 98,Directed Group Studies for Freshmen and Sophomores,1 - 4 Units,,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
Supervised research on specific topics related to African American Studies.",0
AFRICAM 98BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
AFRICAM 100,Black Intellectual Thought,4 Units, Reading and composition requirement,"Terms offered: Spring 2018, Summer 2017, Fall 2016<br/>
This course, lets students explore the status of African American studies as a discipline. The class will discuss the social relevance of African American studies, the political origins of the discipline, and the debate over Afrocentricity. Special attention will be devoted to the contributions of black feminist theory and community scholars/organic intellectuals to the development of the discipline.",0
AFRICAM 101,Research Methods for African American Studies,4 Units, Introductory statistics,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods.",0
AFRICAM 109,Black and Male in American Life,3 Units, Upper division status,"Terms offered: Spring 2016, Fall 2014, Spring 2013<br/>
The course examines ways gender and race constructions shape the lives of African American males. Developmental in design, we examine black males in the context of childhood, adolescence, gender relations and family, and the world of work.",0
AFRICAM 111,"Race, Class, and Gender in the United States",3 Units, Reading and composition requirement,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Emphasis on social history and comparative analysis of race, class, and gender relations in American society. Examines both similarities and differences, and highlights gender politics.",0
