code,title,units,prereqs,offered,corrupt
AMERSTD 5,Keywords in American Studies,1 Unit,,"Terms offered: Summer 2016 10 Week Session, Summer 2016 3 Week Session<br/>
Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture and Society, and the recent Keywords of American Cultural Studies (Burgett and Hendler), this course will provide a short and focused introduction to central terms and debates in American Studies. The goal is: (1) to enable each student to develop a critical understanding of a key concept such as “Race,” “Representation,” “Class,” and “Democracy':",0
AMERSTD 10,Introduction to American Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 Second 6 Week Session<br/>
American culture and cultural change, with attention to the multicultural basis of American society and emphasis on the need for multiple methods of analysis. The course will consistently draw on the arts, material culture, and various fields affecting cultural production and meaning. Those areas include literature, film, history, architecture, history of art, religion, music, engineering, environmental studies, anthropology",0
AMERSTD 24,Freshman Seminar,1 Unit,,"Terms offered: Fall 2017, Fall 2009, Fall 2007<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
AMERSTD 101,Examining U.S. Cultures in Time,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course examines how U.S. cultures are constructed, reinforced, and changed, and how those cultures act simultaneously at a given time. To help students develop skills in cultural analysis, lectures will contrast various methods and perspectives as they apply to the study of a particular year or decade. Topics will vary from semester to semester. This course may include discussion sections depending on available funding. Some versions of",0
AMERSTD 101AC,Examining U.S. Cultures in Time,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
This course examines how U.S. cultures are constructed, reinforced, and changed, and how those cultures act simultaneously at a given time. To help students develop skills in cultural analysis, lectures will contrast various methods and perspectives as they apply to the study of a particular year or decade. Topics will vary from semester to semester.",0
AMERSTD 102,Examining U.S. Cultures in Place,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course examines how U.S. cultures are constructed, reinforced, and changed--particularly in reference to place and material culture. Qualitative and quantitative methods of analysis drawn from several disciplines will help students develop skills in cultural interpretation. Case studies may focus on a neighborhood, a city, or a region. Topics will vary from semester to semester. This course may include discussion sections depending on",0
AMERSTD 110,Special Topics in American Studies,3 or 4 Units,,"Terms offered: Spring 2017, Fall 2011, Fall 2010<br/>
This course is designed primarily to allow faculty to develop focused interdisciplinary courses which address specific issues, themes, or problems in American society. Topics vary from semester to semester. Students should consult the department's webpage for current offerings before the start of the semester.",0
AMERSTD H110,Honors Seminar: Special Topics in American Studies,3 - 4 Units, Consent of instructor may be required,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is designed to introduce honors students (those who have achieved a minimum overall GPA of 3.3) to the history and theory of American studies as an interdisciplinary field and to explore current themes, debates, and researh problems in American studies.",0
AMERSTD C111E,Topics in American Studies,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
A course on the intellectual, cultural, historical, and social backgrounds to American literature. Topics will vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester.",0
AMERSTD C112B,"American Cultural Landscapes, 1900 to Present",4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
Introduces ways of seeing and interpreting American histories and cultures, as revealed in everyday built surroundings--homes, highways, farms, factories, stores, recreation areas, small towns, city districts, and regions. Encourages students to read landscapes as records of past and present social relations, and to speculate for themselves about cultural meaning.",0
