code,title,units,prereqs,offered,corrupt
ASAMST R2A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
Through the study of the literary, political, social and psychological dimensions of representative works of Asian American literature, this course introduces students to close textual analysis, fosters critical judgment, and reinforces academic writing skills. Satisfies the first half of the Reading and Composition requirement.",0
ASAMST R2B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course examines literary works by Asian American, African American, Chicano, and Native American writers in their political and social contexts, focusing on similarities and differences between the experiences of ethnic minorities in the U.S. Emphasis is on literary interpretation and sustained analytical writing. Satisfies the second half of the Reading and Composition requirement.",0
ASAMST 20A,Introduction to the History of Asians in the United States,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Introductory comparative analysis of the Asian American experience from 1848 to present. Topics include an analysis of the Asian American perspective; cultural roots; immigration and settlement patterns; labor, legal, political, and social history.",0
ASAMST 20AC,Asian American Communities and Race Relations,4 Units,,"Terms offered: Fall 2016, Fall 2015<br/>
This course will be a survey of contemporary issues affecting the Asian American community. We will look at the different theories that explain the current status of Asian Americans and the interrelationship between the Asian American community, nation, and world. The course will focus on the issue of race relations, the commonalities and differences between Asian Americans and other race and ethnic groups.",0
ASAMST 20C,Cultural Politics and Practices in Asian American Communities,4 Units,,"Terms offered: Fall 2017, Fall 2014, Fall 2013<br/>
Analysis of social, intellectual, and artistic currents in Asian American communities. Focus will be on social practices, popular culture, the arts and expression (e.g. language and literature), and the historical and political contexts in which they are produced and consumed.",0
ASAMST W20AC,Asian American Communities and Race Relations,4 Units,,"Terms offered: Summer 2018 8 Week Session, Fall 2017<br/>
This course will be a survey of contemporary issues affecting the Asian American community. We will look at the different theories that explain the current status of Asian Americans and the interrelationship between the Asian American community, nation, and world. The course will focus on the issue of race relations, the commonalities and differences between Asian Americans and other race and ethnic groups.",0
ASAMST 24,Freshman Seminar,1 Unit,,"Terms offered: Fall 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
ASAMST 97,Field Studies in Asian American Communities,1 - 3 Units, Restricted to freshmen and sophomores; consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
University organized and supervised field program involving experiences in schools, school-related activities, community and community-related activities.",0
ASAMST 98,Supervised Group Study,1 - 3 Units, Restricted to freshmen and sophomores; consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Group study of selected topics which will vary from semester to semester.",0
ASAMST 99,Supervised Independent Study and Research,1 - 4 Units, Consent of instuructor; limited to freshman and sophmores. Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual research on a topic which leads to the writing of a major paper. Regular meetings with faculty sponsor.",0
ASAMST 121,Chinese American History,4 Units, 20A or equivalent,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Chinese American history, 1848 to present. Topics include influence of traditional values, Eastern and Western; patterns of immigration and settlement; labor history; the influence of public policy, foreign and domestic, on the Chinese individual and community.",0
ASAMST 122,Japanese American History,4 Units, 20A or equivalent,"Terms offered: Spring 2018, Fall 2015, Fall 2014<br/>
This course will be presented as a proseminar with selected topics in order to give students an opportunity to participate in the dynamics of the study of Japanese American history. Topics include immigration, anti-Japanese racism, labor, concentration camps, agriculture, art and literature, and personality and culture.",0
ASAMST 124,Filipino American History,4 Units, 20A or equivalent,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Topics include consequences of the Spanish-American War on Filipino emigration; conditions in Hawaii and California and the need for Filipino labor; community development; changing relations between the U.S. and the Philippines; effects ofthe independence movement and World War II on Filipino Americans; and contemporary issues.",0
ASAMST 125,Contemporary Issues of Southeast Asian Refugees in the U.S,4 Units, 20A or equivalent,"Terms offered: Fall 2016, Fall 2013, Fall 2012<br/>
This course will introduce students to the sociocultural, economic, educational, and political issues facing Southeast Asian refugees in the U.S. While the course focus is on the Asian American experience, references will be made to the pre-migration experiences and histories of the Southeast Asian refugee groups. The processes and problems in the formulation of refugee programs and services in the U.S. also will be addressed in their implications",0
ASAMST 128AC,Muslims in America,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course traces Islam's journey in America. It will deal with the emergence of identifiable Muslim communities throughout the U.S. and focus on patterns of migration, the ethnic makeup of such communities, gender dynamics, political identity, and cases of conversion to Islam. The course will spend considerable time on the African American, Indo-Pakistani, and Arab American Muslim communities since they constitute the largest groupings. It also",0
ASAMST 131,Asian Diaspora(s) from an Asian American Perspective,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Analyzes the global presence of an Asian group with a significant U.S. population: migration/settlement history, transnational economic/political/cultural interactions between diasporic communities and with land of origin, impact on Asian American community/identity formation. Instructor selects group(s).",0
