code,title,units,prereqs,offered,corrupt
BIO ENG 10,Introduction to Biomedicine for Engineers,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is intended for lower division students interested in acquiring a foundation in biomedicine with topics ranging from evolutionary biology to human physiology. The emphasis is on the integration of engineering applications to biology and health. The goal is for undergraduate engineering students to gain sufficient biology and human physiology fundamentals so that they are better prepared to study specialized topics, e.g., biomechanics",0
BIO ENG 11,Engineering Molecules 1,3 Units, Chemistry 3A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course focuses on providing students with a foundation in organic chemistry and biochemistry needed to understand contemporary problems in synthetic biology, biomaterials and computational biology.",0
BIO ENG 24,Freshmen Seminar,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
BIO ENG 25,Careers in Biotechnology,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This introductory seminar is designed to give freshmen and sophomores an opportunity to explore specialties related to engineering in the pharmaceutical/biotech field. A series of one-hour seminars will be presented by industry professionals, professors, and researchers. Topics may include biotechnology and pharmaceutical manufacturing; process and control engineering; drug inspection process; research and development; compliance and validation;",0
BIO ENG 26,Introduction to Bioengineering,1 Unit,,"Terms offered: Fall 2017<br/>
This introductory seminar is designed to give freshmen and sophomores a glimpse of a broad selection of bioengineering research that is currently underway at Berkeley and UCSF. Students will become familiar with bioengineering applications in the various concentration areas and see how engineering principles can be applied to biological and medical problems.",0
BIO ENG 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2013<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
BIO ENG 98,Supervised Independent Group Studies,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Organized group study on various topics under the sponsorship of a member of the Bioengineering faculty.",0
BIO ENG 99,Supervised Independent Study and Research,1 - 4 Units, Freshman or sophomore standing and consent of instructor,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
Supervised independent study for lower division students.",0
BIO ENG 100,Ethics in Science and Engineering,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The goal of this semester course is to present the issues of professional conduct in the practice of engineering, research, publication, public and private disclosures, and in managing professional and financial conflicts. The method is through historical didactic presentations, case studies, presentations of methods for problem solving in ethical matters, and classroom debates on contemporary ethical issues. The faculty will be drawn from national",0
BIO ENG 101,Instrumentation in Biology and Medicine,4 Units," El Eng 16A & 16B, Math 53, 54, Physics 7A-7B, or consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course teaches the fundamental principles underlying modern sensing and control instrumentation used in biology and medicine. The course takes an integrative analytic and hands-on approach to measurement theory and practice by presenting and analyzing example instruments currently used for biology and medical research, including EEG, ECG, pulsed oximeters, Complete Blood Count (CBC), etc.",0
BIO ENG 102,Biomechanics: Analysis and Design,4 Units," Math 53, 54; Physics 7A","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course introduces, develops and applies the methods of continuum mechanics to biomechanical phenomena abundant in biology and medicine. It is intended for upper level undergraduate students who have been exposed to vectors, differential equations, and undergraduate course(s) in physics and certain aspects of modern biology.<br/>",0
BIO ENG 103,Engineering Molecules 2,4 Units," Bio1ogy 1A or Bioengineering 11, Physics 7A-7B, Math 1A, 1B, 53, 54","Terms offered: Fall 2017, Fall 2016<br/>
Thermodynamic and kinetic concepts applied to understanding the chemistry and structure of biomolecules (proteins, membranes, DNA, and RNA) and their thermodynamic and kinetic features in the crowded cellular environment. Topics include entropy, bioenergetics, free energy, chemical potential, reaction kinetics, enzyme kinetics, diffusion and transport, non-equilibrium systems, and their connections to the cellular environment.",0
BIO ENG 104,Biological Transport Phenomena,4 Units," Mathematics 53, 54, and Physics 7A","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The transport of mass, momentum, and energy are critical to the function of living systems and the design of medical devices. Biological transport phenomena are present at a wide range of length scales: molecular, cellular, organ (whole and by functional unit), and organism. This course develops and applies scaling laws and the methods of continuum mechanics to biological transport phenomena over a range of length and time scales. The course",0
BIO ENG C106A,Introduction to Robotics,4 Units," Electrical Engineering 120 or equivalent, consent of instructor","Terms offered: Fall 2017<br/>
An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course covers forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion detection. The course concludes with current applications of robotics in",0
BIO ENG C106B,Robotic Manipulation and Interaction,4 Units, Electrical Engineering and Computer Science C106A/Bioengineering C106A or consent of the instructor,"Terms offered: Spring 2018<br/>
This course is a sequel to <a class=""bubblelink code"" href=""/search/?P=EECS%20C106A"" onclick=""return showCourse(this, 'EECS C106A');"" title=""EECS C106A"">EECS C106A</a>/Bioengineering C106A, which covers kinematics, dynamics and control of a single robot. This course will cover dynamics and control of groups of robotic manipulators coordinating with each other and interacting with the environment. Concepts will include an introduction to grasping and the constrained manipulation, contacts and force control for interaction with the environment. We will also cover active perception guided manipulation",0
BIO ENG 110,Biomedical Physiology for Engineers,4 Units," BioE 10, BioE 11 or Biology 1A; Math 54 recommended","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course introduces students to the physiology of human organ systems, with an emphasis on quantitative problem solving, engineering-style modeling, and applications to clinical medicine.",0
BIO ENG 111,Functional Biomaterials Development and Characterization,4 Units," Chemistry 1A or 4A, Bio Eng 11 or Biology 1A; Bio Eng 103 or equivalent","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is intended for upper level engineering undergraduate students interested in the development of novel functional proteins and peptide motifs and characterization of their physical and biological properties using various instrumentation tools in quantitative manners. The emphasis of the class is how to develop novel proteins and peptide motifs, and to characterize their physical and biological functions using various analytical",0
BIO ENG C112,Molecular Biomechanics and Mechanobiology of the Cell,4 Units, Math 54; Physics 7A; BioE102 or MEC85 or instructor’s consent,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
This course applies methods of statistical continuum mechanics to subcellar biomechanical phenomena ranging from nanoscale (molecular) to microscale (whole cell and cell population) biological processes at the interface of mechanics, biology, and chemistry.",0
BIO ENG 114,Cell Engineering,4 Units, Bio1A or Bio Eng 11; or consent of instructor,"Terms offered: Fall 2017, Fall 2016<br/>
This course will teach the main concepts and current views on key attributes of animal cells (somatic, embryonic, pluripotent, germ-line; with the focus on mammalian cells), will introduce theory of the regulation of cell function, methods for deliberate control of cell properties and resulting biomedical technologies. Techniques for primary cell-line derivation, propagation characterization and therapeutic use (transplantation and drug-screening) will be",0
BIO ENG 115,Cell Biology for Engineers,4 Units," Bioengineering 103 or equivalent, Bioengineering 114 recommended (can be taken concurrently)","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course aims to provide a practical understanding of the nature of cell and tissue biology research. Students will be introduced to cell biology techniques as applied to cells and tissues including immunofluorescence, image analysis, protein quantification, protein expression, gene expression, and cell culture. The course culminates with a group project which synthesizes literature review, experimental design, implementation, troubleshooting",0
BIO ENG 116,Cell and Tissue Engineering,4 Units," BioE 103 or equivalent, BioE 104","Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
The goal of tissue engineering is to fabricate substitutes to restore tissue structure and functions. Understanding cell function in response to environmental cues will help us to establish design criteria and develop engineering tools for tissue fabrication. This course will introduce the basic concepts and approaches in the field, and train students to design and engineer biological substitutes.",0
BIO ENG C117,Structural Aspects of Biomaterials,4 Units," Biology 1A, Engineering 45, Civil and Environmental Engineering 130 or 130N or Bioengineering 102, and Engineering 190","Terms offered: Spring 2018, Spring 2016, Fall 2013<br/>
This course covers the structure and mechanical functions of load bearing tissues and their replacements. Natural and synthetic load-bearing biomaterials for clinical applications are reviewed. Biocompatibility of biomaterials and host response to structural implants are examined. Quantitative treatment of biomechanical issues and constitutive relationships of tissues are covered in order to design biomaterial replacements for structural function.",0
BIO ENG C118,Biological Performance of Materials,4 Units, Engin 45; BioE 103 or equivalent; BioE 102 and BioE 104 recommended,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
This course is intended to give students the opportunity to expand their knowledge of topics related to biomedical materials selection and design. Structure-property relationships of biomedical materials and their interaction with biological systems will be addressed. Applications of the concepts developed include blood-materials compatibility, biomimetic materials, hard and soft tissue-materials interactions, drug delivery, tissue engineering",0
BIO ENG C119,Orthopedic Biomechanics,4 Units," Mechanical Engineering C85, Civil Engineering C30, or Bioengineering 102, or equivalent; concurrent enrollment OK. Proficiency in MatLab or equivalent. Prior knowledge of biology or anatomy is not assumed","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Statics, dynamics, optimization theory, composite beam theory, beam-on-elastic foundation theory, Hertz contact theory, and materials behavior. Forces and moments acting on human joints; composition and mechanical behavior of orthopedic biomaterials; design/analysis of artificial joint, spine, and fracture fixation prostheses; musculoskeletal tissues including bone, cartilage, tendon, ligament, and muscle; osteoporosis and fracture-risk predication",0
BIO ENG 121,BioMEMS and Medical Devices,4 Units, Chemistry 3A; Physics 7A and 7B,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Biophysical and chemical principles of biomedical devices, bionanotechnology, bionanophotonics, and biomedical microelectromechanical systems (BioMEMS). Topics include basics of nano- and microfabrication, soft-lithography, DNA arrays, protein arrays, electrokinetics, electrochemical, transducers, microfluidic devices, biosensor, point of care diagnostics, lab-on-a-chip, drug delivery microsystems, clinical lab-on-a-chip, advanced biomolecular",0
BIO ENG 121L,BioMems and BioNanotechnology Laboratory,4 Units," BioE 103 or equivalent, BioE 104","Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
Students will become familiar with BioMEMS and Lab-on-a-Chip research. Students will design and fabricate their own novel micro- or nano-scale device to address a specific problem in biotechnology using the latest micro- and nano-technological tools and fabrication techniques. This will involve an intensive primary literature review, experimental design, and quantitative data analysis. Results will be presented during class presentations and",0
BIO ENG 124,Basic Principles of Drug Delivery,3 Units, BioE 103 or equivalent,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course focuses on providing students with the foundations needed to understand contemporary literature in drug delivery. Concepts in organic chemistry, biochemistry, and physical chemistry needed to understand current problems in drug delivery are emphasized.",0
BIO ENG C125,Introduction to Robotics,4 Units," EE 120 or equivalent, consent of instructor","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course covers forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion detection. The course concludes with current applications",0
BIO ENG C125B,Robotic Manipulation and Interaction,4 Units, Electrical Engineering C106A/Bioengineering C125 or consent of the instructor,"Terms offered: Spring 2017, Spring 2016<br/>
This course is a sequel to Electrical Engineering C106A/Bioengineering C125, which covers kinematics, dynamics and control of a single robot. This course will cover dynamics and control of groups of robotic manipulators coordinating with each other and interacting with the environment. Concepts will include an introduction to grasping and the constrained manipulation, contacts and force control for interaction with the environment. We will also cover",0
BIO ENG 131,Introduction to Computational Molecular and Cell Biology,4 Units," BioE 11 or Bio 1A (may be taken concurrently), Math 53","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Topics include computational approaches and techniques to gene structure and genome annotation, sequence alignment using dynamic programming, protein domain analysis, RNA folding and structure prediction, RNA sequence design for synthetic biology, genetic and biochemical pathways and networks, UNIX and scripting languages, basic probability and information theory. Various ""case studies"" in these areas are reviewed; web-based computational",0
BIO ENG 132,Genetic Devices,4 Units," Engineering 7 or Computer Science 61A, Mathematics 54, Chemistry 3A, and BioE 103 or equivalent","Terms offered: Spring 2018, Fall 2014, Fall 2013<br/>
This senior-level course is a comprehensive survey of genetic devices. These DNA-based constructs are comprised of multiple ""parts"" that together encode a higher-level biological behavior and perform useful human-defined functions. Such constructs are the engineering target for most projects in synthetic biology. Included within this class of constructs are genetic circuits, sensors, biosynthetic pathways, and microbiological funct",0
BIO ENG 134,Genetic Design Automation,4 Units, CS61B; BioEng 103 or equivalent,"Terms offered: Fall 2017<br/>
Genetic Design Automation is the use of software to design and manage genetics experiments. This course introduces the interface between object-oriented programming and wetlab synthetic biology in a hands-on manner. Through a series of programming assignments, each student will build a computer program that automatically designs experiments starting from a formal specification. They will then independently build a new software module of their own design to augment the",0
