code,title,units,prereqs,offered,corrupt
BUDDSTD 50,Introduction to the Study of Buddhism,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2011 Second 6 Week Session<br/>
This course will consider materials drawn from various Buddhist traditions of Asia, from ancient times to the present day. However, it is not intended to be a comprehensive or systematic survey; rather than aiming at breadth, it is designed around key themes such as ritual, image veneration, mysticism, meditation, and death. The overarching emphasis throughout the course will",0
BUDDSTD C50,Introduction to the Study of Buddhism,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This introduction to the study of Buddhism will consider materials drawn from various Buddhist traditions of Asia, from ancient times down to the present day. However, the course is not intended to be a comprehensive or systematic survey; rather than aiming at breadth, the course is designed around key themes such as ritual, image veneration, mysticism, meditation, and death. The overarching emphasis throughout the course will be on the hermeneutic",0
BUDDSTD C113,Buddhist Thought in India,4 Units,,"Terms offered: Fall 2016<br/>
This course is an advanced introduction to the major teachings of Indian Buddhism and their philosophical elaborations. We will cover the core tenets attributed to the Buddha, and the later doctrinal and scholastic developments that turned Buddhism into one of the principal philosophical traditions of India. For this we will read select primary sources—in principle, extracts of the scriptures and later treatises—and academic articles and book chapters. Rather than offering",0
BUDDSTD 114,Tibetan Buddhism,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
This course is a broad introduction to the history, doctrine, and culture of the Buddhism of Tibet. We will begin with the introduction of Buddhism to Tibet in the eighth century and move on to the evolution of the major schools of Tibetan Buddhism, Tibetan Buddhist literature, ritual and monastic practice, the place of Buddhism in Tibetan political history and the contemporary situation",0
BUDDSTD C114,Tibetan Buddhism,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
This course is a broad introduction to the history, doctrine, and culture of the Buddhism of Tibet. We will begin with the introduction of Buddhism to Tibet in the eighth century and move on to the evolution of the major schools of Tibetan Buddhism, Tibetan Buddhist literature, ritual and monastic practice, the place of Buddhism in Tibetan political history, and the contemporary situation of Tibetan Buddhism both inside and outside of Tibet.",0
BUDDSTD C115,Japanese Buddhism,4 Units,,"Terms offered: Spring 2017, Fall 2015, Fall 2013<br/>
A critical survey of the main themes in the history of Japanese Buddhism as they are treated in modern scholarship. The course covers the transmission of Buddhism from China and Korea to Japan; the subsequent evolution in Japan of the Tendai, Shingon, Pure Land, Nichiren, and Zen schools of Buddhism; the organization and function of Buddhist institutions (monastic and lay) in Japanese society; the interaction between Buddhism and other modes",0
BUDDSTD C116,Buddhism in China,4 Units,,"Terms offered: Spring 2018, Spring 2015<br/>
This course is an introduction to the history of Buddhism in China from its beginnings in the early centuries CE to the present day. Through engagement with historical scholarship, primary sources in translation, and Chinese Buddhist art, we will explore the intellectual history and cultural impact of Buddhism in China. Students will also be introduced to major issues in the institutional history of Buddhism, the interactions between Buddhism and indigenous",0
BUDDSTD C117,Mongolian Buddhism,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course covers the history of Mongolian Buddhism from its inception in the Yuan dynasty to the present. The importance of Mongolian Buddhism to the greater dharma lies not only with the ways of its priests but also with the means of its patrons, the Mongol aristocracy, in forging a distinctive tradition in Inner Asia and disseminating it throughout the world. While maintaining a historical thread throughout, this course will examine in",0
BUDDSTD C120,Buddhism on the Silk Road,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course will discuss the social, economic, and cultural aspects of Buddhism as it moved along the ancient Eurasian trading network referred to as the “Silk Road”. Instead of relying solely on textual sources, the course will focus on material culture as it offers evidence concerning the spread of Buddhism. Through an examination of the Buddhist archaeological remains of the Silk Road, the course will address specific topics, such as the symbiotic",0
BUDDSTD C128,Buddhism in Contemporary Society,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A study of the Buddhist tradition as it is found today in Asia. The course will focus on specific living traditions of East, South, and/or Southeast Asia. Themes to be addressed may include contemporary Buddhist ritual practices; funerary and mortuary customs; the relationship between Buddhism and other local religious traditions; the relationship between Buddhist institutions and the state; Buddhist monasticism and its relationship to the",0
BUDDSTD C132,Pure Land Buddhism,4 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
This course will discuss the historical development of the Pure Land school of East Asian Buddhism, the largest form of Buddhism practiced today in China and Japan. The curriculum is divided into India, China, and Japan sections, with the second half of the course focusing exclusively on Japan where this form of religious culture blossomed most dramatically, covering the ancient, medieval, and modern periods. The curriculum will begin with a reading",0
BUDDSTD C140,Readings in Chinese Buddhist Texts,4 Units," Chinese 110A; or one semester of classical Chinese. Prior background in Buddhist history and thought is helpful, but not required","Terms offered: Spring 2016, Spring 2014, Fall 2009<br/>
This course is an introduction to the study of medieval Buddhist literature written in classical Chinese. We will read samples from a variety of genres, including early Chinese translations of Sanskrit and Central Asian Buddhist scriptures, indigenous Chinese commentaries, philosophical treatises, and sectarian works, including Chan (Zen koans). The course will also serve as an introduction to resource materials used in the study of Chinese",0
BUDDSTD C141,Introductory Readings in Japanese Buddhist Texts,4 Units," Japanese 120. One semester of classical Japanese. Prior background in Buddhist history and thought is helpful, but not required","Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
This course is an introduction to the study of medieval Buddhist literature written in Classical Japanese in its wabun (aka bungo) and kanbun forms (including kakikudashi). The class will read samples from a variety of genres, including material written in China that are read in an idiosyncratic way in Japan. Reading materials will include Chinese translations of Sanskrit and Central Asian Buddhist scriptures, scriptural commentaries written",0
BUDDSTD 150,The Origins and Development of Buddhist Art in South Asia,4 Units,,"Terms offered: Fall 2017, Spring 2016<br/>
Rather than offering a comprehensive survey, this course deals with select themes that shed light on the origins, development and diffusion of Buddhist art chronologically and geographically through a combined study that considers the archaeological record (excavations, coins, etc.), key religious texts and epigraphy. Typical themes will be the early notion of aniconism and the evolution of iconic art (Buddha and bodhisattva images); the depiction of Jatakas",0
BUDDSTD 190,Topics in the Study of Buddhism,4 Units, Some prior study of Buddhism or Asian culture is recommended,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
This course will focus on specific themes, developments, and issues in the study of Buddhism. The course is intended to supplement our regular curricular offerings, and the content will change from semester to semester.",0
BUDDSTD 200,Proseminar in Buddhist Studies,1 Unit, Graduate standing in the Buddhist Studies Ph.D. program or consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This seminar provides an opportunity for all students and faculty in the Group in Buddhist Studies to gather together on a regular basis to discuss recent theoretically significant works in the field of Buddhist Studies, as well as pertinent and important works in related disciplines (anthropology, art history, literature, history, philosophy, and religious studies). The content of the course will be adjusted from semester to semester so as",0
BUDDSTD C215,Readings in Indian Buddhist Texts,2 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This graduate seminar focuses on reading a wide spectrum of Indian Buddhist texts in the Sanskrit (or Pali) original introducing the students to different genres, and different aspects of Indian Buddhism. The students taking the course for two units (rather than four) will be expected to prepare thoroughly every week for the reading of Buddhist texts in the original. They will also be expected to read all related secondary literature that is",0
BUDDSTD 220,Seminar in Buddhism and Buddhist Texts,2 or 4 Units, Consent of instructor,"Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
Content varies with student interest and needs. The course will normally focus on classical Buddhist texts that exist in multiple recensions and languages, including Chinese, Sanskrit, and Tibetan.",0
BUDDSTD C220,Seminar in Buddhism and Buddhist Texts,2 or 4 Units,,"Terms offered: Fall 2016, Fall 2014, Fall 2013<br/>
Content varies with student interests. The course will normally focus on classical Buddhist texts that exist in multiple recensions and languages, including Chinese, Sanskrit, and Tibetan.",0
BUDDSTD C223,Readings in Chinese Buddhist Texts,2 or 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This seminar is an intensive introduction to various genres of Buddhist literature in classical Chinese, including translations of Sanskrit and Central Asian scriptures. Chinese commentaries, philosophical treatises, hagiographies, and sectarian works. It is intended for graduate students who already have some facility in classical Chinese. It will also serve as a tools and methods course, covering the basic reference works and secondary scholarship",0
BUDDSTD C224,Readings in Tibetan Buddhist Texts,2 or 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017, Fall 2016<br/>
This seminar provides an introduction to a broad range of Tibetan Buddhist texts, including chronicles and histories, biographical literature, doctrinal treatises, canonical texts, ritual manuals, pilgrimage guides, and liturgical texts. It is intended for graduate students interested in premodern Tibet from any perspective. Students are required to do all of the readings in the original classical Tibetan. It will also serve as a",0
BUDDSTD C225,Readings in Japanese Buddhist Texts,2 or 4 Units, Consent of instructor,"Terms offered: Fall 2017, Fall 2014, Spring 2014<br/>
This seminar serves as an introduction to a broad range of Japanese Buddhist literature belonging to different historical periods and genres, including liturgical texts; monastic records, rules, and ritual manuals; doctrinal treatises; biographies of monks; and histories of Buddhism in Japan. Students are required to do all the readings in the original languages, which are classical Chinese (Kanbun) and classical Japanese. It will also serve",0
BUDDSTD 250,Art and Archaeology of Buddhism,2 or 4 Units,,"Terms offered: Fall 2017, Spring 2015<br/>
This seminar offers a multidisciplinary approach to the origins, development, and diffusion of Buddhist art and archaeology in South, Central and Southeast Asia. Seminar content will vary from year to year depending on faculty and graduate student research interests. Topics may include the early archaeological and numismatic record, aniconic and figurative depictions of the Buddha and Buddhist deities, painted and sculpted narratives, studies of particular",0
BUDDSTD 298,Directed Study for Graduate Students,1 - 8 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Special tutorial or seminar on selected topics not covered by available courses or seminars.",0
BUDDSTD 299,Thesis Preparation and Related Research,1 - 8 Units, Consent of thesis supervisor and graduate adviser,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>",0
BUDDSTD 601,Individual Study for Master's Students,1 - 8 Units, Consent of graduate adviser,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual study for the comprehensive or language requirements in consultation with the graduate adviser. Units may not be used to meet either unit or residence requirements for a master's degree.",0
BUDDSTD 602,Individual Study for Doctoral Students,1 - 8 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare for various examinations required of candidates for the Ph.D.",0
