code,title,units,prereqs,offered,corrupt
CHEM 1A,General Chemistry,3 Units, High school chemistry recommended,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Stoichiometry of chemical reactions, quantum mechanical description of atoms, the elements and periodic table, chemical bonding, real and ideal gases, thermochemistry, introduction to thermodynamics and equilibrium, acid-base and solubility equilibria, introduction to oxidation-reduction reactions, introduction to chemical kinetics.",0
CHEM 1AD,General Chemistry (Digital),3 Units, High school chemistry recommended,"Terms offered: Spring 2016<br/>
An interactive general chemistry course that uses modern digital technology, offered in a smaller classroom setting to facilitate student participation and foster an engaging learning environment. Topics cover the Chemistry 1A curriculum, ranging from quantum mechanics and interactions of atoms and molecules to properties and equilibria of bulk materials. The course involves a blend of classroom lectures and peer learning with substantial web-based assignments and",0
CHEM 1AL,General Chemistry Laboratory,1 Unit, 1A (may be taken concurrently),"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
An experimental approach to chemical sciences with emphasis on developing fundamental, reproducible laboratory technique and a goal of understanding and achieving precision and accuracy in laboratory experiments. Proper use of laboratory equipment and standard wet chemical methods are practiced. Areas of investigations include chemical equilibria, spectroscopy, nanotechnology, green chemistry, and thermochemistry. Concurrent",0
CHEM 1B,General Chemistry,4 Units," Chemistry 1A and Chemistry 1AL or equivalent, or a score of 3, 4, or 5 on the Chemistry AP test","Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
Introduction to chemical kinetics, electrochemistry, properties of the states of matter, binary mixtures, thermodynamic efficiency and the direction of chemical change, quantum mechanical description of bonding introduction to spectroscopy. Special topics: Research topics in modern chemistry and biochemistry, chemical engineering.",0
CHEM 3A,Chemical Structure and Reactivity,3 Units," 1A with a grade of C- or higher, or a score of 4 or 5 on the Chemistry AP test","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Introduction to organic chemical structures, bonding, and chemical reactivity. The organic chemistry of alkanes, alkyl halides, alcohols, alkenes, alkynes, and organometallics.",0
CHEM 3AL,Organic Chemistry Laboratory,2 Units," 1A and 1AL or equivalent with a grade of C- or higher, or a score of 4 or 5 on Chemistry AP test; 3A (may be taken concurrently)","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Introduction to the theory and practice of methods used in the organic chemistry laboratory. An emphasis is placed on the separation and purification of organic compounds. Techniques covered will include extraction, distillation, sublimation, recrystalization, and chromatography. Detailed discussions and applications of infrared and nuclear magnetic resonance spectroscopy will be included.",0
CHEM 3B,Chemical Structure and Reactivity,3 Units, 3A with a grade of C- or higher,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Conjugation, aromatic chemistry, carbonyl compounds, carbohydrates, amines, carboxylic acids, amino acids, peptides, proteins, and nucleic acid chemistry. Ultraviolet spectroscopy and mass spectrometry will be introduced.",0
CHEM 3BL,Organic Chemistry Laboratory,2 Units, 3AL; 3B (may be taken concurrently),"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
The synthesis and purification of organic compounds will be explored. Natural product chemistry will be introduced. Advanced spectroscopic methods including infrared, ultraviolet, and nuclear magnetic resonance spectroscopy and mass spectrometry will be used to analyze products prepared and/or isolated. Qualitative analysis of organic compounds will be covered.",0
CHEM N3AL,Organic Chemistry Laboratory,2 Units," 3A may be taken concurrently, or after passing 3A with a grade of C- or better","Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2015 8 Week Session<br/>
Introduction to the theory and practice of methods used in the organic chemistry laboratory. An emphasis is placed on the separation and purification of organic compounds. Techniques covered will include extraction, distillation, sublimation, recrystalization, and chromatography. Detailed discussions and applications of infrared and nuclear magnetic resonance spectroscopy will be included.",0
CHEM 4A,General Chemistry and Quantitative Analysis,4 Units, High school chemistry; calculus (may be taken concurrently); high school physics is recommended,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Series is intended for majors in physical, biological sciences, and engineering. It presents the foundation principles of chemistry, including stoichiometry, ideal and real gases, acid-base and solubility equilibria, oxidation-reduction reactions, thermochemistry, entropy, nuclear chemistry and radioactivity, the atoms and elements, the periodic table, quantum theory, chemical bonding, molecular structure, chemical kinetics, and descriptive chemistry.",0
