code,title,units,prereqs,offered,corrupt
CHICANO R1A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Course will acquaint students with methods of expository discourse through the reading of Chicano/a literature. An introduction to writing, beginning with sentence structure, with an emphasis on unity, coherence, and overall organization of a full composition. Satisfies the first half of the Reading and Composition Requirement.",0
CHICANO R1B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This course examines literary works by Chicano/a writers in their political and social contexts. Emphasis is on literary interpretation and sustained analytical writing. The course aims to develop students' fluency in writing longer and more complex papers, with specific attention to the development of their research skills and their ability to incorporate source material effectively. Satisfies the second half of the Reading and Composition",0
CHICANO 20,Introduction to Chicano Culture,4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
An introduction to the cultural life of Chicanos with its regional differences. Key themes are the symbols and cultural norms created by the historical interaction between Chicanos and American society as expressed in literature, art, music, and folklore. Attention will also be given to change and continuity in Chicano cultural norms on the basis of historical events.",0
CHICANO 24,Freshman Seminar,1 Unit,,"Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
CHICANO 50,Introduction to Chicano History,4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2015<br/>
A general overview of the Chicano historical experience in the U.S.",0
CHICANO 70,Latino Politics,4 Units,,"Terms offered: Fall 2017, Spring 2012, Spring 2011<br/>
A critical analysis of the Latino political experience in the United States. The course compares and contrasts the ideologies, political organizations, and political leadership in the Mexican American, Cuban American, Puerto Rican, and Central American communities. The contemporary issues confronting Latinos are critically examined.",0
CHICANO 97,Field Study in Chicano Studies,1 - 3 Units, Open to freshmen and sophomores only. Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Supervised independent field experience in the community relevant to specific aspects of Chicano studies.",0
CHICANO 98,Supervised Group Study,1 - 3 Units, Consent of instructor. Open to freshmen and sophomores only,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
Group study of selected topics which will vary from semester to semester.",0
CHICANO 99,Supervised Independent Study and Research,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual research by lower division students. Limited to freshmen and sophomores.",0
CHICANO 110,Latina/o Philosophy and Religious Thought,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
For the last 30 years, the themes of identity and liberation have dominated the social ethic and religious thought of subaltern subjectivities in the Americas. The centrality of these ideas respond to the increasing awareness of and opposition to the legacies of the history of conquest, colonization, racism, and sexism in the region. In this course, we are going to study the intellectual production",0
