code,title,units,prereqs,offered,corrupt
CHM ENG 40,Introduction to Chemical Engineering Design,2 Units," Mathematics 1A, which may be taken concurrently","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Design and analysis of processes involving chemical change. Strategies for design, such as creative thinking and (re)definition of the design goal. Methods for analyzing designs, such as mathematical modeling, empirical analysis by graphics, and dynamic scaling by dimensional analysis. Design choices in light of process efficiency, product quality, economics, safety, and environmental issues.",0
CHM ENG 90,Science and Engineering of Sustainable Energy,3 Units, Chemistry 1A or 4A,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
An introduction is given to the science and technologies of producing electricity and transportation fuels from renewable energy resources (biomass, geothermal, solar, wind, and wave). Students will be introduced to quantitative calculations and comparisions of energy technologies together with the economic and political factors affecting the transition from nonrenewable to sustainable energy resources. Mass and energy balances are used to",0
CHM ENG 98,Directed Group Studies for Lower Division Undergraduates,1 - 3 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Supervised research on a specific topic.",0
CHM ENG 140,Introduction to Chemical Process Analysis,4 Units, Chemistry 4B or 1B with a grade of C- or better; and Physics 7B (may be taken concurrently),"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Material and energy balances applied to chemical process systems. Determination of thermodynamic properties needed for such calculations. Sources of data. Calculation procedures.",0
CHM ENG 141,Chemical Engineering Thermodynamics,4 Units," 140 with a grade of C- or higher; Engineering 7, which may be taken concurrently","Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Thermodynamic behavior of pure substances and mixtures. Properties of solutions, phase equilibria. Thermodynamic cycles. Chemical equilibria for homogeneous and heterogeneous systems.",0
CHM ENG 142,Chemical Kinetics and Reaction Engineering,4 Units," 141 with a grade of C- or higher; 150B, which may be taken concurrently","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Analysis and prediction of rates of chemical conversion in flow and nonflow processes involving homogeneous and heterogeneous systems.",0
CHM ENG 143,Computational Methods in Chemical Engineering,4 Units, E7 and ,"Terms offered: Spring 2016<br/>
The purpose of Chemical Engineering Modeling and Computations in Chemical Engineering is to teach students the methodologies used in setting up mathematical models of simple chemical processes and operations, and the numerical techniques used to simulate them. Included are techniques to obtain physical properties of mixtures/solutions using equations of state. This is followed by simple processes such as vapor liquid equilibrium, separation operations such as distillation",1
CHM ENG 150A,Transport Processes,4 Units," 140 with a grade of C- or higher; Math 54, which may be taken concurrently","Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Principles of fluid mechanics and heat transfer with application to chemical processes. Laminar and turbulent flow in pipes and around submerged objects. Flow measurement. Heat conduction and convection; heat transfer coefficients.",0
CHM ENG 150B,Transport and Separation Processes,4 Units, Chemical and Biomolecular Engineering 141 with a grade of C- or higher; Chemical and Biomolecular Engineering 150A with a grade of C- or higher; Engineering 7,"Terms offered: Fall 2017, Fall 2016, Summer 2016 8 Week Session<br/>
Principles of mass transfer with application to chemical processes. Diffusion and convection. Simultaneous heat and mass transfer; mass transfer coefficients. Design of staged and continuous separations processes.",0
CHM ENG 154,Chemical Engineering Laboratory,4 Units," Chemical and Biomolecular Engineering 141, 142, and 150B","Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Experiments in physical measurements, fluid mechanics, heat and mass transfer, kinetics, and separation processes. Emphasis on investigation of basic relationships important in engineering. Experimental design, analysis of results, and preparation of engineering reports are stressed.",0
