code,title,units,prereqs,offered,corrupt
CIV ENG 11,Engineered Systems and Sustainability,3 Units," Chemistry 1A, Mathematics 1A","Terms offered: Spring 2018, Spring 2017, Summer 2016 8 Week Session<br/>
An introduction to key engineered systems (e.g., energy, water supply, buildings, transportation) and their environmental impacts. Basic principles of environmental science needed to understand natural processes as they are influenced by human activities. Overview of concepts and methods of sustainability analysis. Critical evaluation of engineering approaches to address sustainability.",0
CIV ENG 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
CIV ENG C30,Introduction to Solid Mechanics,3 Units, Mathematics 53 and 54 (may be taken concurrently); Physics 7A,"Terms offered: Spring 2018, Fall 2017, Summer 2017 10 Week Session<br/>
A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams.",0
CIV ENG W30,Introduction to Solid Mechanics,3 Units, Mathematics 53 and 54 (may be taken concurrently); Physics 7A,"Terms offered: Summer 2018 8 Week Session, Summer 2016, Summer 2016 10 Week Session, Summer 2015 8 Week Session<br/>
A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beam",0
CIV ENG 60,Structure and Properties of Civil Engineering Materials,3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Introduction to structure and properties of civil engineering materials such as asphalt, cements, concrete, geological materials (e.g. soil and rocks), steel, polymers, and wood. The properties range from elastic, plastic and fracture properties to porosity and thermal and environmental responses. Laboratory tests include evaluation of behavior of these materials under a wide range of conditions.",0
CIV ENG 70,Engineering Geology,3 Units, Chemistry 1A (may be taken concurrently),"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Principles of physical and structural geology; the influence of geological factors on engineering works and the environment. Field trip.",0
CIV ENG 88,Data Science for Smart Cities,2 Units, Corequisite or Prerequisite: Foundations of Data Science (,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient, and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build demand-",1
CIV ENG 88B,Time Series Analysis: Sea Level Rise and Coastal Flooding,2 Units, Concurrent or prior enrollment in Foundations of Data Science (,"Terms offered: Spring 2017<br/>
In this course, we will pursue analysis of long-term records of coastal water levels in the context of sea level rise. We will cover the collection, evaluation, visualization and analysis of time series data using long-term records of sea levels from coastal sites around the world. Specific topics will include extreme events and distributions, frequency-based descriptions, averaging, filtering, harmonic analysis, trend identification, extrapolations, and decision-making",1
CIV ENG 92,Introduction to Civil and Environmental Engineering,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A course designed to familiarize the entering student with the nature and scope of civil and environmental engineering and its component specialty areas.",0
CIV ENG 93,Engineering Data Analysis,3 Units, Engineering 7,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Applications to various CEE problems and real data will be developed by use of MATLAB and existing codes. The course also introduces the student to various domains of",0
CIV ENG 98,Supervised Group Study and Research,1 - 3 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised group study and research by lower division students.",0
CIV ENG 99,Supervised Independent Study and Research,1 - 4 Units, Freshman or sophomore standing and consent of instructor. Minimum grade point average of 3.3 required,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised independent study by lower division students.",0
