code,title,units,prereqs,offered,corrupt
CLASSIC 10A,Introduction to Greek Civilization,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
Study of the major developments, achievements, and contradictions in Greek culture from the Bronze Age to the 4th century BCE. Key works of literature, history, and philosophy (read in English translation) will be examined in their political and social context, and in relation both to other ancient Mediterranean cultures and to subsequent developments in Western civilization.",0
CLASSIC 10B,Introduction to Roman Civilization,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
Investigation of the main achievements and tensions in Roman culture from Romulus to the High Empire. Key sources for literature, history, and material culture are studied in order to reveal Roman civilization in its political and social context. All materials are read in English.",0
CLASSIC 17A,Introduction to the Archaeology of the Greek World,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The physical remains of the Greek world from the Bronze Age to 323 BCE will be studied, with emphasis on its artistic triumphs, as a means of understanding the culture of ancient Greece.",0
CLASSIC 17B,Introduction to the Archaeology of the Roman World,4 Units, 17A is not prerequisite to 17B,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course provides a broad-based introduction to the archaeology of the ancient Romans from Rome’s origins in the Iron Age down to the disintegration of the Roman empire in the sixth century A.D. It aims to<br/>
familiarize students with the more significant archaeological sites, monuments, artifact classes and works of art relating to the Roman world, and to introduce them to the important research questions in Roman archaeology and the",0
CLASSIC 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
CLASSIC 28,The Classic Myths,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The society, culture, values and outlook on life of the ancient Greeks as expressed in their mythology; their views on life, birth, marriage, death, sex and sexuality; on culture and civilization, the origin and meaning of the world. Their use of myth to think about, and give order to human experience. The course includes some of the most important works of Western literature in English translation (the 'Odyssey', the 'Theogony', twelve plays",0
CLASSIC N28,The Classic Myths,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
The society, culture, values and outlook on life of the ancient Greeks as expressed in their mythology; their views on life, birth, marriage, death, sex and sexuality; on culture and civilization, the origin and meaning of the world. Their use of myth to think about, and give order to human experience. The course includes some of the most important works of Western literature",0
CLASSIC 34,Epic Poetry: Homer and Vergil,4 Units,,"Terms offered: Spring 2018, Spring 2016, Fall 2009<br/>
Greek and Roman epics including the , , .",0
CLASSIC 35,Greek Tragedy,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
Greek tragedy with readings of Aeschylus, Sophocles, and Euripides.",0
CLASSIC 36,Greek Philosophy,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
Introduction to the philosophies of Socrates, Plato and Aristotle.",0
CLASSIC 39D,"Utopia, Dystopia",4 Units, This course is open only to freshman and sophomores,"Terms offered: Spring 2017, Fall 2006, Fall 2002<br/>
Freshman and sophomore seminars offer lower division students an opportunity to explore intellectual topics with a faculty member and peers in a seminar setting. In this course we will examine utopian literature from its classical beginnings, in Plato's Republic, and in his Timaeus and Critias (which tell the story of the lost world of Atlantis), as well as in some plays of Aristophanes. We will also consider later developments, in Thomas More's",0
CLASSIC R44,Roots of Western Civilization,5 Units, Completion of UC Entry Level Writing Requirement,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course covers Homeric and Classical Greece, Rome in its transition from republic to empire, and the world of the Old Testament. Lectures, discussions, and reading assignments will involve interdisciplinary approaches with an emphasis on the development of skill in writing. Satisfies either half of the Reading and Composition requirement plus one of the following Letters and Science breath requirements: Arts and Literature, Historical Studies",0
CLASSIC 50,Latin and Greek in Antiquity and After,4 Units,,"Terms offered: Summer 2018 8 Week Session<br/>
<br/>
Have you wondered what ancient Greek and Latin were like and how they relate to other languages, including English? Have you heard people say learning Latin made them understand English better and improved their writing skills? Do you want some background in ancient languages that might help you understand terminology in law, science or other fields? This class is an opportunity to learn more about the history, structure, and influence of both",0
CLASSIC 124,Classical Poetics,4 Units,,"Terms offered: Spring 2016, Spring 2011, Spring 2008<br/>
Study of a selection (in English translation) of the most important works of classical antiquity that theorize about literature and of the works of some post-classical authors who wrote on similar themes under the influence of their classical predecessors. Authors studied may include Plato, Aristotle, Horace, Longinus, Augustine, Sidney, Pope, and Lessing.",0
CLASSIC 130,Topics in Ancient Greek and Roman Culture,4 Units, Upper division status,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Topic to vary from year to year. No knowledge of Greek or Latin required; but provision will be made for students who wish to study some of the readings in the original language. Enrollment limited.",0
CLASSIC 130C,Ancient Greek Political Thought,4 Units, Upper division status,"Terms offered: Spring 2018<br/>
In this course we will investigate the political thought of ancient Greece by discussing some of its most important and influential texts. All texts are to be read in translation.",0
CLASSIC 161,"Gender, Sexuality, and Culture in the Ancient World",4 Units,,"Terms offered: Spring 2017, Fall 2013, Spring 2013<br/>
Study of topics in gender, feminism, and sexuality in ancient cultures. Topics vary from year to year.",0
CLASSIC 163,Topics in Greek Philosophy,4 Units, 36 or Philosophy 25A or consent of instructor,"Terms offered: Spring 2018, Fall 2016, Spring 2015<br/>
The course is designed to deal with a single topic or selection of topics in Greek philosophy studied in translation. Possible topics are: the close study of one or more of Plato's or Aristotle's texts, Hellenistic philosophy, neo-Platonism.",0
CLASSIC 170A,Classical Archaeology: Greek Vase Painting,4 Units,,"Terms offered: Spring 2017, Spring 2013, Spring 2007<br/>",0
CLASSIC N172A,"Archaeological Field School in Nemea, Greece",4 Units, Consent of instructor or director,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Through this field school students will participate in archaeological excavation and museum study in Greece at the site of Nemea and the Classical Sanctuary of Zeus. Through extensive travel and hands-on work, students will learn all major elements of methodology and analysis currently used in classical archaeology. The goal is to teach practical skills in a real research environment",0
