code,title,units,prereqs,offered,corrupt
COG SCI 1,Introduction to Cognitive Science,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course introduces the interdisciplinary field of cognitive science. Lectures and readings will survey research from artificial intelligence, pyschology, linguistics, philosophy, and neuroscience, and will cover topics such as the nature of knowledge, thinking, remembering, vision, imagery, language, and consciousness. Sections will demonstrate some of the major methodologies.",0
COG SCI 1B,Introduction to Cognitive Science,3 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
This course introduces the interdisciplinary field of cognitive science. Lectures and readings will survey research in such fields as artificial intelligence, psychology, linguistics, philosophy, and neuroscience, and will cover topics such as the nature of knowledge, thinking, remembering, vision, imagery, language, and consciousness.",0
COG SCI N1,Introduction to Cognitive Science,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course introduces the interdisciplinary field of cognitive science. Lectures and readings will survey research in such fields as artificial intelligence, psychology, linguistics, philosophy, and neuroscience, and will cover topics such as the nature of knowledge, thinking, remembering, vision, imagery, language, and consciousness. Sections will demonstrate some of the",0
COG SCI 88,Data Science and the Mind,2 Units," This course is meant to be taken concurrently with Computer Science C8/Statistics C8/Information C8. Students may take more than one 88 (data science connector) course if they wish, ideally concurrent with or after having taken the C8 course","Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
How does the human mind work? We explore this question by analyzing a range of data concerning such topics as human rationality and irrationality, human memory, how objects and events are represented in the mind, and the relation of language and cognition. This class provides students with critical thinking and computing skills that will allow them to work with data in cognitive science and related disciplines.",0
COG SCI 98,Directed Group Study,1 - 4 Units,,"Terms offered: Spring 2016, Spring 2015, Fall 2014<br/>
Seminar for the group study of selected topics. Topics may be initiated by students subject to the approval of the major advisor.",0
COG SCI C100,Basic Issues in Cognition,3 Units,,"Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
Theoretical foundations and current controversies in cognitive science will be discussed. Basic issues in cognition--including perception, imagery, memory, categorization, thinking, judgment, and development--will be considered from the perspectives of philosophy, psychology, computer science, and physiology. Particular emphasis will be placed on the nature, implications, and limitations of the computational model of mind.",0
COG SCI N100,Basic Issues in Cognition,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
Theoretical foundations and current controversies in cognitive science will be discussed. Basic issues in cognition--including perception, imagery, memory, categorization, thinking, judgment, and development--will be considered from the perspectives of philosophy, psychology, computer science, and physiology. Particular emphasis will be placed on the nature, implications, and limitations of the computational",0
COG SCI C101,The Mind and Language,4 Units,,"Terms offered: Summer 2017 8 Week Session, Summer 2016 10 Week Session, Summer 2016 8 Week Session, Spring 2016<br/>
Conceptual systems and language from the perspective of cognitive science. How language gives insight into conceptual structure, reasoning, category-formation, metaphorical understanding, and the framing of experience. Cognitive versus formal linguistics. Implications from and for philosophy, anthropology, literature, artificial intelligence, and politics.",0
COG SCI C126,Perception,3 Units, Consent of instructor. 101 recommended,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
An introduction to principal theoretical constructs and experimental procedures in visual and auditory perception. Topics will include psychophysics; perception of color, space, shape, and motion; pattern recognition and perceptual attention.",0
COG SCI C127,Cognitive Neuroscience,3 Units," Psych/MCB C61 OR Psych 110, or Psych C120/Cog Sci C100, and relevant prerequisites. Courses may be taken simultaneously with Psych C127.<BR/>Enrollment limited to students who are declared Psych, CogSci, MCB, or IB majors, or by permission of the instructor if the student has declared another major","Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
This course will examine research investigating the neurological basis of cognition. Material covered will include the study of brain-injured patients, neurophysiological research in animals, and the study of normal cognitive processes in humans with non-invasive behavioral and physiological techniques such as functional Magnetic Resonance Imaging (fMRI), electroencephalography (EEG), and transcranial magnetic stimulation (TMS). Topics to be",0
COG SCI 131,Computational Models of Cognition,4 Units," Calculus, discrete mathematics, C1, Computer Science 61A, or equivalents","Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
This course will provide advanced students in cognitive science and computer science with the skills to develop computational models of human cognition, giving insight into how people solve challenging computational problems, as well as how to bring computers closer to human performance. The course will explore three ways in which researchers have attempted to formalize cognition -- symbolic approaches, neural networks, and probability and statistics",0
COG SCI C140,Quantitative Methods in Linguistics,4 Units, 100 or graduate student standing,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
An introduction to research using quantitative analysis in linguistics and cognitive science. Students will learn how to use the R programming environment for statistical analysis and data visualization.",0
COG SCI C142,Language and Thought,3 Units,,"Terms offered: Spring 2017, Summer 2016, Spring 2016<br/>
This seminar explores the relation of language and thought. Is language uniquely human, and if so, what does this reveal about the human mind? Does the particular language you speak affect the way you think, or do human languages reflect a universal conceptual repertoire? The goal of this class is to familiarize you with a set of classic arguments on these themes, together with current research that evaluates these arguments, through weekly",0
COG SCI 190,Special Topics in Cognitive Science,3 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Selected topics in the study of Cognitive Science.",0
COG SCI 197,Academic Internship Credit,1 - 3 Units,,"Terms offered: Summer 2017 10 Week Session<br/>
Academic internship credit for students pursuing an internship related to their studies in the Cognitive Science Program. Limited to Cognitive Science declared majors with at least 60 units, and a 2.0 GPA.",0
COG SCI 198,Directed Group Study,1 - 4 Units, Upper division standing and consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Seminar for the group study of selected topics. Topics may be initated by students subject to the approval of the major advisor.",0
