code,title,units,prereqs,offered,corrupt
COLWRIT 1,Grammar and Vocabulary of Written English,2 Units, Self-selected non-native speakers of English,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is intended to serve as a course for students who are non-native speakers of English and who wish to work on their written English. The purpose of the course is to develop students' ability to edit their own writing and to identify high frequency non-idiomatic uses of English. Intensive, individualized practice will be provided for students from different language backgrounds.",0
COLWRIT R1A,Accelerated Reading and Composition,6 Units, Placement by UC Analytical Writing Placement Exam,"Terms offered: Summer 2018 10 Week Session, Spring 2018, Fall 2017<br/>
An intensive, accelerated course satisfying concurrently the requirements of the UC Entry Level Writing Requirement and the first half of Reading and Composition. Readings will include imaginative, expository and argumentative texts representative of the range of those encountered in the undergraduate curriculum and will feature authors from diverse social and cultural backgrounds and perspectives. Instruction in writing a range",0
COLWRIT R4A,Reading and Composition,4 Units, Enrollment is limited to students who have satisfied the UC Entry Level Writing Requirement,"Terms offered: Spring 2018, Summer 2016 10 Week Session, Spring 2013<br/>
This writing seminar satisfies the first half of the Reading and Composition requirement. The course is designed to offer students structured, sustained, and highly articulated practice in the recursive processes entailed in reading, critical analysis, and composing. Students will read five thematically related book-length texts, or the equivalent, drawn from a range of genres, in addition to various non-print sources. In",0
COLWRIT R4B,"Reading, Composition, and Research",4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
A seminar satisfying the second half of the Reading & Composition requirement, R4B offers structured and sustained practice in the processes used in reading, critical analysis, and writing. Students engage with thematically-related materials from a range of genres and media. In response, they craft short pieces leading to longer expository and/or argumentative essays. Students develop a research question, draft a research",0
COLWRIT 5A,English Language Studies: Broadway Musicals,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Through the medium of Broadway musicals, this course will help students improve their vocabulary, reading, writing, listening comprehension, note-taking, and oral communication. Students will view musicals (video and live); learn about their plots, songs, and lyrics; examine the historical context represented in each piece; write reviews/critiques; and work on oral presentation",0
COLWRIT 5C,English Language Studies: Film,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Students will have the opportunity to practice critical thinking, listening, speaking, reading, writing, and vocabulary skills by studying contemporary issues and learning about how the elements of film--script, cinematography, sound, lighting, and more--work together to help build a film's story and themes. Course includes a fieldwork component. Multiple sections: placement",0
COLWRIT 5D,English Language Studies: Literature,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Literature offers wonderful opportunities to understand societal and interpersonal conflicts, develop vocabulary, and refine analytical skills. Designed for non-native English speakers, this course engages students in close reading and discussions of conflicts in the literature. Students are expected to read, write, and speak about the texts and themes covered in class. Course",0
COLWRIT 5E,English Language Studies: Popular Music,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course provides an introductory study of popular music in the U.S. and how it has shaped American culture. Through this course, students will (a) increase their understanding of American cultural history by studying the significant trends and messages of its popular music and (b) develop and apply analytical and linguistic skills for close listening, analysis, synthesis",0
COLWRIT 5F,English Language Studies: International Human Rights,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course, designed to introduce current international human rights issues to non-native English speakers, helps students improve their critical listening, vocabulary, oral communication, and note-taking skills--the skills needed for participation in university courses and in the fields of international human rights, business, and law. Course includes a fieldwork component.",0
COLWRIT 5G,English Language Studies: California History,3 Units,,"Terms offered: Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
Throughout its history, California has been a destination for entrepreneurs, immigrants and displaced people, and those interested in alternative lifestyles. This course introduces ESL students to the many groups that came to California and how their presence has shaped its history. Preparing ESL students for the academic language needed in college classrooms, this course requires that students research, write, and",0
COLWRIT 5H,English Language Studies: Sustainability,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
In this course, students analyze critical issues and conflicts that arise related to sustainability. Course goals include improving academic English reading and research skills through completing a research review and proposal; and oral skills through engagement with video, interviews, panel discussions, and presentations. Course includes a fieldwork component.",0
COLWRIT 5I,English Language Studies: Television,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Students will practice critical listening vocabulary, oral communication, and note-taking skills by studying American culture and social institutions as portrayed in television programs and advertisements. Assignments attempt to prepare students for seminar-style university classes. Course includes a fieldwork component. Multiple sections: placement based on Day 1 assessment",0
COLWRIT 5K,English Language Studies: The Media,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course examines how the various forms of media intersect with culture to reinforce or change how we see ourselves and the world. Students examine this intersection of culture and the media through print, radio, TV, movies, music, and the Internet. Through course assignments, students will develop the following language skills: critical listening and reading; small group",0
COLWRIT 6A,Intensive English Practice: Academic Speaking,2 Units,,"Terms offered: Summer 2018 3 Week Session, Summer 2017 3 Week Session, Summer 2016 3 Week Session<br/>
This course is designed to give students intensive practice in spoken English for academic purposes, preparing international students for the college experience. The course focuses on main areas of content: speaking in academic situations, giving oral presentations, and particpating in small-group and whole-class discussions.",0
COLWRIT 6B,Intensive English Practice: Academic Vocabulary,2 Units,,"Terms offered: Summer 2018 3 Week Session, Summer 2017 3 Week Session, Summer 2016 3 Week Session<br/>
This course aims to increase students' active command of the most common words used in academic contexts. Using material from a variety of disciplines, the course practices vocabulary through all four skills of listening, speaking, reading, and writing, with an emphasis on speaking and small-group discussion. In addition, students learn strategies for recording, remembering, and reviewing important",0
COLWRIT 6C,Intensive English Practice: Business Vocabulary,2 Units,,"Terms offered: Summer 2018 3 Week Session, Summer 2017 3 Week Session, Summer 2016 3 Week Session<br/>
This course aims to help English language learners improve their command of vocabulary used in a variety of general business contexts. Students will read short articles, watch videos, and discuss topics of general interest from the world of business. Strategies for identifying, recording, and remembering vocabulary will be discussed.",0
