code,title,units,prereqs,offered,corrupt
CUNEIF 100A,Elementary Akkadian,5 Units, Background in German and French recommended,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to cuneiform script and grammar, reading of selected cuneiform texts. Sequence begins in fall.",0
CUNEIF 100B,Elementary Akkadian,5 Units, Background in German and French recommended,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to cuneiform script and grammar, reading of selected cuneiform texts. Sequence begins in fall.",0
CUNEIF 101A,Selected Readings in Akkadian,4 Units, 100A-100B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
In each semester of this course, the student who has completed the first year of the study of Akkadian will read a variety of texts in the cuneiform script either of the Old Babylonian or the Neo-Assyrian periods. In any semester, the texts to be read may be drawn from a variety of text genres: legal, mythological, historical, prayer, etc., but each semester will focus on only one genre.",0
CUNEIF 101B,Selected Readings in Akkadian,4 Units, 100A-100B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
In each semester of this course, the student who has completed the first year of the study of Akkadian will read a variety of texts in the cuneiform script either of the Old Babylonian or the Neo-Assyrian periods. In any semester, the texts to be read may be drawn from a variety of text genres: legal, mythological, historical, prayer, etc., but each semester will focus on only one genre.",0
CUNEIF 102A,Elementary Sumerian,4 Units, Background in German and French recommended,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
Introduction to Sumerian grammar and writing.",0
CUNEIF 102B,Elementary Sumerian,4 Units, Background in German and French recommended,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2013<br/>
Introduction to Sumerian grammar and writing.",0
CUNEIF 103A,Selected Readings in Sumerian,3 Units, 102A-102B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2016, Fall 2014, Fall 2013<br/>
Reading of texts selected for clarity of script, simplicity of vocabulary, and historical and cultural significance.",0
CUNEIF 103B,Selected Readings in Sumerian,3 Units, 102A-102B,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
Reading of texts selected for clarity of script, simplicity of vocabulary, and historical and cultural significance.",0
CUNEIF H195,Senior Honors,2 - 4 Units, Limited to senior honors candidates,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017<br/>
Directed study centered upon preparation of an honors thesis.",0
CUNEIF 199,Supervised Independent Study and Research,1 - 4 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017<br/>
Enrollment is restricted by regulations shown in the .",0
CUNEIF 200A,Advanced Akkadian,3 Units, 101A-101B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Reading of a variety of genres of Akkadian documents and literature. Texts selected are based on the individual needs of participating students.",0
CUNEIF 200B,Advanced Akkadian,3 Units, 101A-101B,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Reading of a variety of genres of Akkadian documents and literature. Texts selected are based on the individual needs of participating students.",0
CUNEIF 298,Seminar,1 - 4 Units, Consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2016<br/>
Special topics in Cuneiform. Topics vary and are announced at the beginning of each semester.",0
