code,title,units,prereqs,offered,corrupt
CY PLAN 98,Special Group Study,1 - 3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group studies developed to meet specific needs of students.",0
CY PLAN 101,Introduction to Urban Data Analytics,4 Units, Upper division standing,"Terms offered: Spring 2017<br/>
This course (1) provides a basic intro to census and economic data collection, processing, and analysis; (2) surveys forecasting and modeling techniques in planning; (3) demonstrates the uses of real-time urban data and analytics; and (4) provides a socio-economic-political context for the smart cities movement, focusing on data ethics and governance.",0
CY PLAN 110,Introduction to City Planning,4 Units, Open to majors in all fields,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
Survey of city planning as it has evolved in the United States since 1800 in response to physical, social, and economic problems; major concepts and procedures used by city planners and local governments to improve the urban environment.",0
CY PLAN 113A,Economic Analysis for Planning,3 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Introduction to economic concepts and thinking as used in planning. Micro-economic theory is reviewed and critiqued.",0
CY PLAN 113B,Community and Economic Development,3 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2016 First 6 Week Session<br/>
Introduction to political, economic and social issues involved in theory and practice of community economic development. Focus on national economic and social policies, role of local community economic development corporations (CDCs), resolution of conflicts between private-sector profitability and public sector (community) accountability through critical use of the planning process.",0
CY PLAN 114,Introduction to Urban and Regional Transportation,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
This course is designed to introduce students to the characteristics of urban transportation systems, the methods through which they are planned and analyzed, and the dimensions of key policy issues confronting decision makers.",0
CY PLAN N115,Urbanization in Developing Countries,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2003 10 Week Session<br/>
The course covers issues of development and urbanization from the era of colonialism to the era of contemporary globalization. Themes include modernization, urban informality and poverty, transnational economies, and the role of international institutions and agencies.",0
CY PLAN 116,Urban Planning Process--The Undergraduate Planning Studio,4 Units, Upper division standing; 110 or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
An intermediate course in the planning process with practicum in using planning techniques. Classes typically work on developing an area or other community plan. Some lectures, extensive field and group work, oral and written presentations of findings.",0
CY PLAN 117AC,Urban & Community Health,3 Units,,"Terms offered: Spring 2018<br/>
This course will focus on the history, research methods and practices aimed at promoting community and urban health. The course will offer students frameworks for understanding and addressing inequities in community health experienced by racial and ethnic groups in the United States. The course will take a historical and comparative perspective for understanding the multiple contributors to health and disease in communities and how residents, scientists and professionals",0
CY PLAN 118AC,The Urban Community,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
This course looks at the idea and practice of community in cities and suburbs and at the dynamics of neighborhood and community formation. Topics include urban social geography, ethnicity, and identity, residential choice behavior, the political economy of neighborhoods, planning for neighborhoods and civic engagement. Instructors emphasize different topics. Class size limits depend on the instru",0
CY PLAN 119,Planning for Sustainability,3 Units, Open to majors in all fields,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course examines how the concept of sustainable development applies to cities and urban regions and gives students insight into a variety of contemporary urban planning issues through the sustainability lens. The course combines lectures, discussions, student projects, and guest appearances by leading practitioners in Bay Area sustainability efforts. Ways to coordinate goals of environment, economy, and equity at different scales of planning",0
CY PLAN 120,Community Planning and Public Policy for Disability,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course reviews what society and local communities can do in terms of policies, programs, and local planning to address the needs of citizens with disabilities. Attention will be given to the economics of disability, to the politics of producing change, and to transportation, housing, public facilities, independent living, employment, and income policies. Options will be assessed from the varying perspectives of those with disabilities",0
