code,title,units,prereqs,offered,corrupt
DES INV 10,Discovering Design,2 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Summer 2018 10 Week Session, Fall 2017, Fall 2016<br/>
This course, ideal for students who are looking for an introduction to the broad world of design, covers design careers, design fields, histories of design and ethics in design. Students will gain language for analyzing and characterizing designs. In this course you will be learning design both from theoretical and historical perspectives, and from studio-based design exercises and projects. The weekly assignments and final projects",0
DES INV 15,Design Methodology,3 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Summer 2018 10 Week Session, Fall 2017, Spring 2017<br/>
This introductory course aims to expose you to the mindset, skillset and toolset associated with design. It does so through guided applications to framing and solving problems in design, business and engineering. Specifically, you will learn approaches to noticing and observing, framing and reframing, imagining and designing, and experimenting and testing as well as for critique and reflection. You will also have a chance to",0
DES INV 21,Visual Communication & Sketching,3 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Summer 2018 10 Week Session, Spring 2018, Fall 2017<br/>
Anyone can sketch. Great communicators today should never hesitate to reach for a pen and draw.<br/>
<br/>
Sketching is an effective expression of thinking and problem­solving. It is a form of visual communication that can be learned and is a skill that can improve with practice and a little guidance.This course will give participants practice and confidence in their ability to communicate through sketching.",0
DES INV 22,Prototyping & Fabrication,3 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Summer 2018 10 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
This course teaches concepts, skills and methods required to design, prototype, and fabricate physical objects. Each week relevant techniques in 2D and 3D modeling and fabrication are presented, along with basic electronics. Topics include a range of prototyping and fabrication techniques including laser-cutting, 3D modeling and 3D printing, soldering, and basic circuits.",0
DES INV 23,Creative Programming and Electronics,3 Units, This course has no pre-requisites. This course pairs well with ,"Terms offered: Spring 2018<br/>
This course teaches techniques to conceptualize, design and prototype interactive objects. Students will learn core interaction design principles and learn how to program devices with and without screens, basic circuit design and construction for sensing and actuation, and debugging. Students work individually on fundamental concepts and skills, then form teams to work on an open-ended design project that requires a synthesis of the different techniques covered.",1
DES INV 24,User Experience Design,3 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Spring 2018<br/>
This studio course introduces students to design thinking and the basic practices of interaction design. Following a human-centered design process that includes research, concept generation, prototyping, and refinement, students work as individuals and in small teams to design mobile information systems and other interactive experiences. Becoming familiar with design methodologies such as sketching, storyboarding, wire framing, and prototyping, students learn core",0
DES INV 90,Special Topics in Design Innovation,1 - 4 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Spring 2016, Fall 2015<br/>
Selected topics in design innovation. This course cannot be used to complete any course or unit requirement for College of Engineering undergraduates.",0
DES INV 95,Design Innovation Lecture Series,1 - 2 Units,,"Terms offered: Spring 2018<br/>
This lecture series exposes students to a diverse range of leaders, innovators, and concepts in design innovation. Students will learn from speakers, who will share their insights, practices, and projects from working at the intersections of design and technology innovation.",0
DES INV 97,Field Study,1 - 4 Units, Consent of sponsoring instructor required,"Terms offered: Spring 2018<br/>
Students take part in organized, off-site field programs with companies that work in design innovation, overseen by an instructor. Examples of a field program include field trip series, internship programs, etcetera.",0
DES INV 98,Directed Group Study for Undergraduates,1 - 4 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Directed group study on various topics in design innovation.",0
DES INV 190,Special Topics in Design Innovation,1 - 4 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Spring 2018, Fall 2017, Summer 2017 Second 6 Week Session<br/>
Selected topics in design innovation. This course cannot be used to complete any course or unit requirement for College of Engineering undergraduates.",0
DES INV 190E,Special Topics in Design Innovation,1 - 4 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Summer 2017 10 Week Session<br/>
Selected topics in design innovation. This course includes sufficient treatment of engineering principles that it may be used to fulfill College of Engineering undergraduate unit requirements.",0
DES INV 198,Directed Group Study for Undergraduates,1 - 4 Units, Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Directed group study on various topics in design innovation.",0
DES INV 199,Supervised Independent Study,1 - 4 Units, Consent of sponsoring instructor required,"Terms offered: Fall 2017<br/>
Supervised independent study. Enrollment restrictions apply.",0
