code,title,units,prereqs,offered,corrupt
EA LANG R1B,Reading and Composition on topics in East Asian Humanities,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Spring 2017<br/>
The arts of reading a text, summarizing its argument, questioning its suppositions, generating balanced opinions, and expressing those opinions with clarity and effectiveness lie at the center of university life and educated human endeavor. EA Lang R1B is designed to help inculcate those skills, paying particular attention to East Asian humanistic topics. This four-unit course focuses on how to formulate questions and hone observations into well reasoned",0
EA LANG C50,Introduction to the Study of Buddhism,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This introduction to the study of Buddhism will consider materials drawn from various Buddhist traditions of Asia, from ancient times down to the present day. However, the course is not intended to be a comprehensive or systematic survey; rather than aiming at breadth, the course is designed around key themes such as ritual, image veneration, mysticism, meditation, and death. The overarching emphasis throughout the course will be on the hermeneutic",0
EA LANG 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Spring 2018, Fall 2012<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
EA LANG 105,Dynamics of Romantic Core Values in East Asian Premodern Literature and Contemporary Film,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
This course explores representation of romantic love in East Asian cultures in premodern and post-modern contexts. Students develop a better understanding of the similarities and differences in traditional values in three East Asian cultures by comparing how canonical texts of premodern China, Japan and Korea represent romantic relationship. This is followed by the study of several contemporary",0
EA LANG 109,History of the Culture of Tea in China and Japan,4 Units,,"Terms offered: Summer 2016 First 6 Week Session, Fall 2015, Fall 2014<br/>
In this course we compare the cultural traditions of tea in China and Japan. In addition, using tea as the case study, we analyze the mechanics of the flow of culture across both national boundaries and social practices (such as between poetry and the tea ceremony). Understanding the tea culture of these countries informs students of important and enduring aspects of both cultures, provides an opportunity to discuss the role",0
EA LANG 110,Bio-Ethical Issues in East Asian Thought,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
This course will explore some of the most difficult bioethical issues confronting the world today from the perspective of traditional values embedded in the cultural history of India, China, and Japan as evidenced in their religions, legal codes, and political history. Possible topics include population control, abortion, sex-selection, euthanasia, suicide, genetic manipulation, brain-death, and organ transplants.",0
EA LANG 111,Reading Global Politics in Contemporary East Asian Literature,4 Units,,"Terms offered: Spring 2016<br/>
This class examines the global dynamics and local distinction of literary writings from contemporary East Asia. Beginning with the colonial connections among Tokyo, Shanghai and Seoul during the 1920s-1940s, and moving on to texts composed since 2000 in Manila, Hong Kong, India and elsewhere, the course considers how literary writers have grappled with an increasingly integrated global marketplace in which culture, ideas and people circulate alongside (and as) capital.",0
EA LANG 112,The East Asian Sixties,4 Units,,"Terms offered: Spring 2017, Spring 2014<br/>
The 1960s were a time of historical transformation and upheaval in East Asia. It saw the overthrow of political regimes, the consolidation of communism, unprecedented capitalist expansion, and the emergence of new technologies that affected aesthetic production and consumption. This course explores the multiple aspects of culture, aesthetics, and politics that defined this moment. It asks how and why we can define the 1960s as a period, while considering",0
EA LANG 114,"Illness Narratives, Vulnerable Bodies",4 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
The course will introduce students to narratives about illness, disease and healing written by patients, physicians, caretakers, and others. These narratives report an experience. They reveal the interactions between the unfolding life of the patient and the shifting social meanings attached to illness. We will study the relationships between illness and society through readings of fiction, memoir, films, essays and graphic novels in order to understand how",0
EA LANG 115,"Knowing Others, and Being Known: The Art of Writing People",4 Units,,"Terms offered: Spring 2017<br/>
What does it mean to use the medium of writing to “know” a person, and precisely how does one avail oneself of that medium to make oneself—or someone else— “known”? This course will guide students in writing about one of the most challenging of subjects: people. Students will have the opportunity to (a) read deeply in a selection of writings drawn from a range of genres and cultures, to acquaint themselves with a range of rhetorical tools employed in the portrayal",0
EA LANG 116,Modern East Asian Fiction,4 Units,,"Terms offered: Fall 2017<br/>
Comparative analysis of modern literature from China (including Hong Kong and Taiwan), Korea, and Japan with an emphasis on the short story and the novel. We will think about both the specificities of the literatures of the region as well as shared and interconnected experiences of modernity that broadly connect the cultures of East Asia during the twentieth century. Thematic concerns will include: modernism and modernity; nostalgia and homesickness; empire and its",0
EA LANG 117,Lu Xun and his Worlds,4 Units,,"Terms offered: Spring 2018<br/>
This course provides a forum for reading and discussing East Asia’s greatest and most iconic modern writers, Lu Xun. We will closely read Lu Xun’s major works , discuss his role in the reinvention of the Chinese language and literary tradition, explore the global literary and intellectual currents with which he was deeply engaged, as well as situating him within the tumultuous era of colonialism, modernization, and revolution. All readings will be available in English",0
EA LANG 119,The History of Heaven,4 Units,,"Terms offered: Spring 2018<br/>
Higher Learning begins with the study of heaven. As the source of orientation in space and time, heaven provides humanity the foundation for its knowledge and political order. To understand what knowledge is or how politics function, we need a basic understanding of the ways of heaven. This course examines the function heaven serves in the founding of order against the void in nature through the formation of conventional systems of time and space and the role heaven",0
EA LANG C120,Buddhism on the Silk Road,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course will discuss the social, economic, and cultural aspects of Buddhism as it moved along the ancient Eurasian trading network referred to as the “Silk Road”. Instead of relying solely on textual sources, the course will focus on material culture as it offers evidence concerning the spread of Buddhism. Through an examination of the Buddhist archaeological remains of the Silk Road, the course will address specific topics, such as the symbiotic",0
