code,title,units,prereqs,offered,corrupt
ECON 1,Introduction to Economics,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
A survey of economics designed to give an overview of the field.",0
ECON 2,Introduction to Economics--Lecture Format,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course provides a survey of economics principles and methods. It covers both microeconomics, the study of consumer choice, firm behavior, and market interaction, and macroeconomics, the study of economic growth, unemployment, and inflation. Special emphasis is placed on the application of economic tools to contemporary economic problems and policies. Economics 2 differs from Economics 1 in that it has an additional hour of lecture per",0
ECON C3,Introduction to Environmental Economics and Policy,4 Units, Mathematics 32,"Terms offered: Spring 2018, Fall 2017, Summer 2017 8 Week Session, Spring 2017<br/>
Introduction to microeconomics with emphasis on resource, agricultural, and environmental issues.",0
ECON 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
ECON 98,Directed Group Study,1 - 4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Written proposal must be approved by Department Chair. Seminars for the group study of selected topics, which will vary from year to year. Topics may be initiated by students.",0
ECON 100A,Economic Analysis--Micro,4 Units," 1 or 2 or C3, or Environmental Economics and Policy 1, and Mathematics 1A or 16A, and Mathematics 1B or 16B, or equivalent","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Resource allocation and price determination.",0
ECON 100B,Economic Analysis--Macro,4 Units," 1 or 2, and Mathematics 1A or 16A","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
A study of the factors which determine national income, employment, and price levels, with attention to the effects of monetary and fiscal policy.",0
ECON 101A,Economic Theory--Micro,4 Units," 1 or 2, Mathematics 53 or equivalent or consent of instructor","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Theory of resource allocation and price determination with an emphasis on microeconomic principles.",0
ECON 101B,Economic Theory--Macro,4 Units," 1 or 2, and Mathematics 1A and 1B","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A study of theories of the determination of national income, employment, and price levels, with attention to the effects of monetary and fiscal policy.",0
ECON C102,Natural Resource Economics,4 Units," 100, or Economics 100A or 100B","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to the economics of natural resources. Land and the concept of economic rent. Models of optimal depletion of nonrenewable resources and optimal use of renewable resources. Application to energy, forests, fisheries, water, and climate change. Resources, growth, and sustainability.",0
ECON C103,Introduction to Mathematical Economics,4 Units, Math 53 and 54,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Selected topics illustrating the application of mathematics to economic theory. This course is intended for upper-division students in Mathematics, Statistics, the Physical Sciences, and Engineering, and for economics majors with adequate mathematical preparation. No economic background is required.",0
ECON 105,History of Economic Thought,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
A survey of the theories of major economists from Adam Smith to Keynes.",0
ECON C110,Game Theory in the Social Sciences,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A non-technical introduction to game theory. Basic principle, and models of interaction among players, with a strong emphasis on applications to political science, economics, and other social sciences.",0
ECON N110,Game Theory in the Social Sciences,4 Units,,"Terms offered: Summer 2017 8 Week Session, Summer 2016 10 Week Session, Summer 2016 8 Week Session<br/>
A non-technical introduction to game theory. Basic principle, and models of interaction among players, with a strong emphasis on applications to political science, economics, and other social sciences.",0
ECON 113,American Economic History,4 Units," 1 or 2 or C3, or Environmental Economics C1","Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
A survey of trends in the American economy; emphasis on factors explaining economic growth and on the changing distribution of the gains and losses associated with growth.",0
ECON 115,The World Economy in the Twentieth Century,4 Units, 1 or 2,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Development of the world economic system with particular reference to world-wide trading relationships. This course is equivalent to History 160; students will not receive credit for both courses.",0
ECON 119,Psychology and Economics,4 Units, 100A or 101A,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
This course presents psychological and experimental economics research demonstrating departures from perfect rationality, self-interest, and other classical assumptions of economics and explores ways that these departures can be mathematically modeled and incorporated into mainstream positive and normative economics. The course will focus on the behavioral evidence itself, especially on specific formal assumptions",0
ECON 121,Industrial Organization and Public Policy,4 Units, 100A or 101A,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
The organization and structure of production in the U.S. economy. Determinants of market structure, business behavior, and economic performance. Implications for antitrust policy.",0
ECON 124,Special Topics in Industrial Organization,4 Units, 121,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Analysis of market structure, conduct and performance in selected industries. See course announcement for current topics.",0
ECON C125,Environmental Economics,4 Units," 100, Mathematics 16A-16B, or Economics 100A or 101A","Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session, Spring 2017, Summer 2016<br/>
Theories of externalities and public goods applied to pollution and environmental policy. Trade-off between production and environmental amenities. Assessing nonmarket value of environmental amenities. Remediation and clean-up policies. Environment and development. Biodiversity management.",0
ECON 131,Public Economics,4 Units, 100A-100B or 101A-101B,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course focuses on the role of the government in the economy from a theoretical and empirical perspective. The aim of the course is to provide an understanding of the reasons for government intervention in the economy, analyzing the merits of possible government policies, and the response of economic agents to the government's actions. The course covers the analysis of tax policy, social insurance programs, public goods, environmental protection",0
ECON 133,Global Inequality and Growth,4 Units, Economics 1,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
This course provides an introduction to the analysis of economic inequalities and the interplay between inequality and economic growth. It focuses on three sets of core questions: 1) How does inequality evolve over the path of development? 2) What are the theories that can explain the degree of economic inequalities and its dynamic? 3) How do policies affect inequalities, and what types of policies",0
ECON 134,Macroeconomic Policy from the Great Depression to Today,4 Units, 100B or 101B,"Terms offered: Spring 2018, Spring 2013, Spring 2012<br/>
This course will analyze the macroeconomic challenges and policy responses in the United States over the past century. Among the key topics studied are the Great Depression and the New Deal; boom and bust monetary and fiscal policy in the early post-World War II period; the Volcker disinflation and the Great Moderation; and the 2008 financial crisis and the Great Recession.",0
ECON 136,Financial Economics,4 Units," 100A or 101A, and one semester of statistics","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Analysis of financial assets and institutions. The course emphasizes modern asset valuation theory and the role of financial intermediaries, and their regulation, in the financial system.",0
ECON 138,Financial and Behavioral Economics,4 Units," 100A or 101A, and Statistics 20, 21, or 25 or any upper division statistics course","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is an advanced class in Financial Economics. Topics include moral hazard (principal-agent problems, free cash flow), asymmetric Information (security issurance, dividends), mergers and acquisitions (theory, managerial incentives), corporate governance (separation of ownership and control, internal capital markets, superstar CEOs), corporate fraud (earnings manipulations). This class emphasizes the economic underpinning of financial",0
ECON 139,Intermediate Financial Economics,4 Units," Students need a basic understanding of the principles of finance as well as microeconomic theory. Working knowledge of multi-variable calculus, linear algebra, and probability and statistics will be assumed.<BR/>Required courses: Economics 100A/101A, Economics 136, or equivalent.<BR/>Recommended courses: Math 53, Math 54, Statistics 20, or equivalent","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This is a 4-unit advanced undergraduate course designed for undergraduates in Economics, Statistics, Mathematics, and Industrial Engineering/Operations Research who are interested in financial economics and finance. This course will stress the link between financial economics and equilibrium theory. Less attention will be devoted to purely financial topics such as the valuation of derivatives. This course is intended as the segue between a",0
ECON 140,Economic Statistics and Econometrics,4 Units," 100A-100B or 101A-101B or equivalent and Statistics 20, 21, 25, or 131A or equivalent","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the linear regression model and its application to empirical problems in economics.",0
ECON 141,Econometric Analysis,4 Units," 100A-100B or 101A-101B or equivalent; Statistics 20, 21, 25, or 131A, or equivalent; and Mathematics 53 and 54, or equivalent","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the statistical theory for the linear regression model and its variants, with examples from empirical economics.",0
