code,title,units,prereqs,offered,corrupt
EDUC 24,Freshman Seminar,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The Freshman and Sophomore Seminar program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Limited to 15 freshmen.",0
EDUC 30AC,Race and Ethnicity inside Schools,4 Units,,"Terms offered: Spring 2016, Spring 2009, Fall 2005<br/>
Racial and ethnic minorities in American schools and colleges through case studies of Native Americans, Italian Americans, and Mexican Americans. Policies, practices, ideologies, experiences, and outcomes from the perspective of both the dominant and minority groups.",0
EDUC 39A,Freshman/Sophomore Seminar: Applying the Universal Design Paradigm to Enhance Educational Access for All Students,3 Units, Priority given to freshmen and sophomores,"Terms offered: Summer 2016 10 Week Session, Summer 1998 10 Week Session, Fall 1997<br/>
What is access? In this course, students will refine their definition of educational access and learn about the paradigm of universal design, a set of principles originally developed to ensure that the built environment was accessible to all. Universal design has expanded to apply to learning contexts. Educators, in addition to applying universal design to tangible aspects of the learning environment, are also",0
EDUC 40AC,"Experiencing Education: Political Economy, White Supremacy, and Educational Desire",4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
Explores the complex relationship among diversity, equality, inequality, and educational systems by focusing on the conceptual categories of race, class, and gender in the organization of educational opportunity. Explores the ways in which these categories intersect in people's lives. Incorporates a semester-long project that enables students to develop research skills as they apply their new understandings to the educational challenges facing",0
EDUC 52AC,Understanding Language in Society,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course will explore how speaking, reading and writing are influenced by social and cultural factors. The topics include dialects, Standard English, and slang; the influence of identity on language use; and the dynamic and diverse ways in which people use language to communicate with one another and in their communities. The course will begin by exploring how people communicate within the university, or academic discourse, and how this impacts",0
EDUC 97,Field Studies,1 - 4 Units, Restricted to freshman and sophomores. Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
University organized and supervised field programs involving experiences in schools and school-related activities.",0
EDUC 98,Directed Group Study,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
EDUC 99,Supervised Independent Study,1 - 4 Units," Consent of instructor, lower division standing","Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Supervised independent study or research on topics relevant to Education that are not covered in depth by other courses. Topics to be initiated by students.",0
EDUC 114A,Early Development and Education,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Theory and research on early childhood education and psychological development in early childhood. Directed field observation of developmental phenomena and educational practices.",0
EDUC 130,Knowing and Learning in Mathematics and Science,3 Units," Any one of the following: Undergraduate Interdisciplinary 81A, 81B, 82","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course offers a sequence of collaborative problem-solving and reflection activities through which students will be able to appreciate and develop a coherent, effective approach to the teaching and learning of any mathematical or scientific conceptual domain. Issues of cognition, culture, and pedagogy will emerge from participants' struggles to explain their own reasoning. In-class problem solving experiences will provide",0
EDUC 131AC,Classroom Interactions in Science and Mathematics: A Focus on Equity and Urban Schools,3 Units, Education 130,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course continues the process of preparing students to teach science and mathematics in secondary schools by providing opportunities to evaluate challenges they face in instructional settings. We will explore frameworks for thinking abut equity issues in the classroom and beyond school settings, learn strategies for teaching students of diverse backgrounds, and consider how classroom interactions enable students to develop a deep conceptual",0
EDUC 140AC,The Art of Making Meaning: Educational Perspectives on Literacy and Learning in a Global World,4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Drawing from both historical and contemporary sociocultural theories on literacy and language as well as recent research from education and new media scholars, we will explore an array of digital and non-digital forms of meaning-making and symbolic creativity, such as meme-generating, video making, micro-blogging, multi-player gaming, and app designing, as well as more traditional and non-digital or pre-digital forms of cultural participation",0
EDUC W140A,The Art of Making Meaning: Educational Perspectives on Literacy and Learning in a Global World,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
This course combines theory and practice in the study of literacy and development. It will introduce sociocultural educational theory and research focused especially on literacy teaching and learning, and this literature will be examined in practice through participation in after-school programs. In addition, the course will contribute to an understanding of how literacy is reflected in race, culture",0
EDUC W141,Exploring Digital Pedagogy,3 Units,,"Terms offered: Summer 2018 8 Week Session<br/>
Over the past decade, online education and classroom-based education have begun to converge in the form of digital pedagogy. What does this mean for the role of the instructor, how a student learns, the design of a learning experience, the structure of education and the impact on society overall? This course provides the opportunity to explore issues that are impacting 21st century education and pedagogy due to the disruptive force of technology.",0
EDUC W142,Education in a Global World,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
What is globalization? What are the implications of living in a ""global world"" for education? How can education be used as a tool to promote global social justice and prosperity? In this course, we will address these and other related questions through collective reading assignments, class discussions, and online collaboration through our learning platform (bSpace or other).",0
EDUC W144,Practicum in Education,1 - 3 Units," Need instructor's consent on practicum site prior to enrolling. Specifically, enrollment instructions should state: ""Students must have confirmed their practicum placement for the course before enrolling. For more information how to find and secure a practicum placement, please contact course instructor","Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
The course serves the ED Minor mission of developing students’ critical habits of mind and reflection in educational research and practice. The course develops student awareness of their role as participant/observer, increases their understanding of ethical issues, and their ability to articulate these issues. Topics shape a productive field experience for the student and presume that different",0
EDUC 146A,Education and Migration: Indigeneity in Yucatan and Its Diaspora,6 Units,,"Terms offered: Summer 2017 10 Week Session<br/>
Course addresses complex issues influencing the social experiences of indigenous immigrant youth and their families in the Maya Diaspora (Yucatan-SF). The course introduces contextual background (historical, political, economic, social) to the creation of Maya indigeneity and representation in Yucatan and in the US. It will also address pan-maya social movements that have tried to redefine cultural and linguistic identities.",0
EDUC C148,Education and International Development,4 Units,,"Terms offered: Spring 2018, Fall 2016, Fall 2015, Fall 2014<br/>
This course is designed to provide a comprehensive overview of international development education. Through the use of lectures, discussions, and multimedia presentations, students will examine three core themes: 1) the purpose of education; 2) how contemporary development policy conceptualizes education; 3) education as a tool for social transformation. To the extent possible, the course draws connections between theory and practical",0
EDUC W153,Research in Education: Studying Educational Inequality and Possiblity,4 Units,,"Terms offered: Spring 2018<br/>
The goal of the Research in Education is to introduce students to educational research and the methods and frameworks used to examine key educational topics related to educational inequity and educational possibility. Students also will develop robust understandings of relevant theories and methods by engaging with research focused around the set of core topics. In this way, students will become ‘re-searchers’ of enduring educational issues.",0
EDUC 158,Foundations for Teaching Reading in Grades K-8,2 - 3 Units, Admission to a teaching credential program (summer session excluded),"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to reading and writing instruction in elementary school settings, basic literacy skills, instructional methods and approaches, assessment procedures, and reading and writing theories.",0
EDUC 160,Foundations for Teaching Social Studies,2 Units, Admission to a teaching credential program,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Lectures and workshops on curriculum, instructional theory, and methods for teaching social studies methods in elementary schools.",0
EDUC W161,Digital Learning Environments,3 Units,,"Terms offered: Summer 2018 8 Week Session, Fall 2017<br/>
Digital learning environments are taking residence in the educational experience of many, from replacing components of traditional classroom instruction to providing open platforms for lifelong learning. In this class we will study the various forms and functions of a sampling of digital learning environments ranging from subject specific Intelligent Tutoring Systems in K-12 to domain neutral systems for post-secondary online learning.",0
EDUC 162A,Teachers' Work,3 Units,,"Terms offered: Fall 2016, Spring 2013, Spring 2012<br/>
This course is offered as part of the undergraduate education minor, examines the multiple dimensions of teachers' work by drawing on theories of teacher socialization and teacher professional learning, and exploring representations of teachers in the media and popular culture, as well as in relevant academic literature. Students will be introduced to the current policy, social, cultural, historical, professional, employment and legal context",0
EDUC 163,Contemporary Issues in U.S. Education,3 Units,,"Terms offered: Spring 2016<br/>
This course surveys the major events, as well as broader social, political, and economic forces, that have coalesced to shape U.S. public schools today and the contemporary reforms that policy makers have designed to improve them. We accomplish this by exploring the scholarship on the roots of educational inequality, the history of school reform, and the most prominent reforms that are present in American schools today. We engage with primary research, historical",0
EDUC 183,"High School, The Movie",3 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
High school plays a pivotal role in American life. It both serves as a gatekeeper of educational and economic success and embodies hopes of transcending social divisions. Like high school itself, movies about it have fostered youth culture and helped Americans make sense of the intersection of democratic aspirations and social divisions. This course examines how the reality and representation of high schools combine to reflect and define",0
EDUC 186AC,The Southern Border,4 Units, Upper division standing,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The southern border--from California to Florida--is the longest physical divide between the First and Third Worlds. This course will examine the border as a distinct landscape where North-South relations take on a specific spatial and cultural dimension, and as a region which has been the testing ground for such issues as free trade, immigration, and ethnic politics.",0
EDUC 188,Latinas/os and Education: Critical Issues and Perspectives,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course engages a selection of themes examining the academic achievement of Latinas/os in K-12 and in higher education. The course aims to foster an awareness of the complex issues influencing the education of Latinas/os and of ways to work towards supporting and advancing the educational experiences of Latinas/os in schools and society.",0
EDUC 188B,Native American Education: Critical Issues and Possibilities,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course aims to foster an awareness of the complex issues influencing the education of Native people and of ways to productively work towards supporting and advancing the educational experiences of Native Americans in schools and beyond. This course critically examines themes that are central to understanding the academic achievement and attainment of Native Americans in K-12 and higher education.",0
EDUC 190AC,Critical Studies in Education,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course examines how learning environments can empower and disempower individuals and explores the role of education in the social construction of hierarchy, inequality, difference, identity, and power. It embodies a democratic philosophy and practice, creating a learning community that encourages students to take responsibility for their own education and learn through theory, experience, and dialogue. All students must engage in a community",0
EDUC N190,Critical Studies in Education,3 Units,,"Terms offered: Summer 2017 Second 6 Week Session, Summer 2016 First 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course examines how learning environments can empower and disempower individuals and explores the role of education in the social construction of hierarchy, inequality, difference, identity, and power. It embodies a democratic philosophy and practice, creating a learning community that encourages students to take responsibility for their own education and learn through",0
EDUC W190,Critical Studies in Education,3 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
This course examines how learning environments can empower and disempower individuals and explores the role of education in the social construction of hierarchy, inequality, difference, identity, and power. It embodies a democratic philosophy and practice, creating a learning community that encourages students to take responsibility for their own education and learn through theory, experience, and dialogue.",0
EDUC 195B,Special Topics in the Foundations of Teaching,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Reading and language arts.",0
EDUC 197,Field Studies,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Summer 2017 8 Week Session<br/>
University organized and supervised field programs involving experiences in schools and school-related activities.",0
EDUC 198,Directed Group Study,1 - 3 Units," Consent of instructor, upper division standing","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group discussion, research, and reporting on selected topics. Student initiation in choice of subjects is solicited and welcomed.",0
EDUC 199,Supervised Independent Study and Research for Undergraduates,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>",0
