code,title,units,prereqs,offered,corrupt
EECS C106A,Introduction to Robotics,4 Units," Electrical Engineering 120 or equivalent, consent of instructor","Terms offered: Fall 2017<br/>
An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course covers forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion detection. The course concludes with current applications of robotics in",0
EECS C106B,Robotic Manipulation and Interaction,4 Units, Electrical Engineering and Computer Science C106A/Bioengineering C106A or consent of the instructor,"Terms offered: Spring 2018<br/>
This course is a sequel to <a class=""bubblelink code"" href=""/search/?P=EECS%20C106A"" onclick=""return showCourse(this, 'EECS C106A');"" title=""EECS C106A"">EECS C106A</a>/Bioengineering C106A, which covers kinematics, dynamics and control of a single robot. This course will cover dynamics and control of groups of robotic manipulators coordinating with each other and interacting with the environment. Concepts will include an introduction to grasping and the constrained manipulation, contacts and force control for interaction with the environment. We will also cover active perception guided manipulation",0
EECS 126,Probability and Random Processes,4 Units, CS 70 preferred but not required. Familiarity with linear algebra,"Terms offered: Spring 2018, Fall 2017<br/>
This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains.",0
EECS 127,Optimization Models in Engineering,4 Units, EE 16A & 16B or consent of instructor,"Terms offered: Spring 2018, Fall 2017<br/>
This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.",0
EECS 149,Introduction to Embedded Systems,4 Units," EE 16A & B, or permission of instructor; CS 61C and CS 70","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course introduces students to the basics of modeling, analysis, and design of embedded, cyber-physical systems. Students learn how to integrate computation with physical processes to meet a desired specification. Topics include models of computation, control, analysis and verification, interfacing with the physical world, real-time behaviors, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component",0
EECS 151,Introduction to Digital Design and Integrated Circuits,3 Units, Electrical Engineering 16A & 16B,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
An introduction to digital and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher-levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits).",0
EECS 151LA,Application Specific Integrated Circuits Laboratory,2 Units," Computer Science 61C, Electrical Engineering 16A & 16B, Electrical Engineering 105","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped",0
EECS 151LB,Field-Programmable Gate Array Laboratory,2 Units, Electrical Engineering 16A & 16B; Electrical Engineering 105 recommended and Computer Science 61C,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms. A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow. Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail. The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor",0
EECS 206A,Introduction to Robotics,4 Units," EE 120 or equivalent, or consent of instructor","Terms offered: Fall 2017<br/>
An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course will cover forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics and control-position, and force control. Proximity, tactile, and force sensing. Network modeling, stability, and fidelity in teleoperation and medical applications of robotics.",0
EECS 206B,Robotic Manipulation and Interaction,4 Units, ,"Terms offered: Spring 2018<br/>
This course is a sequel to <a class=""bubblelink code"" href=""/search/?P=EECS%20C106A"" onclick=""return showCourse(this, 'EECS C106A');"" title=""EECS C106A"">EECS C106A</a>/206A, which covers kinematics,<br/>
dynamics and control of a single robot. This course will cover dynamics and control of groups of robotic<br/>
manipulators coordinating with each other and interacting with the environment. Concepts will include<br/>
an introduction to grasping and the constrained manipulation, contacts and force control for interaction<br/>
with the environment. We will also cover active perception guided manipulation",1
EECS 219C,"Formal Methods: Specification, Verification, and Synthesis",3 Units, Graduate standing or Consent of instructor; Computer Science 170 or equivalent is recommended,"Terms offered: Spring 2018<br/>
Introduction to the theory and practice of formal methods for the design and analysis of systems, with a focus on algorithmic techniques. Covers selected topics in computational logic and automata theory including modeling and specification formalisms, temporal logics, satisfiability solving, model checking, synthesis, learning, and theorem proving. Applications to software and hardware design, cyber-physical systems, robotics, computer security, and other areas will",0
EECS 227AT,Optimization Models in Engineering,4 Units, Mathematics 54 or equivalent or consent of instructor,"Terms offered: Spring 2018, Fall 2017<br/>
This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.",0
EECS 251A,Introduction to Digital Design and Integrated Circuits,3 Units, Electrical Engineering 16A & 16B; Computer Science 61C; and recommended: Electrical Engineering 105. Students must enroll concurrently in at least one the laboratory flavors Electrical Engineering and Computer Science 251LA or Electrical Engineering and Computer Science 251LB. Students wishing to take a second laboratory flavor next term can sign-up only for that laboratory section and receive a letter grade. The pre-requisite for “Lab-only” enrollment that term will be Electrical Engineering an,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits).",0
EECS 251LA,Introduction to Digital Design and Integrated Circuits Lab,2 Units, Electrical Engineering 16A & 16B; Computer Science 61C; and recommended: Electrical Engineering 105,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to",0
