code,title,units,prereqs,offered,corrupt
EL ENG 16A,Designing Information Devices and Systems I,4 Units," Math 1A, Math 1B or equivalent (may be taken concurrently), CS 61A or equivalent (encouraged to be taken concurrently)","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course and its follow-on course EE16B focus on the fundamentals of designing modern information devices and systems that interface with the real world. Together, this course sequence provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design while introducing key linear-algebraic concepts motivated by application",0
EL ENG 16B,Designing Information Devices and Systems II,4 Units," Electrical Engineering 16A, Designing Information Devices and Systems I","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course is a follow-on to Electrical Engineering 16A, and focuses on the fundamentals of designing and building modern information devices and systems that interface with the real world. The course sequence provides a comprehensive introduction to core EECS topics in circuit design, signals, and systems in an application-driven context. The courses are delivered assuming",0
EL ENG 24,Freshman Seminar,1 Unit,,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester.",0
EL ENG 39,Freshman/Sophomore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2011<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25.",0
EL ENG 49,Electronics for the Internet of Things,4 Units," Engineering 7 or Computer Science 10 or equivalent background in computer programming (including Computer Science 61A, Data Science 8) Math 1a or equivalent background in Calculus","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018<br/>
Electronics has become pervasive in our lives as a powerful technology with applications in a wide range of fields including healthcare, environmental monitoring, robotics, or entertainment. This course teaches how to build electronic circuits that interact with the environment through sensors and actuators and how to communicate wirelessly with the internet to cooperate with other devices and with humans. In",0
EL ENG 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Spring 2016, Fall 2015<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
EL ENG 97,Field Study,1 - 4 Units, Consent of instructor (see department adviser),"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation.",0
EL ENG 98,Directed Group Study for Undergraduates,1 - 4 Units,,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
Group study of selected topics in electrical engineering, usually relating to new developments.",0
EL ENG 99,Individual Study and Research for Undergraduates,1 - 4 Units, Freshman or sophomore standing and consent of instructor. Minimum GPA of 3.4 required,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Supervised independent study and research for students with fewer than 60 units completed.",0
EL ENG 105,Microelectronic Devices and Circuits,4 Units, EE 16A & B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course covers the fundamental circuit and device concepts needed to understand analog integrated circuits. After an overview of the basic properties of semiconductors, the p-n junction and MOS capacitors are described and the MOSFET is modeled as a large-signal device. Two port small-signal amplifiers and their realization using single stage and multistage CMOS building blocks are",0
EL ENG C106A,Introduction to Robotics,4 Units," EE 120 or equivalent, consent of instructor","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course covers forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion",0
EL ENG C106B,Robotic Manipulation and Interaction,4 Units, Electrical Engineering C106A/Bioengineering C125 or consent of the instructor,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2017, Spring 2016<br/>
This course is a sequel to Electrical Engineering C106A/Bioengineering C125, which covers kinematics, dynamics and control of a single robot. This course will cover dynamics and control of groups of robotic manipulators coordinating with each other and interacting with the environment. Concepts will include an introduction to grasping and the constrained manipulation, contacts and force control for",0
EL ENG 113,Power Electronics,4 Units, 105 or consent of instructor,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Power conversion circuits and techniques. Characterization and design of magnetic devices including transformers, reactors, and electromagnetic machinery. Characteristics of bipolar and MOS power semiconductor devices. Applications to motor control, switching power supplies, lighting, power systems, and other areas as appropriate.",0
EL ENG 117,Electromagnetic Fields and Waves,4 Units," Electrical Engineering 16B, Mathematics 53, 54, Physics 7B, or equivalent that covers AC circuits and electromagnetics up to Maxwell's equations","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Review of static electric and magnetic fields and applications; Maxwell's equations; transmission lines; propagation and reflection of plane waves; introduction to guided waves, microwave networks, and radiation and antennas. Minilabs on statics, transmission lines, and waves.",0
EL ENG 118,Introduction to Optical Engineering,3 Units," Math 53, and EE 16AB or Math 54","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Fundamental principles of optical systems. Geometrical optics and aberration theory. Stops and apertures, prisms, and mirrors. Diffraction and interference. Optical materials and coatings. Radiometry and photometry. Basic optical devices and the human eye. The design of optical systems. Lasers, fiber optics, and holography.",0
EL ENG 120,Signals and Systems,4 Units, EE 16A and 16B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Continuous and discrete-time transform analysis techniques with illustrative applications. Linear and time-invariant systems, transfer functions. Fourier series, Fourier transform, Laplace and Z-transforms. Sampling and reconstruction. Solution of differential and difference equations using transforms. Frequency response, Bode plots, stability analysis. Illustrated by analysis of communication",0
EL ENG 121,Introduction to Digital Communication Systems,4 Units, EE 16 A & B; CS 70,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2016, Fall 2014, Fall 2013<br/>
Introduction to the basic principles of the design and analysis of modern digital communication systems. Topics include source coding, channel coding, baseband and passband modulation techniques, receiver design, and channel equalization. Applications to design of digital telephone modems, compact disks, and digital wireless communication systems. Concepts illustrated by a sequence of MATLAB",0
EL ENG 122,Introduction to Communication Networks,4 Units, Computer Science 70. Computer Science 70,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course focuses on the fundamentals of the wired and wireless communication networks. The course covers both the architectural principles for making these networks scalable and robust, as well as the key techniques essential for analyzing and designing them. The topics include graph theory, Markov chains, queuing, optimization techniques, the physical and link layers, switching,",0
EL ENG 123,Digital Signal Processing,4 Units, 120,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Discrete time signals and systems: Fourier and Z transforms, DFT, 2-dimensional versions. Digital signal processing topics: flow graphs, realizations, FFT, chirp-Z algorithms, Hilbert transform relations, quantization effects, linear prediction. Digital filter design methods: windowing, frequency sampling, S-to-Z methods, frequency-transformation methods, optimization methods, 2-dimensional",0
EL ENG 126,Probability and Random Processes,4 Units, EE 16A and 16B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains.",0
EL ENG C128,Feedback Control Systems,4 Units, EE 16A and either ME 132 or EE 120,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Analysis and synthesis of linear feedback control systems in transform and time domains. Control system design by root locus, frequency response, and state space methods. Applications to electro-mechanical and mechatronics systems.",0
EL ENG 130,Integrated-Circuit Devices,4 Units, EE 16A and 16B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Overview of electronic properties of semiconductor. Metal-semiconductor contacts, pn junctions, bipolar transistors, and MOS field-effect transistors. Properties that are significant to device operation for integrated circuits. Silicon device fabrication technology.",0
EL ENG 134,Fundamentals of Photovoltaic Devices,4 Units, EE 16A and 16B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is designed to give an introduction to, and overview of, the fundamentals of photovoltaic devices. Students will learn how solar cells work, understand the concepts and models of solar cell device physics, and formulate and solve relevant physical problems related to photovoltaic devices. Monocrystalline, thin film and third generation solar cells will be discussed and analyzed.",0
EL ENG 137A,Introduction to Electric Power Systems,4 Units, 16A & 16B or consent of instructor; Physics 7B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Overview of conventional electric power conversion and delivery, emphasizing a systemic understanding of the electric grid with primary focus at the transmission level, aimed toward recognizing needs and opportunities for technological innovation. Topics include aspects of a.c. system design, electric generators, components of transmission and distribution systems, power flow analysis, system",0
EL ENG 137B,Introduction to Electric Power Systems,4 Units, Electrical Engineering 137A or consent of instructor,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Overview of recent and potential future evolution of electric power systems with focus on new and emerging technologies for power conversion and delivery, primarily at the distribution level. Topics include power electronics applications, solar and wind generation, distribution system design and operation, electric energy storage, information management and communications, demand response",0
EL ENG 140,Linear Integrated Circuits,4 Units, Electrical Engineering 105,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Single and multiple stage transistor amplifiers. Operational amplifiers. Feedback amplifiers, 2-port formulation, source, load, and feedback network loading. Frequency response of cascaded amplifiers, gain-bandwidth exchange, compensation, dominant pole techniques, root locus. Supply and temperature independent biasing and references. Selected applications of analog circuits such as analog-to-digital",0
EL ENG 142,Integrated Circuits for Communications,4 Units, EE 16A & B; EE 105,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
Analysis and design of electronic circuits for communication systems, with an emphasis on integrated circuits for wireless communication systems. Analysis of noise and distortion in amplifiers with application to radio receiver design. Power amplifier design with application to wireless radio transmitters. Radio-frequency mixers, oscillators, phase-locked loops, modulators, and demodu",0
EL ENG 143,Microfabrication Technology,4 Units, Physics 7B or equivalent,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Integrated circuit device fabrication and surface micromachining technology. Thermal oxidation, ion implantation, impurity diffusion, film deposition, expitaxy, lithography, etching, contacts and interconnections, and process integration issues. Device design and mask layout, relation between physical structure and electrical/mechanical performance. MOS transistors and poly-Si surface",0
EL ENG C145B,Medical Imaging Signals and Systems,4 Units, Electrical Engineering 16A and 16B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Biomedical imaging is a clinically important application of engineering, applied mathematics, physics, and medicine. In this course, we apply linear systems theory and basic physics to analyze X-ray imaging, computerized tomography, nuclear medicine, and MRI. We cover the basic physics and instrumentation that characterizes medical image as an ideal perfect-resolution image blurred by an impulse",0
EL ENG 147,Introduction to Microelectromechanical Systems (MEMS),3 Units, Electrical Engineering 16A and 16B,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course will teach fundamentals of micromachining and microfabrication techniques, including planar thin-film process technologies, photolithographic techniques, deposition and etching techniques, and the other technologies that are central to MEMS fabrication. It will pay special attention to teaching of fundamentals necessary for the design and analysis of devices and systems in mechanical",0
EL ENG 192,Mechatronic Design Laboratory,4 Units," EE120, EE16A+EE16B, CS61ABC","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Design project course, focusing on application of theoretical principles in electrical engineering to control of a small-scale system, such as a mobile robot. Small teams of students will design and construct a mechatronic system incorporating sensors, actuators, and intelligence.",0
EL ENG 194,Special Topics,1 - 4 Units, Consent of instructor,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Topics will vary semester to semester. See the Electrical Engineering announcements.",0
EL ENG H196A,Senior Honors Thesis Research,1 - 4 Units, Open only to students in the Electrical Engineering and Computer Science honors program,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Thesis work under the supervision of a faculty member. A minimum of four units must be taken; the units may be distributed between one and two semesters in any way. To obtain credit a satisfactory thesis must be submitted at the end of the two semesters to the Electrical and Engineering and Computer Science Department archive. Students who complete four units and a thesis in one semester",0
EL ENG H196B,Senior Honors Thesis Research,1 - 4 Units, Open only to students in the Electrical Engineering and Computer Science honors program,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Thesis work under the supervision of a faculty member. A minimum of four units must be taken; the units may be distributed between one and two semesters in any way. To obtain credit a satisfactory thesis must be submitted at the end of the two semesters to the Electrical and Engineering and Computer Science Department archive. Students who complete four units and a thesis in one semester",0
EL ENG 197,Field Study,1 - 4 Units, Consent of instructor (see department adviser),"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation.",0
EL ENG 198,Directed Group Study for Advanced Undergraduates,1 - 4 Units, 2.0 GPA or better; 60 units completed,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Group study of selected topics in electrical engineering, usually relating to new developments.",0
EL ENG 199,Supervised Independent Study,1 - 4 Units, Consent of instructor and major adviser,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Supervised independent study. Enrollment restrictions apply.",0
EL ENG 206A,Introduction to Robotics,4 Units," 120 or equivalent, or consent of instructor","Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course will cover forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics and control-position, and force control. Proximity, tactile, and force sensing. Network modeling, stability, and fidelity in teleoperation and medical",0
EL ENG 206B,Robotic Manipulation and Interaction,4 Units, Electrical Engineering 206A/Bioengineering C125 or consent of the<BR/>instructor,"Offered through: Electrical Engin and Computer Sci<br/>
Terms offered: Spring 2018, Spring 2017<br/>
This course is a sequel to EECS 125/225, which covers kinematics,<br/>
dynamics and control of a single robot. This course will cover dynamics and control of groups of robotic<br/>
manipulators coordinating with each other and interacting with the environment. Concepts will include<br/>
an introduction to grasping and the constrained manipulation, contacts and force control for interaction<br/>
with",0
