code,title,units,prereqs,offered,corrupt
"ENE,RES 39A","Freshman and Sophomore Seminar: Complex Systems, Information Theory, and Big Data",2 Units,,"Terms offered: Fall 2016<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25.<br/>
<br/>",0
"ENE,RES 98",Directed Group Study for Lower Division Students,1 - 4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Lectures and small group discussions focusing on topics of interest that vary from semester to semester.",0
"ENE,RES 99",Supervised Independent Studies for Freshmen and Sophomores,1 - 4 Units, Consent of faculty adviser directing research; lower division standing (3.3 GPA or better),"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Supervised research on specific topics related to energy and resources.",0
"ENE,RES C100",Energy and Society,4 Units,,"Terms offered: Summer 2018 10 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
Energy sources, uses, and impacts: an introduction to the technology, politics, economics, and environmental effects of energy in contemporary society. Energy and well-being; energy in international perspective, origins, and character of energy crisis.",0
"ENE,RES 101",Ecology and Society,3 Units," One college level course, or high school Advanced Placement, in either physics or biology; introductory calculus","Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Fall 2014<br/>
This course introduces students to the many ways in which our lives are intertwined with the ecosystems around us. Topics will include ecological limits to growth, climate change and other threats to biodiversity, the value of ecosystem goods and services, the ecology of disease, ecotoxicology, the evolution of cooperation in ecosystems, industrial ecology, and the epistemology of ecology.",0
"ENE,RES 102",Quantitative Aspects of Global Environmental Problems,4 Units," Upper division standing; calculus (Mathematics 1A-1B or 16A-16B); Physics (7A-7B or 8A-8B), Chemistry (1A or 4A), Biology (1B), or consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Human disruption of biogeochemical and hydrological cycles; causes and consequences of climate change and acid deposition; transport and health impacts of pollutants; loss of species; radioactivity in the environment; and quantitative models to understand these environmental problems.",0
"ENE,RES 170",Environmental Classics,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2011, Fall 2009<br/>
What is the history and evolution of environmental thinking and writing in the USA? How have certain ‘environmental classics’ shaped the way in which we think about nature, society and progress? Why did these become ‘classics’ and why/how did they influence environmental thought and policy? What is their relevance today? This course includes substantial reading assignments.",0
"ENE,RES 175",Water and Development,4 Units, Upper division standing or consent of instructor,"Terms offered: Spring 2016, Spring 2014, Spring 2013<br/>
This course introduces students to water policy in developing countries. It is a course motivated by the fact that over one billion people in developing countries have no access to safe drinking water, three billion do not have sanitation facilities, and many millions of small farmers do not have reliable water supplies to ensure a healthy crop. Readings and discussions will cover: the problems of water access and use in developing countries;",0
"ENE,RES C176",Climate Change Economics,4 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
This course is a self-contained introduction to the economics of climate change. Climate change is caused by a large variety of economic activities, and many of its impacts will have economic consequences. Economists have studied climate change for more than two decades, and economic arguments are often powerful in policy decisions. The course will familiarize students with these arguments and equip them with the tools to participate in discussions of climate",0
"ENE,RES N176",Economics of Climate Change,3 Units,,"Terms offered: Summer 2018 8 Week Session<br/>
This course is a self-contained introduction to the economics of climate change. Climate change is caused by a large variety of economic activities, and many of its impacts will have economic consequences. Economists have studied climate change for more than two decades, and economic arguments are often powerful in policy decisions. The course will familiarize students with these arguments and equip them with the tools to participate in discussions",0
