code,title,units,prereqs,offered,corrupt
ENGIN 7,Introduction to Computer Programming for Scientists and Engineers,4 Units, Mathematics 1B (maybe taken concurrently),"Terms offered: Summer 2018 10 Week Session, Spring 2018, Fall 2017<br/>
Elements of procedural and object-oriented programming. Induction, iteration, and recursion. Real functions and floating-point computations for engineering analysis. Introduction to data structures. Representative examples are drawn from mathematics, science, and engineering. The course uses the MATLAB programming language. Sponsoring departments: Civil and Environmental Engineering and Mechanical Engineering.",0
ENGIN W7,Introduction to Computer Programming for Scientists and Engineers,4 Units, Mathematics 1B (may be taken concurrently),"Terms offered: Summer 2016 10 Week Session, Summer 2015 10 Week Session, Summer 2014 10 Week Session<br/>
Elements of procedural and object-oriented programming. Induction, iteration, and recursion. Real functions and floating-point computations for engineering analysis. Introduction to data structures. Representative examples are drawn from mathematics, science, and engineering. The course uses the MATLAB programming language.",0
ENGIN 25,Visualization for Design,2 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Development of 3-dimensional visualization skills for engineering design. Sketching as a tool for design communication. Presentation of 3-dimensional geometry with 2-dimensional engineering drawings. This course will introduce the use of 2-dimensional CAD on computer workstations as a major graphical analysis and design tool. A group design project is required. Teamwork and effective communication are emphasized.",0
ENGIN 26,Three-Dimensional Modeling for Design,2 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Three-dimensional modeling for engineering design. This course will emphasize the use of CAD on computer workstations as a major graphical analysis and design tool. Students develop design skills, and practice applying these skills. A group design project is required. Hands-on creativity, teamwork, and effective communication are emphasized.",0
ENGIN 27,Introduction to Manufacturing and Tolerancing,2 Units, Engineering 25 (can be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Geometric dimensioning and tolerancing (GD&T), tolerance analysis for fabrication, fundamentals of manufacturing processes (metal cutting, welding, joining, casting, molding, and layered manufacturing).",0
ENGIN 40,Engineering Thermodynamics,4 Units," Physics 7B, Mathematics 54; Chemistry 1B recommended","Terms offered: Fall 2017<br/>
Fundamental laws of thermodynamics for simple substances; application to flow processes and to nonreacting mixtures; statistical thermodynamics of ideal gases and crystalline solids; chemical and materials thermodynamics; multiphase and multicomponent equilibria in reacting systems; electrochemistry. Sponsoring Departments: Materials Science and Engineering and Nuclear Engineering.",0
ENGIN 45,Properties of Materials,3 Units, Physics 7A (may be taken concurrently),"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Application of basic principles of physics and chemistry to the engineering properties of materials. Special emphasis devoted to relation between microstructure and the mechanical properties of metals, concrete, polymers, and ceramics, and the electrical properties of semiconducting materials. Sponsoring Department: Materials Science and Engineering",0
ENGIN 45L,Properties of Materials Laboratory,1 Unit, E45 should be taken concurrently,"Terms offered: Spring 2017, Fall 2016<br/>
This course presents laboratory applications of the basic principles introduced in the lecture-based course E45 – Properties of Materials.",0
ENGIN 47,Supplementary Work in Lower Division Engineering,1 - 3 Units, Limited to students who must make up a fraction of a required lower division course,"Terms offered: Fall 2016, Fall 2012, Spring 2012<br/>
May be taken only with permission of the Dean of the College of Engineering. Students with partial credit in a lower division engineering course may complete the work under this heading.",0
ENGIN 92,Perspectives in Engineering,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This series of lectures provides students, especially undeclared Engineering students, with information on the various engineering disciplines to guide them toward choice of major. Lecturers describe research activities, how they made their own career choices, and indicate future opportunities. Recommended for all Engineering Science students and required for Engineering undeclared students.",0
ENGIN 93,Energy Engineering Seminar,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Weekly seminar with different speakers on energy-related topics. The goal is to expose students to a broad range of energy issues.",0
ENGIN 98,Directed Group Studies for Lower Division Undergraduates,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Seminars for group study of selected topics, which will vary from year to year. Intended for students in the lower division.",0
