code,title,units,prereqs,offered,corrupt
ENGLISH N1A,First-Year Reading and Composition,3 Units, Passing grade in Subject A (exam or course),"Terms offered: Summer 2017 8 Week Session, Summer 2016 8 Week Session, Summer 2015 8 Week Session<br/>
Training in writing expository prose. N1A. Instruction in expository writing in conjunction with reading literature. Satisfies the first half of the Reading and Composition requirement.",0
ENGLISH N1B,First-Year Reading and Composition,3 Units, Passing grade in Subject A (exam or course),"Terms offered: Summer 2017 8 Week Session, Summer 2016 8 Week Session, Summer 2015 8 Week Session<br/>
Training in writing expository prose. N1B. Further instruction in expository writing in conjunction with reading literature. Satisfies the second half of the Reading and Composition requirement.",0
ENGLISH R1A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Summer 2018 8 Week Session, Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session<br/>
Training in writing expository prose. Instruction in expository writing in conjunction with reading literature. Satisfies the first half of the Reading and Composition requirement.",0
ENGLISH R1B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 8 Week Session, Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session<br/>
Training in writing expository prose. Further instruction in expository writing in conjunction with reading literature. Satisfies the second half of the Reading and Composition requirement.",0
ENGLISH 20,Modern British and American Literature,4 Units,,"Terms offered: Spring 2016, Spring 2014, Spring 1996<br/>
Lectures on and discussion of major authors of modern British and American literature.",0
ENGLISH 24,Freshman Seminars,1 Unit,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
ENGLISH 26,Introduction to the Study of Poetry,4 Units,,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
Lectures and discussion on poetry intended to develop the student's ability to understand and evaluate a poem. Designed primarily for students whose major is not English, but majors and prospective majors are welcome.",0
ENGLISH 28,Introduction to the Study of Drama,4 Units,,"Terms offered: Spring 2017, Fall 2014, Spring 2002<br/>
Lectures and discussion intended to develop the student's ability to read, understand and evaluate plays. Designed primarily for students whose major is not English, but majors and prospective majors are welcome.",0
ENGLISH 31AC,Literature of American Cultures,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
An introduction to the ethnic diversity of American literature. The course will take substantial account of the literature of three or more of the following groups: African Americans, Native Americans, Asian Americans, Chicanos/Latinos, and European Americans. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" well before the beginning of the semester for details.",0
ENGLISH 43A,Introduction to the Writing of Short Fiction,4 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2014, Fall 2012<br/>
A workshop course intended for students who have recently begun to write fiction or who have not previously taken a course in creative writing.",0
ENGLISH 43B,Introduction to the Writing of Verse,4 Units, Consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A workshop course intended for students who have recently begun to write verse or who have not previously taken a course in creative writing.",0
ENGLISH 45A,Literature in English: Through Milton,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Historical survey of literature in English: Beginnings through Milton.",0
ENGLISH 45B,Literature in English: The Late-17th through the Mid-19th Century,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Historical survey of literature in English: The late-17th through the mid-19th century.",0
ENGLISH 45C,Literature in English: The Mid-19th through the 20th Century,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Historical survey of literature in English: the mid-19th through the 20th century.",0
ENGLISH C77,Introduction to Environmental Studies,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This integrative course, taught by a humanities professor and a science professor, surveys current global environmental issues; introduces the basic intellectual tools of environmental science; investigates ways the human relationship to nature has been imagined in literary and philosophical traditions; and examines how tools of scientific and literary analysis; scientific method, and imaginative thinking can clarify what is at stake in environmental",0
ENGLISH 80K,Children's Literature,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2011<br/>
The study of selected works written for children.",0
ENGLISH 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
ENGLISH 98,Directed Group Study for Freshmen and Sophomores,1 - 4 Units, Lower division standing,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Group study in a field that may not coincide with that of any regular course and must be specific enough to enable students to write essays based upon their studies.",0
ENGLISH 98BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
ENGLISH 99,Independent Study,1 - 4 Units, Open to sophomore students with an overall G.P.A. of not less than 3.3,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Meetings to be arranged. Reading and regular conference with the instructor in a field that shall not coincide with that of any regular course and shall be specific enough to enable students to write essays based on their studies.",0
ENGLISH 101,The History of the English Language,4 Units,,"Terms offered: Spring 2016, Spring 2012, Spring 2009<br/>
The history of the English language from its Indo-European roots, through its Old, Middle, and Early Modern periods, as preserved in the literary heritage, to its different forms in use throughout the world today.",0
ENGLISH 102,Topics in the English Language,4 Units,,"Terms offered: Spring 2018, Spring 2014, Spring 2013<br/>
Topics vary from semester to semester.",0
ENGLISH 104,Introduction to Old English,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Basic introduction to the vocabulary, grammar, and syntax of Old English designed to get students reading original texts immediately. Typical Old English texts include: riddles, charms, medical recipes, laws, chronicles, elegies, saints' lives, heroic poetry, and monster lore.",0
