code,title,units,prereqs,offered,corrupt
ENV DES 1,Introduction to Environmental Design,3 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course will teach anyone how to start to be a designer, not just of drawings and objects, but also buildings, landscapes, and urban spaces. And not just in isolation, but in the complex web of ecological and man-made systems which makes up our shifting environment. You will take from the course first-hand experience of drawing, measuring, and design — which form the basis of the professions of architecture, landscape architecture",0
ENV DES 2,Summer [IN]STITUTE in Environmental Design,1 Unit,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
The Summer [IN]STITUTE consists of four cohorts, each an introductory course for participants with no previous experience in environmental design: [IN]ARCH, [IN]ARCH ADV, [IN]CITY and [IN]LAND. Institute participants explore the methods and theories of the environmental design disciplines, experience the culture of design and planning studios, connect to faculty and practitioners",0
ENV DES R3B,"Reading and Composition in Energy, Society, and Environmental Design",4 Units," Previously passed an R_A course with a letter grade of C- or better. Previously passed an articulated R_A course with a letter grade of C- or better. Score a 4 on the Advanced Placement Exam in English Literature and Composition. Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition. Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course will expose students to key literature that examines, primarily, the relationship between sustainability and environmental design disciplines. Our goal will be not only to investigate the central ideas that inform the design of sustainable landscapes, cities, and buildings, but also to understand how competing arguments are presented in writing. Satisfies the second half of the Reading and Composition Requirement.",0
ENV DES 4A,Design and Activism,3 Units,,"Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
This course explores the relationships between design and activism, raising critical questions about what design is, and how designers serve as guardians of culture and as agents of change. Students will participate in ""spontaneous acts of design activism"" that address contemporary issues through the making of forms and space to reinvent relationships between people and their environments.",0
ENV DES 4B,Global Cities,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This study of cities is more important than ever; for the first time in history more people live in urban than rural areas, and cities will account for all of the world's population growth for at least the next half-century. We will explore the challenges facing global cities in the 21st Century and expose students to some of the key texts, theories, and methods of inquiry that shape the built environment, from the human scale of home and",0
ENV DES 4C,"Future Ecologies: Urban Design, Climate Adaptation, and Thermodynamics",3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is intended to provide students with an overview of current thinking about cities and their components (buildings, parks, streets) as ecological and cultural systems. It will provide an introduction to methods for investigating the dynamics of flows and relationships in the built environment and students will gain experience constructing their own narratives as ways of asking and answering questions about human habitat that could",0
ENV DES 8,Disc*: Design & Innovation for Sustainable Cities,5 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Guided by UC Berkeley faculty, Bay Area urbanists, designers, makers, and entrepreneurs, Disc* students learn how to confront the most pressing challenges of global urbanization using innovative people-centered design. Through design and digital fabrication studio sessions, lectures and talks, demos and workshops, field work and site visits, students have the opportunity to",0
ENV DES 9,embARC Summer Design Academy,1 Unit,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
embARC is a four week summer design intensive that brings together high school students from diverse backgrounds to explore architecture, urban design and sustainable city planning through three components: an Architecture & Urban Design Studio, a Sustainable City Planning Workshop and a Design-Build project. For more information, visit http://ced.berkeley.edu/academic",0
ENV DES 100,The City: Theories and Methods in Urban Studies,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
This course is concerned with the study of cities. Focusing on great cities around the world - from Chicago to Los Angeles, from Rio to Shanghai, from Vienna to Cairo it covers of historical and contemporary patterns of urbanization and urbanism. Through these case studies, it introduces the key ideas, debates, and research genres of the interdisciplinary field of urban studies. In other words, this is simultaneously",0
ENV DES 101A,Writing about Environmental Design: Short Compositions,2 - 4 Units, English 1B and consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
An intensive workshop for students interested in writing about architecture, landscape, and the built environment. Recognizing that undergraduate students who take this course represent departments outside as well as within the College of Environmental Design, assignments are touchstones for students of different disciplines to bring their current academic interests into play when writing about environmental design. Weekly assignments include",0
ENV DES 101B,Writing about Environmental Design: One Longer Composition,2 - 4 Units, English 1B and consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
In 101B: The Notebook (one long composition in 14 weekly assignments) assigned readings (principally short stories) offer examples of writing which parallel the focus of the week's writing assignment. Prompts and assigned readings encourage the individual development of a ""story"" or ""theme"" that each student at the outset or in the process of writing, arrives at a personal narrative. Course approved for English department credit",0
ENV DES 102,Critical Debates in Sustainable Urbanism,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The aim of the course is to provide students with knowledge and insight into the major issues and debates relating to sustainabiltiy. By the end of the course, students should have a critical understanding of the complexity and scale of the sustainability challenge, how different actors characterize and understand sustainability, the approaches that have been developed to implement these varyig vissions, and the institutional, political, and individual",0
ENV DES 104,Design Frameworks,3 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 1997<br/>
This course begins with an open-ended question (“What is design?”) and asks students to think critically about the central tenets, commonalities, and limits of design in an ever-changing complex world. A historical and theoretical overview of predominant schools of thought across all scales of design (i.e. industrialization, modernism, post-modernism, and beyond) will ground the discussions to follow. Topics related to environmental sustainability",0
ENV DES 106,Sustainable Environmental Design Workshop,4 Units, Environmental Design 102,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course asks students to reflect back, reviewing the various disciplinary approaches introduced toward sustainability and to look forward by proposing interdisciplinary ways to affect the environment. Each year will be organized around a theme and project advanced by the faculty of the College. The workshop will require independent as well as collaborative research often in partnership with an external 'client' organization.",0
ENV DES 107,Design and Difference,4 Units," Completion of a minimum of one design studio, two studios preferred","Terms offered: Fall 2016<br/>
This course explores contemporary debates around race, gender, sexuality, disability rights and other forms of embodied politics and considers their potential to transform the normative assumptions and practices of the built environment disciplines. Concepts such as self-abstraction, assimilation, and discourses of the “universal” or neutral body will be examined critically in relation to socially situated theories of power, identity, and activism. The course will investigate",0
ENV DES C169B,"American Cultural Landscapes, 1900 to Present",4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
Introduces ways of seeing and interpreting American histories and cultures, as revealed in everyday built surroundings--homes, highways, farms, factories, stores, recreation areas, small towns, city districts, and regions. Encourages students to read landscapes as records of past and present social relations, and to speculate for themselves about cultural meaning.",0
ENV DES 195B,Thesis Research and Writing,3 Units, Environmental Design 195A,"Terms offered: Spring 2017, Spring 2014<br/>
Students taking this class will use it to complete the writing of their thesis under the supervision of a Senior Thesis Advisor. This class will operate as an independent study; faculty with more than one Senior Thesis student may choose to meet them in group sessions.",0
ENV DES 199,Supervised Independent Study and Research,1 - 4 Units, Must have upper division standing,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Enrollment is restricted by regulations in the General Catalog. Studies developed to meet individual needs.",0
ENV DES 201,Urban Places Advanced Design Studio,5 Units, Students enrolled in the Master of Urban Design program have priority. Others welcome with consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An intensive studio involving collaborative work on problems that are large in scope, yet require attention to spatial organization and design details.<br/>
The studio course is offered each fall semester and required for incoming graduate students in the Master of Urban Design Program (MUD). The course is also open to College of Environmental Design graduate students of advanced standing in the Master of City Planning Program/ Urban Design Concentration",0
ENV DES 251,Discourse and Methods in Contemporary Urban Design,1 or 3 Units, The one unit section is open to all students. The three unit section is for students enrolled in the Master of Urban Design program or those who have obtained the consent of the instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course is the first of three courses (ED251, ED252, ED253) directed toward the development of research and design proposals that advance the field of urban design. As the first course in the sequence, ED251 introduces topics and research methods in contemporary urban design. There is a lecture component (Section 1) that is open to the College and campus. Graduate students preparing for theses and professional reports in urban design will enroll",0
ENV DES 252,Urban Place Studies,3 Units, Students must be in the Master of Urban Design program or obtain consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Seminar focuses on individual urban design interests, the design and research work that students are pursuing in other courses, and development of thesis or final design projects.",0
ENV DES 253,Urban Places Thesis Studio,4 Units, 252,"Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
A studio for Masters of Urban Design students aimed to support students during the final months of their thesis work. Faculty will hold bi-weekly individual desk critiques of student work and organize preliminary reviews to outside reviewers in preparation of the final review scheduled during the late August orientation week.",0
