code,title,units,prereqs,offered,corrupt
EPS 3,The Water Planet,3 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
An overview of the processes that control water supply to natural ecosystems and human civilization. Hydrologic cycle, floods, droughts, groundwater. Patterns of water use, threats to water quality, effects of global climate change on future water supplies. Water issues facing California.",0
EPS 7,Introduction to Climate Change,3 Units,,"Terms offered: Fall 2017<br/>
This course covers the physical processes that determine Earth's past, present, and future climate, with a particular focus on the essentially irreversible climate change (a.k.a., global warming) caused by the burning of coal, oil, and natural gas. Topics will also<br/>
include the estimation of future warming and impacts, the Earth resources that can be used to combat climate change, and the policies being used to shift towards the use of those resources.",0
EPS C12,The Planets,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A tour of the mysteries and inner workings of our solar system. What are planets made of? Why do they orbit the sun the way they do? How do planets form, and what are they made of? Why do some bizarre moons have oceans, volcanoes, and ice floes? What makes the Earth hospitable for life? Is the Earth a common type of planet or some cosmic quirk? This course will introduce basic physics, chemistry, and math to understand planets, moons, rings",0
EPS W12,The Planets,3 Units,,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 10 Week Session, Summer 2015 8 Week Session<br/>
A tour of the mysteries and inner workings of our solar system. What are planets made of? Why do they orbit the sun the way they do? How do planets form, and what are they made of? Why do some bizarre moons have oceans, volcanoes, and ice floes? What makes the Earth hospitable for life? Is the Earth a common type of planet or some cosmic quirk? This course will introduce",0
EPS 20,Earthquakes in Your Backyard,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
Introduction to earthquakes, their causes and effects. General discussion of basic principles and methods of seismology and geological tectonics, distribution of earthquakes in space and time, effects of earthquakes, and earthquake hazard and risk, with particular emphasis on the situation in California.",0
EPS C20,Earthquakes in Your Backyard,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to earthquakes, their causes and effects. General discussion of basic principles and methods of seismology and geological tectonics, distribution of earthquakes in space and time, effects of earthquakes, and earthquake hazard and risk, with particular emphasis on the situation in California.",0
EPS 24,Freshman Seminar in Earth and Planetary Sciences,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The freshman seminar in earth and planetary science is designed to provide new students with an opportunity to explore a topic in geology or earth sciences with a faculty member in a small seminar setting. Topics will vary from semester to semester but will include such possible topics as great voyages of geologic discovery and the role of atmospheric sciences in geologic study.",0
EPS 39A,Freshman/Sophomore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
EPS 50,The Planet Earth,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
An introduction to the physical and chemical processes that have shaped the earth through time, with emphasis on the theory of plate tectonics. Laboratory work will involve the practical study of minerals, rocks, and geologic maps and exercises on geological processes.",0
EPS 80,Environmental Earth Sciences,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Fall 2017<br/>
This course focuses on the processes on and in the earth that shape the environment. Humanity's use of land and oceans is examined based on an understanding of these processes.",0
EPS C82,Oceans,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course offers multidisciplinary approach to begin answering the question ""Why are oceans important to us?"" Upon a physical, chemical, and geologic base, we introduce the alien world of sea life, the importance of the ocean to the global carbon cycle, and the principles of ecology with a focus on the important concept of energy flow through food webs. Lectures expand beyond science to include current topics as diverse as music, movies",0
EPS N82,Introduction to Oceans,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
The geology, physics, chemistry, and biology of the world oceans. The application of oceanographic sciences to human problems will be explored through special topics such as energy from the sea, marine pollution, food from the sea, and climate change.",0
EPS 100A,Minerals: Their Constitution and Origin,4 Units, Some background in chemistry and physics,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to structural, compositional, and physical properties of minerals, their analogs and related substances, their genesis in various geological and synthetic processes, and laboratory techniques to identify and investigate minerals. One field trip to selected mineral deposits and visits to laboratories.",0
EPS 100B,Genesis and Interpretation of Rocks,4 Units, 100A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to the principal geologic environments where rocks are formed and displayed. Igneous, sedimentary, and metamorphic processes discussed in the context of global tectonics.",0
EPS C100,Communicating Ocean Science,4 Units," One course in introductory biology, geology, chemistry, physics, or marine science required and interest in ocean science; junior, senior, or graduate standing; consent of instructor required for sophomores","Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
For undergraduates interested in improving their ability to communicate their scientific knowledge by teaching ocean science in elementary schools or science centers/aquariums. The course will combine instruction in inquiry-based teaching methods and learning pedagogy with six weeks of supervised teaching experience in a local school classroom or the Lawrence Hall of Science with a partner. Thus, students will practice communicating scientific",0
EPS 101,Field Geology and Digital Mapping,4 Units, 50 or equivalent introductory course in Earth and Planetary Science,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Geological mapping, field observation, and problem-solving in the Berkeley hills and environs leading to original interpretation of geological processes and history from stratigraphic, structural, and lithological investigations. Integration of the Berkeley hills geology into the Coast Ranges and California as a whole through field trips to key localities. Training in digital field mapping, global positioning systems, and laser surveying. Interdisciplinary",0
EPS 102,History and Evolution of Planet Earth,4 Units, 50,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Formation and evolution of the earth. Nucleosynthesis; formation of the solar system; planetary accretion; dating the earth and solar system; formation of the core, mantle, oceans, and atmosphere; plate tectonics; heat transfer and internal dynamics; stratigraphic record of environment, and evolution; climate history and climate change.",0
EPS 103,Introduction to Aquatic and Marine Geochemistry,4 Units," Chemistry 1A, Mathematics 1A or 16A. C82 recommended","Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
Introduction to marine geochemistry: the global water cycle; processes governing the distribution of chemical species within the hydrosphere; ocean circulation; chemical mass balances, fluxes, and reactions in the marine environment from global to submicron scales; carbon system equilibrium chemistry and biogeochemistry of fresh and salt walter; applications of natural and anthropogenic stable and radioactive tracers; internal ocean proc",0
EPS 104,Mathematical Methods in Geophysics,4 Units, Mathematics 53-54,"Terms offered: Spring 2017, Spring 2015, Spring 2013<br/>
Linear systems. Linear inverse problems, least squares; generalized inverse, resolution; Fourier series, integral transforms; time series analysis, spherical harmonics; partial differntial equations of geophysics; functions of a complex variable; probability and significance tests, maximum likelihood methods. Intended for students in geophysics and other physical sciences.",0
EPS 108,Geodynamics,4 Units," 60, Physics 7A, or Mathematics 53, 54","Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
Basic principles in studying the physical properties of earth materials and the dynamic processes of the earth. Examples are drawn from tectonics, mechanics of earthquakes, etc., to augment course material.",0
EPS 109,Computer Simulations in Earth and Planetary Sciences,4 Units, Math 1A or equivalent,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Introduction to modern computer simulation methods and their application to selected Earth and Planetary Science problems. In hands-on computer labs, students will learn about numerical algorithms, learn to program and modify provided programs, and display the solution graphically. This is an introductory course and no programming experience is required. Examples include fractals in geophysics, properties of materials at high pressure, celestial",0
EPS 111,Petroleum Geology,3 Units, Introductory course in geology,"Terms offered: Fall 2016, Fall 2014, Fall 2012<br/>
Basin development related to plate tectonics. Origin of petroleum: quality, quantity, thermal maturation of organic matter in source rock. Primary and secondary migration. Petroleum composition. Reservoir rock: stratigraphy and geometry. Traps: structural, stratigraphic or combination. Reservoir fluids and energy. Oil provinces, individual fields.",0
EPS 115,Stratigraphy and Earth History,4 Units," 50, 100A, 100B, or consent of instructor","Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Collecting, analyzing, and presenting stratigraphic data; dating and correlating sedimentary rocks; recognizing ancient environments and reconstructing Earth history; seismic and sequence stratigraphy; event stratigraphy and neocatastrophism; applications of stratigraphy to climate change, petroleum geology, and archaeology.",0
EPS 116,Structural Geology and Tectonics,3 Units, 50,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to the geometry and mechanics of brittle and ductile geologic structures; their origins and genetic relation to stress fields and their use as kinematic indicators; case histories of selected regions to elucidate tectonic evolution in different plate tectonic settings. Laboratory exercises will focus on analysis of hand specimens and structural relations portrayed on geologic maps. Several trips to observe geologic structures",0
EPS 117,Geomorphology,4 Units, Consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Quantitative examination of landforms, runoff generation, weathering, mechanics of soil erosion by water and wind, mass wasting, glacial and periglacial processes and hillslope evolution.",0
EPS 118,Advanced Field Course,4 Units," 50, 100A-100B, 101, or consent of instructor; 119 is strongly recommended","Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Advanced geological mapping, intensive field observation, and problem solving in the field areas selected by instructors. Includes preparation of final reports.",0
EPS 119,Geologic Field Studies,2 Units, 101 and consent of instructor,"Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
Two to four weekend field trips to localities of geological interest.",0
EPS 122,Physics of the Earth and Planetary Interiors,3 Units," Physics 7A-B, Mathematics 53-54, or equivalent","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Gravity field, density distribution, and internal seismic structure of the Earth and planets. Constitution, composition, temperature distribution, and energetics of the Earth's interior. The geomagnetic field and the geodynamo, and concepts in seismic imaging and geophysical fluid dynamics. This<br/>
course welcomes physics, computer science, engineering and applied maths majors.",0
EPS 124,Isotopic Geochemistry,4 Units," Chemistry 1A-1B, Mathematics 1A-1B","Terms offered: Spring 2017, Spring 2015, Fall 2013<br/>
An overview of the use of natural isotopic variations to study earth, planetary, and environmental problems. Topics include geochronology, cosmogenic isotope studies of surficial processes, radiocarbon and the carbon cycle, water isotopes in the water cycle, and radiogenic and stable isotope studies of planetary evolution, mantle dynamics, volcanoes, groundwater, and geothermal systems. The course begins with a short introduction to nuclear",0
EPS 125,Stable Isotope Geochemistry,4 Units,,"Terms offered: Spring 2018<br/>
This course provides an introduction to the principles of stable isotope geochemistry and the application of these principles to problems in Earth and planetary science. This course provides a foundation for the physical, chemical, and biological processes that cause isotopes to fractionate in nature including the kinetic theory of gases, equilibrium thermodynamics, and the kinetics of chemical reactions. These principles will be applied to the study of problems related",0
EPS C129,Biometeorology,3 Units,,"Terms offered: Fall 2016, Fall 2014, Fall 2012<br/>
This course describes how the physical environment (light, wind, temperature, humidity) of plants and soil affects the physiological status of plants and how plants affect their physical environment. Using experimental data and theory, it examines physical, biological, and chemical processes affecting transfer of momentum, energy, and material (water, CO2, atmospheric trace gases) between vegetation and the atmosphere. Plant biometeorology instrumentation",0
EPS 130,Strong Motion Seismology,3 Units," Mathematics 54, or equivalent and consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Generation of seismic waves. Synthetic accelerograms. Instrumentation to measure strong ground motion. Estimation of seismic motion at a site. Ground motion spectra. Influence of soils and geologic structures. Seismic risk mapping.",0
EPS 131,Geochemistry,4 Units," 100A-100B, Chemistry 1A-1B","Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
Chemical reactions in geological processes. Thermodynamic methods for predicting chemical equilibria in nature. Isotopic and chemical tracers of transport processes in the earth. Chemistry of the solid earth, oceans, and atmosphere.",0
