code,title,units,prereqs,offered,corrupt
ESPM 2,The Biosphere,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An introduction to the unifying principles and fundamental concepts underlying our scientific understanding of the biosphere. Topics covered include the physical life support system on earth; nutrient cycles and factors regulating the chemical composition of water, air, and soil; the architecture and physiology of life; population biology and community ecology; human dependence on the biosphere; and the magnitude and consequences of human interventions",0
ESPM 5,FROM FARM TO TABLE: FOOD SYSTEMS IN A CHANGING WORLD,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session<br/>
This course explores the journey of the U.S. food supply from the farm to the family table. The ecology, management, and politics of farming under a global change scenario, the impact of our changing patterns of demand on food processing and retail, the opportunties and costs of exports, and the way different groups access, use, and consume food.",0
ESPM 6,Environmental Biology,3 Units, One course in introductory college biology is recommended. Intended for nonscience majors,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Basic biological and ecological principles discussed in relation to environmental disruptions. Human interactions with the environment; their meaning for animals and plants. Discussion of basic ecological processes as a basis for understanding environmental problems and formulating strategies for their solution.",0
ESPM C10,Environmental Issues,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Relationship between human society and the natural environment; case studies of ecosystem maintenance and disruption. Issues of economic development, population, energy, resources, technology, and alternative systems.",0
ESPM C11,Americans and the Global Forest,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
This course challenges students to think about how individual and American consumer decisions affect forest ecosystems around the world. A survey course that highlights the consequences of different ways of thinking about the forest as a global ecosystem and as a source of goods like trees, water, wildlife, food, jobs, and services. The scientific tools and concepts that have guided management of the forest for the last 100 years, and the",0
ESPM C12,Introduction to Environmental Studies,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This integrative course, taught by a humanities professor and a science professor, surveys current global environmental issues; introduces the basic intellectual tools of environmental science; investigates ways the human relationship to nature has been imagined in literary and philosophical traditions; and examines how tools of scientific and literary analysis; scientific method, and imaginative thinking can clarify what is at stake in environmental",0
ESPM 15,Introduction to Environmental Sciences,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
Introduction to the science underlying biological and physical environmental problems, including water and air quality, global change, energy, ecosystem services, introduced and endangered species, water supply, solid waste, human population, and interaction of technical, social, and political approaches to environmental management.",0
ESPM 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman Seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. Enrollment limited to fifteen freshman.",0
ESPM 40,Insects and Human Society,3 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2016 8 Week Session<br/>
An introduction to the diversity and natural history of insects in natural and human environments. The course examines the wonder of insects, their interactions with the living world, and their contributions to and impacts on human society.",0
ESPM 42,Natural History of Insects,3 Units,,"Terms offered: Fall 2017, Spring 2015, Spring 2014<br/>
An outline of the main facts and principles of biology as illustrated by insects, with special emphasis on their relations to plants and animals, including humans.",0
