code,title,units,prereqs,offered,corrupt
ETH STD 10AC,"A History of Race and Ethnicity in Western North America, 1598-Present",4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Fall 2016<br/>
This course explores the role of ""race"" and ethnicity in the history of what became the Western United States from the Spanish invasion of the Southwest to contemporary controversies surrounding ""race"" in California. Rather than providing a continuous historical narrative, or treating each racialized ""other"" separately, the course works through a series of chronologically organized events in",0
ETH STD 11AC,Theories and Concepts in Comparative Ethnic Studies An Introduction,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This explores the work of key theorists of race, ethnicity, and de-colonization whose work and ideas have formed the basis of scholarly work in the broad, interdisciplinary field of comparative ethnic studies. It is intended both to offer beginning students a ground in the ideas and methods they will encounter throughout their major, and to introduce names, texts, and concepts with which all majors should be familiar. This course satisfies",0
ETH STD 21AC,A Comparative Survey of Racial and Ethnic Groups in the U.S,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
This survey course will examine the historical experiences of European immigrants, African Americans, and Latinos, emphasizing the themes of migration and economic change since the late 19th century. Though the class will focus on the three groups, the course will also address salient features of the experiences of Asian Americans, Native Americans, and recently arrived immigrants in light of the",0
ETH STD 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment iimited to 15 freshmen.",0
ETH STD 97,Field Study in Communities of Color,1 - 3 Units, Consent of instructor. Open to freshmen and sophomores only,"Terms offered: Spring 2016, Fall 2015, Summer 2015 10 Week Session<br/>
Supervised community field study.",0
ETH STD 98,Supervised Group Study,1 - 3 Units, Consent of instructor. Open to freshmen and sophomores only,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Group study of selected topics which will vary from semester to semester.",0
ETH STD 98BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
ETH STD 99,Supervised Independent Study and Research,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual research on a topic which will lead to the writing of major paper. Regular meetings with the faculty sponsor. Limited to freshmen and sophomores.",0
ETH STD 100,Comparative Ethnic Literature in America,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Spring 2017<br/>
Analysis of how selected works (poetry, short stories, novels, drama, and oral literature) reflect African American, Chicano, Asian American, and Native American consciousness and experiences.",0
ETH STD 101A,Social Science Methods in Ethnic Studies,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
The course provides an overview of social science methods used in ethnic studies fieldwork, archival research, oral histories, literature review, and critical theory. Particular attention is given to research design, forms of data, research presentation and analysis, and the ethical questions involved in doing research on communities of color. The course will emphasize presenting research in a clear",0
ETH STD 101B,Humanities Methods in Ethnic Studies,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
The course provides an introduction to basic theoretical approaches to the literary and other cultural productions of ethnic or ""minority"" communities in the United States. It also involves the study of important writings by Latina/o, Native American, African American, Asian American, and mixed race writers, and to a lesser degree, the visual art production of these same communities. The",0
ETH STD 103A,Proseminar: Issues in the Fields of Ethnic Studies: Racialization and Empire,4 Units,,"Terms offered: Spring 2017, Summer 2012 First 6 Week Session, Fall 2009<br/>
Designed primarily to give majors in Asian American studies, Chicano studies, Latin American studies, ethnic studies, and Native American studies elementary training in theoretical approaches to the study of race and ethnicity. Emphasis will be placed on writing and discussion. For a precise schedule of offerings, see department catalog during pre-enrollment week each semester.",0
ETH STD 103B,Proseminar: Issues in the Fields of Ethnic Studies: Ethnicity and the Narrative,4 Units,,"Terms offered: Spring 2018, Spring 2016, Summer 2010 First 6 Week Session<br/>
Designed primarily to give majors in Asian American studies, Chicano studies, Latin American studies, ethnic studies, and Native American studies elementary training in theoretical approaches to the study of race and ethnicity. Emphasis will be placed on writing and discussion. For a precise schedule of offerings, see department catalog during pre-enrollment week each semester.",0
ETH STD 122AC,Ethnicity and Race in Contemporary American Films,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
The depiction of race and ethnic relations in American films from the 1960s to the present. The course covers independent features as well as mainstream Hollywood studio films.",0
ETH STD C126,"Ethnicity, Gender, and Sexuality",4 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2011<br/>
Course focuses on the production of sexualities, sexual identification, and gender differentiation across multiple discourses and locations.",0
ETH STD 130,The Making of Multicultural America: A Comparative Historical Perspective,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
How and why did American society become racially and ethnically diverse? This comparative study of racial minorities and European immigrant groups examines selected historical developments, events, and themes from the 17th century to the present.",0
ETH STD 135,Contemporary U.S. Immigration,4 Units,,"Terms offered: Summer 2017 First 6 Week Session, Summer 2016 First 6 Week Session, Fall 2015<br/>
The myth, reality and history of U.S. immigration. This course discusses issues raised by the recent immigration in a comparative, historical approach. An examination of theories, politics, and policy of U.S. immigration restriction.",0
