code,title,units,prereqs,offered,corrupt
EWMBA W211,Game Theory (Online Version),2 or 3 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2016<br/>
A survey of the main ideas and techniques of game-theoretic analysis related to bargaining, conflict, and negotiation. Emphasizes the identification and analysis of archetypal strategic situations in bargaining. Goals of the course are to provide a foundation for applying game-theoretic analysis, both formally and intuitively, to negotiation and bargaining; to recognize and assess archetypal strategic situations in complicated",0
EWMBA 254,Power and Politics in Organizations,2 or 3 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
This course will provide students with a sense of ""political intelligence."" After taking this course, students will be able to: (1) diagnose the true distribution of power in organizations, (2) identify strategie for building sources of power, (3) develop techniques for influencing others, (4) understand the role of power in building cooperation and leading change in organizations, and",0
EWMBA 257,Special Topics in the Management of Organizations,0.5 - 3 Units,,"Offered through: Business Administration<br/>
Terms offered: Fall 2016, Fall 2014, Spring 2014<br/>
Advanced study in the field of Organizational Behavior and Industrial Relations. Topics will vary from year to year and will be announced at the beginning of each semester.",0
EWMBA 260,Consumer Insights,3 Units, Business Administration E206 or equivalent,"Offered through: Business Administration<br/>
Terms offered: Spring 2018, Spring 2015, Fall 2006<br/>
Examines concepts and theories from behavioral science useful for the understanding and prediction of marketplace behavior and demand analysis. Emphasizes applications to the development of marketing policy planning and strategy and to various decision areas within marketing.",0
EWMBA 262,Strategic Brand Management,3 Units, Business Administration E206,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
The focus of this course is on developing student skills to formulate and critique complete marketing programs including product, price, distribution, and promotion policies. Case analyses are heavily used. The course is designed primarily for students who will take a limited number of advanced marketing courses and wish an integrated approach.",0
EWMBA 263,Marketing Analytics,3 Units, Business Administration E206,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Fall 2007, Spring 2007<br/>
Information technology has allowed firms to gather and process large quantities of information about consumers' choices and reactions to marketing campaigns. However, few firms have the expertise to intelligently act on such information. This course addresses this shortcoming by teaching students how to use customer information to better market to consumers. In addition, the course addresses how",0
EWMBA 290T,Special Topics in Innovation and Design,0.5 - 3 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Advanced study in the fields of innovation and design. Topics will vary from year to year and will be announced at the beginning of each semester.",0
EWMBA 291C,Active Communicating,1 Unit,,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Fall 2015, Fall 2014<br/>
This course develops the basic building blocks of impactful communication--e.g., concentration, energy, voice, physical expressiveness, spontaneity, listening, awareness, and presence--by drawing upon expertise from theater arts. Active, participatory exercises allow for the development and embodiment of effective communication skills. Class readings, lectures, and discussions address participants'",0
EWMBA 291T,Topics In Managerial Communications,1 - 3 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Spring 2011, Fall 2010<br/>
This course will provide the student with specialized knowledge in some area of managerial communications. Topics include multimedia business presentations, personal leadership development, diversity management, and making meetings work. Topics will vary from semester to semester.",0
EWMBA 295A,Entrepreneurship,3 Units, Business Administration E206,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
The development of creative marketing strategies for new ventures, as well as the resolution of specific marketing problems in smaller companies which provide innovative goods and services. Emphasis is on decision making under conditions of weak data, inadequate resources, emerging markets, and rapidly changing environments.",0
EWMBA 296,Special Topics in Business Administration,1 - 3 Units, Graduate standing,"Offered through: Business Administration<br/>
Terms offered: Spring 2016, Fall 2015, Summer 2015 10 Week Session<br/>
Advanced study in various fields of business administration. Topics will vary from year to year and will be announced at the beginning of each semester.",0
