code,title,units,prereqs,offered,corrupt
FILIPN 1A,Introductory Filipino,5 Units, 1A: None. 1B: 1A,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A systematic introduction to the grammar, sentence patterns, and essential vocabulary of modern standard Filipino. Emphasis is placed on extensive practice in idiomatic Filipino conversation, with additional practice in reading and writing Filipino.",0
FILIPN 1B,Introductory Filipino,5 Units, 1B,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A systematic introduction to the grammar, sentence patterns, and essential vocabulary of modern standard Filipino. Emphasis is placed on extensive practice in idiomatic Filipino conversation, with additional practice in reading and writing Filipino.",0
FILIPN W1X,Introductory Filipino for Heritage Learners Online,5 Units,,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is an elementary Filipino class designed for heritage learners, and the first course in a sequence (Filipino W1X and W1Y). Using the functional-situational approach, the course builds on students’ passive vocabulary to harness four skills: listening, speaking, reading, and writing. Students develop skills enabling them to: talk/write about the self, family, and community; talk/write",0
FILIPN W1Y,Introductory Filipino for Heritage Learners Online,5 Units, Filipino 1A or W1X,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is an elementary Filipino class designed for heritage learners, and the second course in a sequence (Filipino W1X and W1Y). Using the functional-situational approach, the course builds on students’ passive vocabulary to harness four skills: listening, speaking, reading, and writing. Students develop skills enabling them to: talk/write about the self, family, and community;",0
FILIPN W15X,Intensive Intro Filipino for Heritage Learners Online,10 Units,,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Summer 2018 10 Week Session<br/>
This course is an intensive elementary class designed for heritage learners. Using the functional-situational approach, the course builds on students’ passive vocabulary to harness four skills: listening, speaking, reading, and writing. Students develop skills enabling them to: talk/write about the self, family, and community; talk/write about activities and interactions such as going to the doctor",0
FILIPN 100A,Intermediate Filipino,5 Units, 1A-1B,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Summer 2016 First 6 Week Session<br/>
The goal of this course is to enable students to increase their proficiency in Filipino to at least the intermediate-high level of the national ACTFL Proficiency Guidelines. While speaking and listening comprehension will be stressed, training in reading and writing Filipino will be an integral part of instruction. Films and video/audio materials will supplement written",0
FILIPN 100AB,Intermediate Filipino AB,9 Units, Filipino 1AB or Filipino 15 or Filipino XY or Placement Exam or Consent of Instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Summer 2018 8 Week Session<br/>
This is an intermediate class with emphasis on four basic skills: listening, speaking, reading, and writing. The first part of the course involves a review and expansion of vocabulary and grammar learned in Introductory Filipino through dialogues, listening, reading and writing exercises. Then, students learn four necessary skills in the effective use of Filipino: describing a person, place, or",0
FILIPN 100B,Intermediate Filipino,5 Units, 1A-1B,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Summer 2016 Second 6 Week Session<br/>
The goal of this course is to enable students to increase their proficiency in Filipino to at least the intermediate-high level of the national ACTFL Proficiency Guidelines. While speaking and listening comprehension will be stressed, training in reading and writing Filipino will be an integral part of instruction. Films and video/audio materials will supplement",0
FILIPN W100A,Intermediate Filipino Online,5 Units, Filipino 1A and 1B or Filipino W1X and W1Y or equivalent or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
First half of the intermediate class series with emphasis on four skills in the effective use of Filipino: describing people, places, and feelings; narrating a story or incident; defining and explaining; and reasoning. Vocabulary is expanded through dialogues and authentic texts. At the end of the class, students should have a firm grasp of grammatical structures, write short texts, and converse",0
FILIPN W100B,Intermediate Filipino Online,5 Units, Filipino 100A or Filipino W100A or equivalent or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Second half of the intermediate class series with emphasis on four skills in the effective use of Filipino: describing people, places, and feelings; narrating a story or incident; defining and explaining; and reasoning. Vocabulary is expanded through dialogues and authentic texts. At the end of the class, students should have a firm grasp of grammatical structures, write short texts",0
FILIPN 101A,Advanced Filipino,3 Units," 100A-100B or equivalent, or consent of instructor","Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
Students read and discuss essays on language, literature, and Phillippine society, and literary texts. Topics include language and the nation; poetry and discourse; language and ideology; and ""pananalinghaga"" (tropes/metaphors) in understanding society. The students choose whether they would like to go on a creative (poetry, fiction) or a research track (essay).",0
FILIPN 101B,Advanced Filipino,3 Units," 100A-100B, or equivalent, or consent of instructor","Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Students read and discuss essays on language, literature, and Phillippine society, and literary texts. Topics include language and the nation; poetry and discourse; language and ideology; and ""pananalinghaga"" (tropes/metaphors) in understanding society. The students choose whether they would like to go on a creative (poetry, fiction) or a research track (essay).",0
