code,title,units,prereqs,offered,corrupt
FILM R1A,The Craft of Writing - Film Focus,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Spring 2018, Fall 2017, Summer 2017 First 6 Week Session<br/>
Rhetorical approach to reading and writing argumentative discourse with a film focus. Close reading of selected texts; written themes developed from class discussion and analysis of rhetorical strategies. Satisfies the first half of the Reading and Composition requirement.",0
FILM R1B,The Craft of Writing - Film Focus,4 Units," Previously passed an R1A course with a letter grade of C- or better. <BR/>Previously passed an articulated R1A course with a letter grade of C- or better. <BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition. <BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition. <BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Intensive argumentative writing stimulated through selected readings, films, and class discussion. Satisfies the second half of the Reading and Composition requirement.",0
FILM 20,Film and Media Cultures,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 First 6 Week Session<br/>
This course is intended to introduce undergraduates to the study of a range of media, including photography, film, television, video, and print and digital media. The course will focus on questions of medium ""specificity"" or the key technological/material, formal and aesthetic features of different media and modes of address and representation that define them. Also considered is the relationship of individual",0
FILM 25A,The History of Film,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 First 6 Week Session<br/>
From the beginnings through the conversion to sound up until World War II era. In addition to the development of the silent film, the course will conclude with an examination of the technology of sound conversion and examples of early sound experiments.",0
FILM 25B,The History of Film,4 Units, Film and Media 25A,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The sound era from World War II to present time.",0
FILM 26,Introduction to Digital Video Production,4 Units, Film 25A,"Terms offered: Fall 2017, Fall 2015, Summer 2015 8 Week Session<br/>
The objective of this class is to provide a basic technical foundation for digital video film production while emphasizing the techniques and languages of creative moving image media from traditional story genres to more contemporary experimental forms. Training will move from pre-production-scripting and storyboarding, through production, including image capture, lighting and sound recording, to post-production with non-linear",0
FILM 50,Introduction to Film for Nonmajors,4 Units,,"Terms offered: Summer 2017 Second 6 Week Session, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
An introduction to film art and film technique for students who are interested in exploring the history and aesthetics of cinema but do not intend to major in film. The course traces the development of world cinema from the first films of the 1890s to the 1970s, drawing on examples from American, European, Asian, and Third World cinema.",0
FILM 105,Senior Seminar,4 Units, Senior standing; completion of all lower division requirements and two out of three of the upper division requirements; GPA of 3.4 or better in the major,"Terms offered: Fall 2017, Spring 2013, Spring 2009<br/>
Intensive study of topics in film and moving-image media.",0
FILM 108,Special Topics in Film Genre,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
The study of films as categorized either by industry-identified genres (westerns, horror films, musicals, film noir, etc.) or broader interpretive modes (melodrama, realism, fantasy, etc.).",0
FILM 128,Documentary,4 Units, 25A,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A survey of the history, theory, and practice of the documentary film (including video). How have the forms and ethics of the documentary changed since the beginning of cinema? A range of practices and strategies will be covered: cinema verite, direct cinema, narrational documentary, autobiography, investigative documentary, and recent fictional styles that combine the essayistic with the observational. The course moves between classic works",0
