code,title,units,prereqs,offered,corrupt
FRENCH 1,Elementary French,5 Units,,"Terms offered: Summer 2018 10 Week Session, Summer 2018 8 Week Session, Spring 2018<br/>
Introduction to speaking, listening, reading, and writing in French.",0
FRENCH R1A,English Composition in Connection with the Reading of Literature,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is designed to fulfill the first half of the Reading and Composition requirement. The primary goal of this course is to develop students' reading and writing skills through a series of assignments that will provide them with the opportunity to formulate observations made in class discussions into coherent argumentative essays. Emphasis will be placed on the refinement of effective sentence, paragraph, and thesis formation, keeping",0
FRENCH R1B,English Composition in Connection with the Reading of Literature,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
This course is designed to fulfill the second half of the Reading and Composition requirement. The primary goal of this course is to develop students' reading and writing skills through a series of assignments that will provide them with the opportunity to formulate observations made in class discussions into coherent argumentative essays. Emphasis will be placed on the refinement of effective sentence, paragraph, and",0
FRENCH 2,Elementary French,5 Units, 1 or equivalent,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Introduction to speaking, listening, reading, and writing in French. Continuation of French 1.",0
FRENCH 3,Intermediate French,5 Units, 2 or equivalent,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Building on foundation established in first year, trains students in listening, reading, writing, and speaking French. Review and refinement of grammar.",0
FRENCH 4,Advanced Intermediate French,5 Units, 3 or equivalent,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Advanced training in listening, reading, writing, and speaking French. Review and refinement of grammar.",0
FRENCH 13,Intermediate Conversation,2 Units, 2 or consent of Director of Lower Division,"Terms offered: Summer 2018 10 Week Session, Fall 2017, Summer 2017 10 Week Session<br/>
Intermediate French conversation. May not be repeated for credit.",0
FRENCH 14,Advanced Conversation,2 Units, 3 or 13 or equivalent,"Terms offered: Summer 2018 10 Week Session, Spring 2018, Fall 2017<br/>
Advanced French conversation. This course may not be repeated for credit.",0
FRENCH 24,Freshman Seminars,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Spring 2014<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to freshmen.",0
FRENCH 35,Practical Phonetics and Listening Comprehension,3 Units, 3,"Terms offered: Spring 2018, Spring 2017, Summer 2016 8 Week Session<br/>
This multimedia course concentrates on pronunciation and listening comprehension skills and provides a new understanding of the French language. Course Web site includes a wide variety of material--text, audio, or video, authentic or specifically recorded for the course--an audio-visual sound chart, and a multimedia reference section. International phonetic alphabet and theoretical concepts are taught as necessary. Strongly",0
FRENCH 43A,Aspects of French Culture,3 Units,,"Terms offered: Summer 2018 10 Week Session, Summer 2016 10 Week Session, Summer 2015 10 Week Session<br/>
Various historical and aesthetic themes and problems in the development of French civilization. In English.",0
FRENCH 43B,Aspects of French Culture,3 Units,,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Various historical and aesthetic themes and problems in the development of French civilization. In English.",0
FRENCH 102,Reading and Writing Skills in French,4 Units," 4 (taken at Berkeley) with a B- or better, or consent of instructor (may be taken concurrently with 103)","Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
An exploration of the ways words and images structure thought, communication and interactions of the subject and society. Development of reading and writing skills leading to correct and effective expression in French.",0
FRENCH 103A,Language and Culture,4 Units, 102 or equivalent,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Discussion and composition based on the analysis of literary and cultural texts.",0
FRENCH 103B,Language and Culture,4 Units, 102 or equivalent,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Discussion and composition based on the analysis of literary and cultural texts.",0
FRENCH 112B,Medieval Literature,4 Units, 102 or equivalent,"Terms offered: Fall 2016, Fall 2014, Fall 2012<br/>
Medieval literature from the <i>Chanson de Roland</i> to the <i>Roman de la Rose</i>.",0
FRENCH 114A,Late Medieval Literature,4 Units, 102 or equivalent,"Terms offered: Spring 2016, Spring 2014, Fall 2009<br/>
Late medieval literature: Joinville to Villon.",0
FRENCH 117A,Seventeenth-Century Literature,4 Units, 102 or equivalent,"Terms offered: Spring 2017, Fall 2014, Spring 2012<br/>
Authors from the first half of the 17th century. The Baroque; its chief exponents, literary attempts to resolve the crisis in Renaissance values, formulation of new concepts in philosophy and psychology, experiments with traditional forms in poetry, fiction, and the theatre. Preciosity, Descartes, and rationalism.",0
FRENCH 117B,Seventeenth-Century Literature,4 Units, 102 or equivalent,"Terms offered: Fall 2017, Spring 2014, Fall 2006<br/>
The concept of classicism and the development of tragedy. Jansenism, the doctrine of Port-Royal. Social satire and comedy.",0
FRENCH 118B,Eighteenth-Century Literature,4 Units, 102 or equivalent,"Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
A study of authors of the second half of the 18th century stressing the importance of the ""Movement Philosophique"" and the development of libertine values as well as the emergence of the pre-Romantic aesthetics.",0
FRENCH 119A,Nineteenth-Century Literature,4 Units, 102 or equivalent,"Terms offered: Spring 2017, Spring 2014, Fall 2012<br/>
Authors from the first half of the 19th century. Romantic poetry and drama. Balzac, Stendhal and the novel. Michelet and the emergence of history.",0
FRENCH 120A,Twentieth-Century Literature,4 Units, 102 or equivalent,"Terms offered: Fall 2017, Fall 2015, Spring 2013<br/>
The modern novel, the avant-garde, cubist poetry, Dada and Surrealism, the theatre before the Second World War.",0
FRENCH 120B,Twentieth-Century Literature,4 Units, 102 or equivalent,"Terms offered: Spring 2017, Fall 2014, Fall 2013<br/>
Development of the novel, poetry, and theatre since the Second World War. Sartre and existentialism, theatre of the absurd, nouveau roman.",0
FRENCH 121A,"Literary Themes, Genres, and Structures",4 Units, 102 or equivalent,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2016, Summer 2016 Second 6 Week Session<br/>
Topics vary from year to year. Past topics have included ""litterature fantastique,"" science fiction, autobiography, French lyric poetry.",0
