code,title,units,prereqs,offered,corrupt
GERMAN 1,Elementary German 1,5 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
All four foreign language skills (reading, writing, speaking, and listening) are addressed to help students acquire communicative competence in the German language while being sensitized to the links between language and culture. This course is for students with no prior knowledge of German.",0
GERMAN 1G,Elementary German for Graduate Students,0.0 Units, One year of prior college level German instruction required,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Elementary German for graduate students preparing for reading examinations.",0
GERMAN 2,Elementary German 2,5 Units, 1 or equivalent,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
In this course, students will continue to develop communicative competence in the German language and expand their sensitivity towards the relationship between language and culture. While all language skills will be addressed, additional emphasis will be on the various styles of written and spoken German.",0
GERMAN 2G,Elementary German for Graduate Students,0.0 Units, 1G,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Elementary German for graduates preparing for reading examinations.",0
GERMAN 3,Intermediate German I,5 Units, 2 or equivalent,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
While continuing to expand students' communicative competence in German, this content-driven course will provide insights into postwar German history and cultural trends. Primary focus will be on the development of literacy skills (critical reading and writing), vocabulary expansion, and a thorough review of structural concepts. You will be guided towards expressing yourself on more abstract topics",0
GERMAN 4,Intermediate German II,5 Units, 3 or equivalent,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
In this fourth-semester German language course you will work on strengthening your interpretative abilities as well as your written and oral forms of expression. While continuing the development of communicative competence and literacy skills, students will discuss a variety of texts and films and try to find innovative ways in which to engage with familiar presuppositions about who we are, about",0
GERMAN R5A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course offers a survey of modern German literary, cultural, and intellectual currents, as well as an introduction to argumentation and analysis. Students will examine numerous issues and questions central to defining the complexity of modern German culture. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the second half.",0
GERMAN R5B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
This course offers a survey of modern German literary, cultural, and intellectual currents, as well as an introduction to argumentation and analysis. Students will examine numerous issues and questions central to defining the complexity of modern German culture. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the second half.",0
GERMAN 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Fall 2014<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
GERMAN C25,"Revolutionary Thinking: Marx, Nietzsche, Freud",4 Units,,"Terms offered: Spring 2018, Fall 2015, Spring 2013<br/>
We will explore the ways in which Marx, Nietzsche, and Freud--three of the most important thinkers in modern Western thought--can be read as responding to the Enlightenment and its notions of reason and progress. We will consider how each remakes a scientific understanding of truth, knowledge, and subjectivity, such that rationality, logic, and the powers of human cognition are shown to be distorted, limited, and subject to forces outside our",0
GERMAN 39P,Freshman Seminar,4 Units,,"Terms offered: Fall 2016<br/>
No knowledge of German required.",0
GERMAN 40,German Conversation,2 Units, 4 or equivalent,"Terms offered: Spring 2016, Fall 2009, Spring 2009<br/>
Advanced German conversation course that includes discussions, debates, individual presentations, and one or two in-class movies in German. Most materials will be provided by the instructor but students will also be asked to use their own resources from printed or online media. Regular vocabulary quizzes will be part of the course grade. Taught in German.",0
GERMAN 98,Directed Group Study,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group study of selected topics not covered by regularly scheduled courses. Topics may be initiated by students under the sponsorship and direction of a member of the German Department's faculty.",0
GERMAN 99,Supervised Independent Study,1 - 4 Units, Open only to freshmen and sophomores. Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Independent study and research by arrangement with faculty.",0
GERMAN 100,Introduction to Reading Culture,3 Units, Knowledge of German required,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The course is intended to acquaint students with selected works from German cultural history and to familiarize them with various methods of interpretation and analysis. Required of all German majors.",0
GERMAN 101,"Advanced German: Conversation, Composition and Style",3 Units, 4 or equivalent,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Focusing on five central themes, this advanced-level language course will help students to improve and expand on spoken and written language functions utilizing a variety of works from different genres in journalism, broadcasting, literature, fine arts, and the cinema. The final goal is to enable students to participate in the academic discourse--written and spoken--at a linguistic and stylistic level appropriate for an advanced student of",0
GERMAN 102A,Advanced Language Practice: German Performance,3 Units," 4 or equivalent, or consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Analysis, discussion, adaptation, and public performance of authentic texts from German Kabarett, such as comedic skits, political and social satire, parody, humorous poetry. Text selection will vary each semester.",0
GERMAN 102D,Advanced Language Practice: Popular Culture in Germany,3 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Focusing on popular culture in German speaking countries, this advanced level language course will help students to improve and expand on spoken and written language functions utilizing a variety of works from different genres in journalism, broadcasting, literature, fine arts, music, and the cinema. Readings, screenings, discussion, and writing assignments will advance students' language skills and further develop their communicative competencies",0
GERMAN 103,Introduction to German Linguistics,3 Units,,"Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
This course is designed to provide students with an overview of the major subfields of linguistics as they apply to the German language. It also serves as the gateway course for the further study of German linguistics at the undergraduate level. The first part of the course will focus on the synchronic description of contemporary German. The second part of the course will concern itself with variation in German. There are no prerequisties for",0
GERMAN 105,Middle High German for Undergraduates,3 Units, Knowledge of modern German required,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Students will learn the fundamentals of Middle High German grammar and will read selections from major narrative works of the High Middle Ages. Selections from major works from the 13th century.",0
GERMAN 107,German for Reading Knowledge,3 Units," One year of college level German, or equivalent","Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
This course is designed to prepare graduate students for translation/reading exams in German. Students who do not need to pass such an exam, but who wish to improve their reading and translation skills in academic German, are also welcome.",0
GERMAN 108,Literary Translation,3 Units, Two upper division courses in German literature,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course introduces students to the problems of literary translation from German to English.",0
GERMAN 110,The Literature of the Middle Ages,3 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Introduction in modern German or English translation to major literary monuments of the Hohenstaufen period. Intended for undergraduates with no knowledge of Middle High German.",0
GERMAN 131,Goethe,3 Units, Knowledge of German required,"Terms offered: Spring 2016, Spring 2015, Spring 2013<br/>
An introduction to Goethe's prose, drama, and poetry.",0
GERMAN 140,Romanticism,3 Units,,"Terms offered: Fall 2017, Fall 2009, Fall 2007<br/>
Literature, philosophy, and aesthetics of the Romantic period.",0
GERMAN 148,Topics in Narrative,3 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2013<br/>
Analysis of German narrative forms. Topic varies.",0
GERMAN 152,Modern Literature,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to philosophical, ideological, and aesthetic trends at the turn of the century. Analyses of literary texts by Th. Mann, F. Kafka, S. George, R. M. Rilke, G. Benn, B. Brecht.",0
GERMAN 157A,"German Intellectual History in a European Context: Historical Figures and Contemporary Reflections: Luther, Kant, Hegel",4 Units,,"Terms offered: Spring 2017, Fall 2014, Fall 2012<br/>
Introduction to the intellectual history of Germany from the age of the Reformation to the period of Idealism. We will focus on three major thinkers--Martin Luther, Immanuel Kant, and G.W.F. Hegel--on key issues in their thought, and on the reception and discussion of some of these issues in 20th century theory. Lectures and readings in English.",0
GERMAN 157C,German Intellectual History in a European Context: Historical Figures and Contemporary Reflections: Heidegger and Arendt,4 Units,,"Terms offered: Spring 2016, Fall 2013, Fall 2011<br/>
This course is an introduction to the work of Martin Heidegger and Hannah Arendt. We will begin with an investigation into Heidegger's conceptualiztions of language, time, and human dwelling. We will then move to an examination of Arendt's political philosophy, including her focus on the public/private distinction. Taught in English.",0
GERMAN 157D,"German Intellectual History in a European Context: Historical Figures and Contemporary Reflections: Adorno, Benjamin, Habermas",4 Units,,"Terms offered: Fall 2017, Spring 2014, Spring 2012<br/>
This course examines the writings of the Frankfurt School of Critical Theory, a major branch of western Marxism. Focusing on confrontations with modernity, the lectures will deal with three seminal thinkers: Walter Benjamin, known for his genial insights into the culture of modernism; Theodor Adorno, the versatile philosopher and aesthetic theorist of the avant garde; and Jurgen Habermas, the most influential German intellectual after World",0
GERMAN 160B,Politics and Culture in 20th-Century Germany: Fascism and Propaganda,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2016<br/>
This course will focus on the theory and practice of propaganda during the 12 years of the Third Reich. It takes a close look at the ideology the Nazis tried to transmit, the techniques, organization, and effectiveness of their propaganda. Challenging the idea of the total power of propaganda, it looks for the limits of persuasion and possible other reasons for which Germans might have decided to follow Hitler. Sources",0
GERMAN 160C,Politics and Culture in 20th-Century Germany: A Divided Nation. Politics and Culture in Germany 1945-1990,4 Units,,"Terms offered: Fall 2017, Spring 2016, Fall 2014<br/>
This course offers an introduction to the history and culture of divided Germany in the era of the Cold War. It will look at the different ways the two states dealt with the country's pre-1945 history, the relations to the Allied Powers, and the major cultural shifts which eventually created a watershed in the history of German mentalities. We will look at various kinds of sources, including literature and film. Major national debates will be",0
GERMAN 160K,Politics and Culture in 20th-Century Germany: The Weimar Republic: Politics and Culture in Germany 1918-1933,4 Units,,"Terms offered: Spring 2016, Fall 2013, Fall 2012<br/>
The history of Germany's first parliamentary democracy is a dramatic one, dominated by economic woes, political violence, and a general perception of crisis and decline. The ill-fated republic bore the burden of a devastating war and suffered from an increasing lack of popular support. Democratic procedures were constantly undermined by radical and reactionary forces. Cultural pessimism was nurtured by the overwhelming experience of historical",0
GERMAN 173,The Phonetics and Phonology of Modern German,3 Units,,"Terms offered: Spring 2016, Spring 2013, Spring 2011<br/>
A course designed for undergraduates and graduates on the structure of modern German covering the fundamentals of German phonetics and phonology, with comparison to English. Some discussion of German dialect phonology.",0
GERMAN 174,The Morphology and Syntax of Modern German,3 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2012<br/>
A course designed for undergraduates and graduates on the grammatical structure of modern German covering the fundamentals of German morphology, syntax and semantics, with comparison to English.",0
GERMAN 179,Special Topics in German,3 Units, Knowledge of German may be required depending on topic,"Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Topics will vary from semester to semester. See departmental announcement for offerings. Additional screening time may be required for film topics.",0
GERMAN 186,Transnational Cinemas,4 Units,,"Terms offered: Fall 2017, Spring 2016, Fall 2014<br/>
This course will explore how experiences of migration, dislocation, or exile are visualized in cinema, and how processes of internationalization in film production and distribution intersect with the projection of a transnational global imagery. Some examples of transnational cinematic connections will be analyzed in historical perspective as well as contemporary examples of ""migrant cinema."" We will investigate how these films engage",0
GERMAN H196,Honors Studies in German,2 - 4 Units, One of the 195 courses,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised independent study and research course for honor students who are writing their theses for completion of the requirements for the Honors Program.",0
GERMAN H196A,Honors Studies in German,2 Units, Consent of faculty adviser; H196A is prerequisite to H196B,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Two-semester supervised independent study and research course in which honor students research their theses topic the first semester (H196A) and write their theses the second semester (H196B) for completion of the requirements for the honors program.",0
GERMAN H196B,Honors Studies in German,2 Units, Consent of instructor; H196A is a prerequisite of H196B,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Two-semester supervised independent study and research course in which honor students research their theses topic the first semester (H196A) and write their theses the second semester (H196B) for completion of the requirements for the honors program.",0
GERMAN 198,Directed Group Study,2 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group study of selected topics which will vary from year to year.",0
GERMAN 199,Supervised Independent Study and Research,1 or 2 Units, Open to students who have completed at least 15 units of upper division German with an average no less than B,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Supervised independent study and research.",0
GERMAN 201A,Major Periods in German Literature: Literature of the Middle Ages,4 Units,,"Terms offered: Fall 2016, Spring 2014, Fall 2010<br/>
Survey of medieval German literature that concentrates on monuments of the Hohenstauffen period but also includes representative works from the later 13th, 14th and 15th centuries. Intended for M.A. candidates but open to all students with a working knowledge of Middle High German.",0
GERMAN 201C,Major Periods in German Literature: 18th Century,4 Units,,"Terms offered: Spring 2016, Fall 2012, Fall 2010<br/>
An introduction to major works of late Enlightenment, Sturm and Drang, and Classicism to Schiller's death.",0
GERMAN 201D,Major Periods in German Literature: 19th Century,4 Units,,"Terms offered: Spring 2018, Spring 2015, Spring 2012<br/>
A study of pivotal literary texts, including works by Goethe, Novalis, Holderlin, Heine, and Nietzsche.",0
GERMAN 204,Compact Seminar,2 Units,,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
A compact seminar designed to feature distinguished short-term visitors from German-speaking countries who have expertise in German literature and culture to teach topics that complement regular departmental offerings. One short paper is required. Taught in German.",0
GERMAN 205,Studies in Medieval Literature,4 Units, 106 or 203,"Terms offered: Spring 2017, Spring 2015, Spring 2013<br/>
So-called ‘mystical’ forms of thought and experience have played a major role in the history of modern philosophy and literature from Hegel to Georg Lukàcs, Martin Heidegger, Georges Bataille, and Jacques Derrida, and from Novalis to Robert Musil, Paul Celan, Ingeborg Bachmann, Pierre Klossowski, and John Cage (to name just a few). In this seminar we will read and discuss key texts written by Eckhart of Hochheim (Meister Eckhart), Mechthild",0
GERMAN 206,Studies in the Early Modern,4 Units,,"Terms offered: Spring 2016, Spring 2009, Fall 2002<br/>
Survey of texts from the 15th and 16th centuries. A good reading knowledge of Middle High German is recommended.",0
GERMAN 207,Methods,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Drawing on a variety of literary texts, periods, and genres, this seminar will present and explore different ways of reading. Topics will include literary hermeneutics and textual deconstruction.",0
GERMAN 214,Studies in the 20th Century,4 Units,,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>",0
GERMAN 255,Interpretation and Criticism of Poetry,4 Units,,"Terms offered: Fall 2016, Fall 2010, Spring 2007<br/>",0
GERMAN 256,Problems of Literary Theory,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Topics vary from year to year. For current topic see the department's ""Course Descriptions"" booklet.",0
GERMAN 263C,Poetry and Thought,4 Units, Previous work with German poetry and philosophy,"Terms offered: Spring 2018, Fall 2013, Fall 2012<br/>
This seminar examines the interrelationship of poetic and philosophical discourses, with an emphasis on roles and functions of language. Questions of style and writing will interrelate different genres of poetry and thought. The seminar will explore a tradition in which poetic thought and highly reflective poetry approach and at times merge with each other.",0
GERMAN 265,Film Theory: Historical and Systematic Perspectives,4 Units, 200 or equivalent,"Terms offered: Spring 2017, Fall 2016, Spring 2012<br/>
This seminar will examine traditional and recent critical approaches to the study of film. Knowledge of German and background in literary theory required.",0
GERMAN 270,History of the German Language,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Designed for students interested in the history of the language and culture of united Germany, Austria, Switzerland, and Liechtenstein, which transverses a rich legacy from the , through Luther and Grimm, to Grass and . Discussion, via linguistic principles, of language processes in the genetic development of the German language, as well as its interchange over time with closely and remotely related languages.",0
GERMAN 276,Old High German,4 Units,,"Terms offered: Spring 2018, Fall 2014, Spring 2012<br/>
Reading of poetic and prose texts in Old High German. The synchronic and diachronic study of the dialects of the High German language from the eighth to the eleventh century within the framework of current linguistic method.",0
GERMAN 280,North Sea Germanic,4 Units,,"Terms offered: Spring 2018, Fall 2013, Fall 2010<br/>
Readings and discussion of poetic and prose texts in the Ingwaeonic languages (broadly construed) not covered elsewhere: Old Low Franconian, Middle Dutch, Old Frisian, Middle Low German.",0
GERMAN 282,Old Saxon,4 Units,,"Terms offered: Fall 2016, Spring 2013, Spring 2011<br/>
Study of the most provocative of the major Germanic languages in terms of structural identification. The literary and ethnographic setting of the and its shared isogrammar.",0
GERMAN 290,Seminar in German Linguistics,4 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Variable topic. For specific topic contact departmental office.",0
GERMAN 292,German Syntax,4 Units,,"Terms offered: Spring 2016, Spring 2012, Fall 2006<br/>
Discussion of current syntactic theories as applied to a number of issues in modern German syntax with an eye toward their description and explanatory potential. Typological comparison, especially with English.",0
GERMAN 293,German Semantics,4 Units,,"Terms offered: Fall 2016, Fall 2012, Spring 2009<br/>
Concentration on the essential categories of semantics via data from German and Germanic. Extensive discussion of semantic change, the semantics of prevarication, and the semantics of pathological language.",0
