code,title,units,prereqs,offered,corrupt
GLOBAL 10A,Introduction to Global Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017<br/>
This course is designed as an introduction to Global Studies. Using a social science approach, the course prepares students to think critically about issues of international development, conflict, and peace in a variety of societies around the world. As such it provides students with a basic theoretical introduction to the impact of global interaction as well as an opportunity to explore such interaction in a variety of case studies.",0
GLOBAL 10B,Critical Issues in Global Studies,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
Global Studies 10B serves as an introduction to the Global Studies curriculum. Global Studies 10B introduces students to global issues through the lens of the humanities, such as art, literature, film, and culture. The topic of Global Studies 10B will vary from year to year, depending on the instructor. Students in each iteration of this course will learn about salient global interactions from a variety of cultural pe",0
GLOBAL 24,Freshman Seminar In Global Studies,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment is limited to 15 freshmen.",0
GLOBAL 100D,"Global Development: Theory, History, Geography",4 Units,,"Terms offered: Spring 2018<br/>
This course examines whether the convergence between the ‘new Right’ and the ‘new Left’ has successfully addressed the central challenge of contemporary global development studies. It asks students to assess the multiple, nonlinear, and interconnected paths of change in Africa, Asia, Latin America, and the Middle East that are now taking place. It explores the context of intensified global integration and capitalist development. Students will consider what changes",0
GLOBAL 100P,Approaches to Peace and Conflict,4 Units,,"Terms offered: Spring 2018, Fall 2017<br/>
This course will look at peace (and conflict) in a wide variety of formats and contexts, and will examine both the theories that seek to explain peace and the practices that compose it. The course is structured around a series of modules, each dealing with a different facet of peace and/or conflict.",0
GLOBAL 100S,Global Societies and Cultures,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Spring 2017<br/>
This course offers an introduction to ways of thinking about, and visualizing, “the global” over time. People from different societies and cultures have been drawn together as a result of processes that can best be conceived of as “flows” of people, capital, ideas and goods. Using a panoramic lens, we will explore a series of interactions, analyzing the wide-ranging effects of those interactions and the artifacts they",0
GLOBAL 102,Critical Thinking In Global Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017<br/>
This course, required for students in the Global Studies major, will teach students to identify and evaluate arguments, explain conflicting evidence, interpret tables, charts, and graphs and evaluate the ethical implications of scholarly work. Students will explore how research questions are framed and developed and learn how to determine which method and approach is best suited to answering a particular research question.",0
GLOBAL 110E,Europe/Russia In Global Context,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
This course seeks to introduce Global Studies majors to the regions of Europe and Russia and its significance to the larger study of the globe. The course will be divided into three parts based on the three concentrations within the Global Studies major: Society and Culture, Development, Peace and Conflict. Each of these sections, examines key topics for understanding the region and its relationship to other parts of the globe.",0
GLOBAL 110K,Africa In Global Context,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
This course will provide students majoring in Global Studies with an introduction to Africa and its significance to the globe. We will address issues related to Africa that span all three concentrations of the major (Society and Culture, Development, Peace and Conflict). In particular, we will focus on the following four themes:conflict, identity, development and technology.<br/>",0
GLOBAL 110L,Latin America In Global Context,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
This course seeks to introduce Global Studies majors to the region of Latin America and the Caribbean and its significance to the larger study of the globe. The course will be divided into three parts based on the three concentrations within the Global Studies major: Society and Culture, Development, Peace and Conflict. Each of these sections, examines key topics for understanding the region and its relationship to other<br/>
parts of the globe.",0
GLOBAL 110M,Middle East In Global Context,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
This course provides Global Studies majors with an introduction to the Middle East region, broadly defined. It takes an interdisciplinary approach, joining the fields of history, political science, anthropology, religious studies, economics, and Middle Eastern studies. Students will be introduced to major historical themes in the study of Middle Eastern societies that are relevant in understanding contemporary intellectual debates and the origins, nature",0
GLOBAL 110Q,Asia In Global Context,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
This course provides students with an introduction to Asia in global context. The course employs a Global History approach, which emphasizes national histories as a part of a series of global processes. It explores how countries in Asia, regardless of their diverse cultures, have been drawn into the development of global capitalism. This course addresses all of the Global Studies major’s concentrations, i.e. Societies and Cultures, Development, Peace",0
GLOBAL 111Q,Conflicts In Regional Perspective: Asia.,3 Units,,"Terms offered: Spring 2018<br/>
This course examines the origins of South Asian conflicts. It draws on contemporary case studies from India, Pakistan, Sri Lanka, Nepal, Bhutan, and the Maldives. Domestic developments will be covered in detail, and will also be situated in the larger context of global interactions and governance. Regional issues, such as nuclear proliferation and terrorism, are addressed, as are other contentious issues such as the status of Kashmir, the spread of identity-based",0
GLOBAL 121,Globalization In India,4 Units,,"Terms offered: Fall 2017<br/>
This course uses the analytic of globalization and an interdisciplinary approach to provide an overview of contemporary India, focusing mainly, though not exclusively, on urban India.<br/>
Students will be introduced to the debates surrounding colonial modernity, as an earlier globalizing era, this serving as background for considering contemporary India. Topics covered include: the Indian middle class,<br/>
urban life, Hindu nationalism and other social movements,",0
GLOBAL 123L,Perspectives For Sustainable Rural Development,4 Units,,"Terms offered: Fall 2017<br/>
This course analyzes the ecological, socio-economic and policy challenges and opportunities facing the rural population of Latin America in today’s globalized economy. After a critique of the impacts of conventional, agro-export development models of agricultural development (green revolution, non-traditional export crops, biotechnology, biofuels, etc.) the elements of a sustainable agroecological development path are discussed, a path that emphasizes: farmers empowerment",0
GLOBAL C128,Education and International Development,4 Units,,"Terms offered: Spring 2018, Fall 2016, Fall 2015, Fall 2014<br/>
This course is designed to provide a comprehensive overview of international development education. Through the use of lectures, discussions, and multimedia presentations, students will examine three core themes: 1) the purpose of education; 2) how contemporary development policy conceptualizes education; 3) education as a tool for social transformation. To the extent possible, the course draws connections between theory and practical",0
GLOBAL 132,Conflict Resolution: Theory and Practice,3 Units,,"Terms offered: Fall 2017<br/>
This course explores the nature of interpersonal and group conflict, resolution, and their relationship to culture. The course examines the intersection between conflict and race and ethnicity in particular, with an emphasis on the major racial/ethnic groups in the United States. Other dimensions of diversity such as gender, class, and sexual orientation in conflict situations are also explored. The goal is to apply this understanding to resolving intercultural conflicts",0
GLOBAL 133,International Conflict,3 Units,,"Terms offered: Spring 2018<br/>
Inspired by the changed meaning of international conflict and the expanding mission of conflict resolution in the post-cold war era, this course will study the contemporary context and issues of conflict by examining the evolution in thinking about conflict, the resolution, and their application in practice.",0
GLOBAL 143Q,Contentious History and Memory: Comfort Women Issues in Japan and Korea,6 Units,,"Terms offered: Summer 2017 First 6 Week Session<br/>
This course will study a wide spectrum of opinions and views on the issue of “comfort women.” Students will approach this topic in the context of wartime sexual and gender-based violence at a time when an imperial order was the norm. Students will also probe shifting narratives of wartime responsibilities in the post-war Japanese and Korean societies. Students will engage in issues of reparations, legal accountability, historical memories, truth",0
GLOBAL 150Q,Special Topics In Asia,4 Units,,"Terms offered: Spring 2018, Fall 2017<br/>
Advanced multidisciplinary research in current issues and topics related to Asia. This Global Studies course will focus on specific issues related to Asia with appropriate comparative material included.Topics will change depending on the instructor teaching.",0
GLOBAL 154M,Special Topics: Global Middle East,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 First 6 Week Session<br/>
This course explores special topics, based on current research and interests and is focused on at least one global region. Using a social science perspective, students will engage in critical thinking about the way in which a particular region, or subset of a region, interacts with other states and societies.",0
GLOBAL 173,International Human Rights,4 Units,,"Terms offered: Fall 2017<br/>
This course will explore the philosophical evolution of human rights principles in the realm of political theory and the influence of such principles as they have transformed into a coherent body of law. We will focus specifically on issues in international human rights law; the approach will be both thematic and comparative. Topics will include but are not limited to: human rights diplomacy; the influence of human rights in international legal practice; cultural and",0
GLOBAL 176,Terrorism and Counterterrorism,4 Units,,"Terms offered: Spring 2018<br/>
This course will describe the issues, policies and practices of counter-terrorism and counter-insurgency. Terrorism continues to increase in frequency and lethality. Insurgency too is more frequent and deadly (insurgency now is riskier than terrorism). The actors and methods increasingly overlap, so that terrorism and insurgency practically must be studied together. This course examines the concepts, history, motivations and methods of terrorism and insurgency, and",0
GLOBAL 177,Global Security Risks,4 Units,,"Terms offered: Spring 2018<br/>
This course teaches students how to analyse risks and security, to understand particular risks, to manage these risks from their root causes. Students will learn about risks from the global to the operational levels, from international conflict, natural risks, political instability, operational and logistical insecurity, physical site insecurity, transport insecurity, to information, communications, and cyber security. For instance, students will learn how to forecast",0
GLOBAL 210,MA Seminar for Global Studies,4 Units,,"Terms offered: Fall 2017<br/>
This reading seminar, required of all MA students in Global Studies, will approach a particular topic in global studies each year. Covering a variety of themes, students will engage with the literature of the field, and begin to study the ways in which particular problems have been approached from a variety of disciplinary perspectives in the social sciences.",0
GLOBAL 375,Professional Training: Teaching in Global Studies,2 Units, Appointment as a graduate student instructor for one of the Global Studies or Political Economy undergraduate courses,"Terms offered: Fall 2017<br/>
This course is intended to prepare Global Studies MA students to be instructors in interdisciplinary/multi-departmental courses. It will serve as a forum to discuss problems and create innovative solutions to these problems. Focusing on course construction and operation, specialists from various disciplines will discuss strategies for moving outside of their areas of specialization and into broader areas of Global Studies. Graduate students will be provided training",0
