code,title,units,prereqs,offered,corrupt
GREEK 1,Elementary Greek,4 Units,,"Offered through: Classics<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Beginners' course.",0
GREEK 2,Elementary Greek,4 Units, 1 or equivalent,"Offered through: Classics<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Beginners' course.",0
GREEK 10,Intensive Elementary Greek,8 Units,,"Offered through: Classics<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Beginners' course (intensive); equivalent to Greek 1-2.",0
GREEK 15,The Greek Workshop,10 Units," Senior or graduate standing, or consent of instructor","Offered through: Classics<br/>
Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
Designed for anyone who wishes to acquire reading knowledge of ancient Greek; replaces 2+ semesters of traditional study. Lectures, discussions, drills and tutorial sessions on grammar and vocabulary; readings in prose and poetry (e.g., Homer, Plato, Greek Tragedy, the Gospels).<br/>",0
GREEK 40,Intermediate Greek Prose Composition,4 Units," 2, 10, or 15","Offered through: Classics<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
. Development of skills in writing Attic prose and sight reading; grammar review.",0
GREEK 100,Plato and Attic Prose,4 Units," 2, 10, or 15","Offered through: Classics<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Readings from Plato's or , and from other Attic prose authors (e.g., Xenophon, Lysias); some review of grammar.",0
GREEK 101,Homer,4 Units," 1-2, 10, or 15","Offered through: Classics<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Selected readings in the or .",0
GREEK 102,Drama and Society,4 Units, 100,"Offered through: Classics<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Reading of one Greek tragedy, and of further selections from the dramatists and/or prose literature of fifth century Athens.",0
GREEK 105,The Greek New Testament,4 Units, 100,"Offered through: Classics<br/>
Terms offered: Spring 2016, Spring 2015, Spring 2012<br/>
Readings in the Gospels and/or Acts and/or Epistles.",0
GREEK 120,Herodotus,4 Units, Greek 100 and either 101 or 102 or 105,"Offered through: Classics<br/>
Terms offered: Fall 2017, Spring 2012, Spring 2006<br/>
Readings in Herodotus.",0
GREEK 122,Attic Oratory,4 Units, Greek 100 and either 101 or 102 or 105,"Offered through: Classics<br/>
Terms offered: Spring 2017, Fall 2013, Fall 2006<br/>
Readings in oratory.",0
GREEK 123,Plato and Aristotle,4 Units, Greek 100 and either 101 or 102 or 105,"Offered through: Classics<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2013<br/>
Readings in Plato and Aristotle.",0
GREEK 125,Greek Literature of the Hellenistic and Imperial Periods,4 Units," 100, and either 101, 102, or 105","Offered through: Classics<br/>
Terms offered: Fall 2016, Spring 2014, Fall 2011<br/>
Selected readings in Greek prose or poetry written by authors active during the Hellenistic Age and the Roman Empire (3rd century BCE to 6th century CE).",0
