code,title,units,prereqs,offered,corrupt
GWS R1B,Reading and Composition,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 First 6 Week Session<br/>
Training and instruction in expository writing in conjunction with reading literature. The readings and assignments will focus on themes and issues in gender and women's studies. This course satisfies the second half of the Reading and Composition requirement.",0
GWS 10,Introduction to Gender and Women's Studies,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Introduction to questions and concepts in gender and women's studies. Critical study of the formation of gender and its intersections with other relations of power, such as sexuality, racialization, class, religion, and age. Questions will be addressed within the context of a transnational world. Emphasis of the course will change depending on the instructor.",0
GWS 14,"Gender, Sexuality, and Race in Global Political Issues",4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The production of gender, sexuality, and processes of racialization in contemporary global political issues. Topics and geographical foci may vary. Examples: the post-9-11 situation in the U.S. and U.S. wars in Afghanistan and Iraq; Hindu-Muslim conflict in India; the wars in the former Yugoslavia and Rwanda; the Israel/Palestine situation; global right-wing movements; state and social movement terrorisms and transnational ""security""",0
GWS 20,Introduction to Feminist Theory,4 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Why study theory? How, and from where, does the desire to theorize gender emerge? What does theory do? What forms does theory take? What is the relationship between theory and social movements? This course will introduce students to one of the most exciting and dynamic areas of contemporary inquiry.",0
GWS 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
The Freshman and Sophomore Seminars program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to fifteen freshmen.",0
GWS 40,Special Topics,3 Units,,"Terms offered: Fall 2016, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
The findings of feminist scholarship as they apply to a particular problem, field, or existing discipline. Designed primarily for lower division students and non-majors. Topics vary from semester to semester. Students should consult the Women's Studies announcement of courses for specific semester topics.",0
GWS 50AC,Gender in American Culture,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A multi-disciplinary course designed to provide students with an opportunity to work with faculty investigating the topic gender in American culture.",0
GWS 97,Internship,2 - 4 Units, Consent of instructor,"Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
Internship Program: Field work in an organization concerned with women's issues plus individual conferences with faculty. Students must present a written scope of work to the supervising faculty members before enrolling. Credit earned depends on the amount of written work completed by students that interprets the experience through diaries, historical reports, and creative work done for the organization. Faculty supervisor and student must agree",0
GWS 98,Directed Group Study for Undergraduates,1 - 4 Units,,"Terms offered: Fall 2017, Spring 2015, Fall 2014<br/>
Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from year to year.",0
GWS 100AC,Women in American Culture,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 Second 6 Week Session, Spring 2017<br/>
This course is designed to provide students with an opportunity to work with faculty investigating the topic women in American culture.",0
GWS 101,Doing Feminist Research,4 Units, 10 and 20,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
In this course, students will learn to do feminist research using techniques from the arts, humanities, social sciences, and sciences. The teaching of interdisciplinary research skills will focus on practices of gender in a particular domain such as labor, love, science, aesthetics, film, religion, politics, or kinship. Topics will vary depending on the instructor.",0
GWS 102,Transnational Feminism,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An overview of transnational feminist theories and practices, which address the workings of power that shape our world, and women's practices of resistance within and beyond the U.S. The course engages with genealogies of transnational feminist theories, including analyses of women, gender, sexuality, ""race,"" racism, ethnicity, class, nation; postcoloniality; international relations; post-""development""; globalization; area studies;",0
GWS 103,Identities Across Difference,4 Units, 10,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
The course studies identity as a product of articulation and investigation of self and other, rather than an inherited marking. Emphasis, for example, may be placed on the complexities of the lived experiences of women of color in the United States and in diverse parts of the world.",0
GWS 104,Feminist Theory,4 Units, 10 and 20,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Feminist theory examines the basic categories that structure social life and that condition dominant modes of thought. Feminist theory engages with many currents of thought such as liberalism, Marxism, psychoanalysis, postcolonial theory, and transnational feminist theory. In this course, students will gain a working knowledge of the range and uses of feminist theory.",0
