code,title,units,prereqs,offered,corrupt
HEBREW 1A,Elementary Hebrew,5 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>",0
HEBREW 1B,Elementary Hebrew,5 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>",0
HEBREW 20A,Intermediate Hebrew,5 Units, 1A-1B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>",0
HEBREW 20B,Intermediate Hebrew,5 Units, 1A-1B,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>",0
HEBREW 100A,Advanced Hebrew,3 Units, 20A-20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Advanced Hebrew, especially designed for those going on to the study of modern Hebrew literature. Vocabulary building, grammar review, and literary analysis of a sampling of modern texts.",0
HEBREW 100B,Advanced Hebrew,3 Units, 20A-20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2015, Spring 2014<br/>
Advanced Hebrew, especially designed for those going on to the study of modern Hebrew literature. Vocabulary building, grammar review, and literary analysis of a sampling of modern texts.",0
HEBREW 104A,Modern Hebrew Literature and Culture,3 Units, 100A-100B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A close reading of selected works of modern Hebrew fiction, poetry, and drama in their cultural and historical contexts. Topics vary from year to year and include literature and politics, eros and gender, memory and nationalism, Middle-Eastern and European aspects of Israeli literature and culture.",0
HEBREW 104B,Modern Hebrew Literature and Culture,3 Units, 100A-100B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
A close reading of selected works of modern Hebrew fiction, poetry, and drama in their cultural and historical contexts. Topics vary from year to year and include literature and politics, eros and gender, memory and nationalism, Middle-Eastern and European aspects of Israeli literature and culture.",0
HEBREW 106A,Elementary Biblical Hebrew,3 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
An introduction to the language of the Hebrew Bible.",0
HEBREW 106B,Elementary Biblical Hebrew,3 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
An introduction to the language of the Hebrew Bible.",0
HEBREW 107B,Biblical Hebrew Texts,3 Units, 20A-20B,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2016, Spring 2012, Spring 2010<br/>
The tools and procedure of biblical exegesis applied to simple narrative texts.",0
HEBREW 190B,Special Topics in Hebrew,3 Units, 20A-20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2016, Spring 2011<br/>
Topics explore special themes and problems in Hebrew language and literature. They often reflect the research interests of the instructor and supplement regular curricular offerings. Specific descriptions of current offerings are available through the department.",0
HEBREW 198,Directed Group Study for Upper Division Students,1 - 4 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2016, Spring 2002, Fall 2001<br/>
Instruction in areas not covered by regularly scheduled courses.",0
HEBREW 199,Supervised Independent Study and Research,1 - 4 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2016, Fall 2003, Spring 1999<br/>
Enrollment is restricted by regulations shown in the .",0
HEBREW 201A,Advanced Biblical Hebrew Texts,3 Units, 101A-101B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2013, Fall 2009<br/>
The exegesis of a biblical book in the light of its ancient Near Eastern background.",0
HEBREW 202A,Advanced Late Antique Hebrew Texts,3 Units, 102A-102B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Historical and literary study of Hebrew and Aramaic Judaic texts (e.g., Talmud and Midrash).",0
HEBREW 202B,Advanced Late Antique Hebrew Texts,3 Units, 102A-102B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2012<br/>
Historical and literary study of Hebrew and Aramaic Judaic texts (e.g., Talmud and Midrash).",0
HEBREW 203B,Advanced Medieval Hebrew Texts,3 Units, 103A-103B and 105A-105B,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2011, Spring 2002<br/>
Literary analysis of belletristic Hebrew texts, either prose or poetry, chiefly from the Iberian medieval period.",0
HEBREW 204B,Advanced Modern Hebrew Literature and Culture,3 Units," Two semesters of 104A-104B or 105A, or equivalent","Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2012<br/>
Critical approaches to the history and textual practices of modern Hebrew poetry and fiction. Alternating focus between period, genre, and author, seminar topics include stylistic developments in Hebrew poetry and fiction from the Enlightenment to the present, modernism, and modernity, the creation of the modern Hebrew novel, women writers and the Hebrew canon, and single-author seminars.",0
HEBREW 298,Seminar,1 - 4 Units, Consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Special topics in Hebrew. Topics vary and are announced at the beginning of each semester.",0
