code,title,units,prereqs,offered,corrupt
HIN-URD 1A,Introductory Hindi,5 Units,,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course emphasizes development of the full range of Hindi language skills: reading, listening, comprehension, the use of grammatical structures, and oral and written communication—through a variety of learning themes. Individual and small group activities, interactive work and multimedia-based activities reinforce language skills and provide the platform for adapting the curriculum to",0
HIN-URD 1B,Introductory Hindi,5 Units, Completion of ,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Hindi writing systems. Survey of grammar. Graded exercises and readings drawn from Hindi literature, leading to mastery of grammatical structures and essential vocabulary and achievement of basic reading and writing competence.",1
HIN-URD 2A,Introductory Urdu,5 Units,,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course concentrates on developing skills in reading, writing, speaking, and aural comprehension. Evaluation is based on attendance, written homework assignments, quizzes, dictations, and examinations. Conventional teaching materials may be supplemented by popular songs and clips from contemporary Indian cinema.",0
HIN-URD 2B,Introductory Urdu,5 Units, Completion of HINURD 1A or consent of the instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course concentrates on developing skills in reading, writing, speaking, and aural comprehension. Evaluation is based on attendance, written homework assignments, quizzes, dictations, and examinations. Conventional teaching materials may be supplemented by popular songs and clips from contemporary Indian cinema.",0
HIN-URD 100A,Intermediate Hindi,4 Units, Hindi-Urdu 1A and 1B or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Intermediate language course will focus on expanding all language skills (reading, writing, speaking), mastering grammar patterns and new vocabulary through authentic readings from classical and contemporary Hindi literature, epics, mythology and current events. This course acquaints students with representative readings from Hindi texts on pivotal cultural issues from a wide variety of sources",0
HIN-URD 100B,Intermediate Hindi,4 Units, 1A-1B,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course acquaints students with representative readings from Hindi texts on pivotal cultural issues from a wide variety of sources, to enable them to acquire cultural competence in the language. Systematic training in advanced grammar and syntax, reinforced by exercises in composition, both oral and written. Special attention to developing communication skills.",0
HIN-URD 101A,Readings in Modern Hindi,3 Units, Two years of Hindi or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is designed for students who have already achieved an intermediate level of proficiency in speaking, reading, and writing Hindi. Its objective is to move students toward a greater level of fluency in each of these key areas. Students will be introduced to a variety of contemporary literary genres. Weekly readings and discussions will be on short stories, poems, and dramatic sketches",0
HIN-URD 101B,Readings in Modern Hindi,3 Units, Two years of Hindi or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is designed for students who have already achieved an intermediate level of proficiency in speaking, reading, and writing Hindi. Its objective is to move students toward a greater level of fluency in each of these key areas. Students will be introduced to a variety of contemporary literary genres. Weekly readings and discussions will be on short stories, poems, and dramatic",0
HIN-URD 103A,Intermediate Urdu,4 Units, Successful completion of Urdu 2A-2B,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduces various types of written and spoken Urdu; vocabulary building, idioms, and problems of syntax; and conversation. Reading of selected fiction and nonfiction in modern Urdu, including fables, short stories, and poetry. Exercises in grammar, conversation, and composition.",0
HIN-URD 103B,Intermediate Urdu,4 Units, Successful completion of Urdu 2A-2B,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduces various types of written and spoken Urdu; vocabulary building, idioms, and problems of syntax; and conversation. Reading of selected fiction and nonfiction in modern Urdu, including fables, short stories, and poetry. Exercises in grammar, conversation, and composition.",0
HIN-URD 104A,Advanced Urdu,3 Units, Two years of Urdu or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
Reading of Urdu prose and poetry in a variety of literary and scholarly styles; composition. Topics in advanced grammar; designed to improve proficiency in speaking, listening, reading, and writing. Students will be expected to converse in a clearly participatory fashion, initiate, sustain, and bring to closure a wide variety of communicative tasks using diverse language strategies.",0
HIN-URD 104B,Advanced Urdu,3 Units, Two years of Urdu or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Reading of Urdu prose and poetry in a variety of literary and scholarly styles; composition. Topics in advanced grammar; designed to improve proficiency in speaking, listening, reading, and writing. Students will be expected to converse in a clearly participatory fashion, initiate, sustain, and bring to closure a wide variety of communicative tasks using diverse language strategies.",0
HIN-URD 221,Hindi Literature,4 Units, Two years of Hindi or equivalent,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The course will focus on Hindi literature from the pre-modern and the modern periods. Topics will vary from year to year. Students will be expected to write a 25-30 page research paper.",0
