code,title,units,prereqs,offered,corrupt
HISTART R1B,Reading and Writing about Visual Experience,4 Units," UC Entry Level Writing Requirement, English 1A, or equivalent.<BR/>Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
How do mechanisms of perception structure responses to visual art? What is at stake when words describe images? By means of intensive looking, thinking, speaking, and writing, this course introduces the student to a series of problems and issues in the description and analysis of works of art. Because the course is also an introduction to the historical study of art, it is intended for students with",0
HISTART 11,Introduction to Western Art: Renaissance to the Present,4 Units," May follow 1B or 10, though neither is required","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
An introduction to the historical circumstances and visual character of Western art from the Renaissance to the present. Not a chronological survey, but an exploration of topics and themes central to this period. For example: What tasks did painting and sculpture perform in the past? For whom, at whose expense? How do the rise of landscape painting, the cult of the artist, and the new emphasis on the nude relate to the emergence of modern",0
HISTART N11,Western Art from the Renaissance to the Present,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session<br/>
This course is an introduction to the visual arts of Europe and the USA from the 14th century to the present day. This course will attempt to situate works of art into long, general trends in art practice of the Western tradition, though it will prioritize sustained focus on single case-studies which punctuate the five centuries of art for which this course offers a historical account; attention will also gather around particular representative",0
HISTART 14,The Origins of Art,4 Units,,"Terms offered: Spring 2018<br/>
This course will explore ways in which the “the origins of art”—of human creativity in the visual and spatial arts—have been considered by a variety of artists, critics, and scholars.<br/>",0
HISTART 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2017, Fall 2016, Spring 2014<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman Seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. Enrollment limited to fifteen freshman.",0
HISTART 27,Visual Cultures of Africa,4 Units,,"Terms offered: Spring 2016<br/>
Rather than follow a master chronology that would attempt to contain Africa’s multiple cultural formations in a single narrative, this course will introduce students to African art through an investigation of a range of aesthetic traditions and movements across sub-Saharan Africa that are meaningfully reinvigorated in contemporary artistic production and popular visual culture. Our continual return to the cultural politics of the present will provide an anchor and",0
HISTART 35,Art and Architecture in Japan,4 Units,,"Terms offered: Spring 2017, Fall 2015, Fall 2013<br/>
This course is an introduction to art and architecture in Japan. It is intended for newcomers to the history of art and/or to the study of Japanese history and culture. Lectures will proceed chronologically, beginning with the archaeological objects and tumuli of neolithic Japan and ending with the popular graphic arts of the seventeenth to nineteenth centuries and modern transformations of art.",0
HISTART 36,"ASIA MODERN: Art + Architecture, 1800-present",4 Units,,"Terms offered: Fall 2017<br/>
This course is an introduction to the art and architecture of modern South, Southeast, and East Asia. Using a comparative perspective, each week will focus on a set of case studies—the work of particular artists and art movements or the architecture of specific Asian cities—to reconstruct an expansive history of modern art and architecture in Asia from 1800 to the present. Class lectures will be completed by a close examination of modern Asian art collections on campus",0
HISTART 39G,Freshman/Sophomore Seminar,1.5 - 4 Units,,"Terms offered: Fall 2016<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by faculty, but the suggested limit is 25.",0
HISTART 41,Introduction to Greek and Roman Art,4 Units,,"Terms offered: Fall 2017, Fall 2011, Fall 2004<br/>
An introduction to the major works, themes, and agendas of Greek and Roman art and architecture. Participants will learn to acquire the perceptual and critical skills necessary for understanding these works; to analyze and interpret them; and to relate them to broader visual traditions, historical contexts, and social/cultural issues. Wherever possible, newly discovered work will be illustrated and discussed.",0
HISTART 62,Introduction to Italian Renaissance Art,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Using a few selected examples drawn from Florence, Rome, Milan, and Venice, this course will introduce most types of art and architecture produced in the Italian Renaissance--including city squares, churches, palaces and libraries, and their painted and sculptural decoration. Special attention will be paid to various approaches used in interpreting works of art.",0
HISTART N80,Introduction to Modern Art,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 Second 6 Week Session<br/>
An introduction to the major movements, themes, and artists of modern art, starting with its origins in the nineteenth century. Close attention will be paid to exhibition histories, the development of new forms of media, and shifts in visual culture within the context of the rise of modernity and modernization. No previous knowledge of the subject is presumed; students will be exposed to various modes of art",0
HISTART 87AC,Visual Cultures of California,4 Units,,"Terms offered: Spring 2017<br/>
This class introduces the diverse visual cultures of the geographic area now known as California. It considers how space and race are culturally represented and reproduced over a broad span of time and across California’s shifting political designations, including its Native American, Spanish, Mexican, and United States periods. <br/>
<br/>
The long history of California includes encounter, domination, solidarity, coexistence, and revolution. Through consistent historical",0
HISTART 88,Arts of Latin America,4 Units,,"Terms offered: Fall 2016, Fall 2014<br/>
An introduction to the arts and visual culture of Latin America from the earliest monumental art traditions of prehistory to the present. The course is not a comprehensive survey of all traditions of art in Latin America, but rather a sampling of critical moments that is designed to serve as an introduction to this field of study. We will take a long view of enduring traditions as well as periods of rupture and crisis. Lecture and discussion will frequently",0
HISTART 98,Directed Group Study for Freshmen and Sophomores,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2015, Spring 2015<br/>
Instruction for a small group of students on a topic initiated by those students.",0
HISTART 100,Theories and Methods of Art History,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
How art has been studied in the past and how it is currently studied, its historiography and methodology. Consideration of the earliest writers (Pliny, Vasari) but also modern approaches, from traditional style analysis and connoisseurship through the ""founders"" of modern art history (Panofsky, Riegl) to more recent approaches, e.g. psychoanalysis, feminism, social history, anthropology, semiotics, etc.",0
HISTART N100,Theories and Methods of Art History,4 Units,,"Terms offered: Summer 2017 Second 6 Week Session, Summer 2015 10 Week Session, Summer 2015 Second 6 Week Session<br/>
How art has been studied in the past and how it is currently studied, its historiography and methodology. Consideration of the earliest writers (Pliny, Vasari) but also modern approaches, from traditional style analysis and connoisseurship through the ""founders"" of modern art history (Panofsky, Riegl) to more recent approaches, e.g., psychoanalysis, feminism, social history",0
HISTART 101,Theories & Methods for a Global History of Art,4 Units,,"Terms offered: Spring 2018, Fall 2015<br/>
The purpose of this lecture course is to provide students with a toolbox for writing art history in many periods in a global field. We will proceed systematically, learning how to describe and analyze objects, do bibliographic research, use different methodological approaches, and learn to apply them with specific objects/works selected by the student.",0
HISTART N107,Images and the Law,3 Units,,"Terms offered: Summer 2017 First 6 Week Session<br/>
This course explores issues at the intersection of the law and the visual arts. What is the relationship between the law and the visual arts? Does the law constrain the creation of art, or does it establish conditions under which artists can exercise their creativity more freely? When and how should the legal system be employed to promote or curtail the creation, display, or preservation of works of art?",0
HISTART 108,Cities and the Arts,4 Units,,"Terms offered: Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session, Summer 2015 Second 6 Week Session<br/>
The study of various urban centers at particular times in relation to the art produced there. Emphasis may be placed on the rise of artistic centers and professional communities, the representation of places of power, learning or recreation, the construction of urbanity, the reaction to cities, etc. Detailed descriptions of current and future offerings available in room 416 Doe ",0
HISTART 109,"Digital Humanities, Visual Cultures",4 Units,,"Terms offered: Fall 2017<br/>
“Digital humanities” describes how digital formats and tools can be used to produce knowledge about cultural materials. This course introduces students to techniques used to study visual culture and related disciplines, possibly including mapping, network analysis, digital (re)construction of objects and environments; digital editions of texts or online exhibitions; digital manipulation of images; and content-management systems and structured data. The class also provides",0
HISTART C109,"Digital Humanities, Visual Cultures",4 Units,,"Terms offered: Spring 2017<br/>
“Digital humanities” describes how digital formats and tools can be used to produce knowledge about cultural materials. This course introduces students to techniques used to study visual culture and related disciplines, possibly including mapping, network analysis, digital (re)construction of objects and environments; digital editions of texts or online exhibitions; digital manipulation of images; and content-management systems and structured data. The class also",0
HISTART 131A,Sacred Arts in China,4 Units,,"Terms offered: Fall 2017, Fall 2013, Spring 2011<br/>
The history of the visual arts as used in Chinese religious practice, from the third century C.E. through the late imperial period. The course explores different modes of giving visible form to the sacred, expecially in the Daoist and Buddhist traditions, and tracks the movement of objects and visual concepts across Asia and between Daoists and Buddhists, monasteries, the imperial court, and elite and popular lay groups.",0
HISTART 131B,The Classical Painting Tradition in China,4 Units,,"Terms offered: Spring 2018, Fall 2014, Summer 2008 Second 6 Week Session<br/>
The history of the art of painting in China from the third century C.E. through the late imperial period. The course takes a chronological and thematic approach to the classical tradition of Chinese painting and other arts of the brush expressed in a variety of elite and popular genres, considering them in the context of aesthetic and narrative theory, biography, economic history, social life, and politics.",0
HISTART 132,AsiaAmerica: Asian American Art and Architecture,4 Units,,"Terms offered: Spring 2018<br/>
This course focuses on modern and contemporary Asian American art and architecture from the mid-1800s to the present. Using a comparative perspective, each week utilizes case studies—works by particular artists, architects, or art groups—to examine what Asian American art looked like at specific historical junctures and what it meant to be an Asian American artist. A range of material practices, including painting, sculpture, installation, performance, new media,",0
HISTART 134A,Topics in Buddhist Art and Architecture: Buddhist Temple Art &amp; Architecture in Japan,4 Units,,"Terms offered: Spring 2017, Spring 2014, Spring 2012<br/>
Primarily the architecture and sculpture of Japanese Buddhist temples, 7th to 13th centuries.",0
HISTART 141B,The Art of Ancient Greece: Classical Greek Art and Architecture (500-320 B.C.),4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2011<br/>
The maturity of the major genres of Greek art in Periclean Athens and the other leading centers.",0
HISTART 145A,Roman Painting,4 Units,,"Terms offered: Spring 2016<br/>
This course presents the surviving evidence for a wide range of pictorial representation in the Roman world, and addresses the many functions of painting in Roman life.",0
HISTART C145A,Pictorial Representation in the Roman World,4 Units,,"Terms offered: Spring 2017<br/>
This course presents surviving evidence of pictorial representation in the Roman world. Including the earliest remains from the city of Rome; the suites of painted rooms in the houses of Pompeii and Herculaneum on the Bay of Naples; and Roman mosaics from Italy, North Africa, and the eastern Mediterranean.<br/>
<br/>
Topics: ‘four styles’ of Pompeian interior decoration; the architect Vitruvius’ denunciation of contemporary painting in the early Augustan period; the",0
HISTART 151,Art in Late Antiquity,4 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2012<br/>
Imperial art from Gallienus through the collapse of the western empire. Christian art from the beginning around 200 through the age of Justinian. Revivals in the seventh and eighth centuries. A look back from the court of Charlemagne and contemporary Constantinople.",0
HISTART 162,Renaissance Art in Venice 1400-1600,4 Units,,"Terms offered: Fall 2017, Fall 2010, Spring 2008<br/>
A selective survey of major developments in Venetian Renaissance painting, sculpture, and architecture organized by genre. Particular emphasis on the relationship between art and religion and the ideology of the Venetian commune. Issues of gender, the status of artists, and the function, audience, and patronage of art will also be considered.",0
HISTART 169A,"Elizabethan Renaissance: Art, Culture, and Visuality",4 Units,,"Terms offered: Spring 2016, Fall 2012<br/>
The Elizabethan Renaissance course will review texts, minor arts, costume, self-presentation, performance, pageantry, architecture, decoration, and other non-traditional routes of addressing issues of visual culture and representation, and their political and social meanings. The courses's goals are to explore the role of visuality in Renaissance England, and to develop research skills. Students learn to analyze primary sources, both visual and written",0
HISTART 170,Southern Baroque Art,4 Units,,"Terms offered: Spring 2018, Fall 2014, Fall 2011<br/>
The major artists (among them Caravaggio, Bernini, Velazquez, and Poussin) and the major concerns (including genres such as history painting, landscape, low-life, and notions of imitation and illusionism) of seventeenth century art in Italy, France, and Spain.",0
HISTART 175,Visual Culture in Early Modern France: Renaissance to Enlightenment,4 Units,,"Terms offered: Spring 2016, Fall 2013<br/>
French art from the 16th century to the mid 18th century. Beginning with the architecture, painting, prints, and decorative arts of the School of Fontainebleau, the course addresses the development of the Royal Academy and its interaction with popular culture, which culminates in the display of ambitious art in the public space of the pre-revolutionary Salon exhibition.",0
HISTART 180C,Nineteenth-Century Europe: The Invention of Avant-Gardes,4 Units,,"Terms offered: Fall 2016, Spring 2014, Fall 2010<br/>
Visual arts in the later 19th century. Impressionism and after. The nature of avant-garde culture and its relation to emerging consumer culture. May emphasize Paris, or the struggle for cultural mastery in Europe.",0
HISTART N182,Histories of Photography,3 Units,,"Terms offered: Summer 2017 Second 6 Week Session, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
Topics in 19th- and 20th-century histories of photography, for example, photography in relation to modernism, gender, pictorial genres, or consumerism.",0
