code,title,units,prereqs,offered,corrupt
HISTORY 1,Global History,4 Units,,"Terms offered: Fall 2017<br/>
History 1 introduces students to core dynamics of global history. Traversing the experience of human societies from earliest origins to the complex, chaotic, and cacophonous twenty-first century, the course highlights recurrent themes including the origins and development of political order; the evolution of interstate (or international) relations; and the historical advance of globalization. From this vast panorama, students will acquire a broad, even foundational",0
HISTORY R1B,Reading and Composition in History,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Reading and composition courses based upon primary historical documents and secondary historical scholarship. These courses provide an introduction to core issues in the interpretation of historical texts and introduce students to the distinctive ways of reading primary and secondary sources. Courses focus on specific historical topics but address general issues of how historians read and write. Satisfies the second half of the Reading and",0
HISTORY 2,Comparative World History,4 Units,,"Terms offered: Spring 2017, Fall 2014, Fall 2013<br/>
This lower-division lecture course introduces students to the study of history in multiple periods and regions. It will typically be co-taught by faculty members with different geographical and chronological expertise and will center around a particular theme, such as cities, food cultures, or war and society. No prior course-work in the history of any particular part of the world will be expected.",0
HISTORY 4A,Origins of Western Civilization: The Ancient Mediterranean World,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course offers an introductory survey of the history of the ancient Mediterranean world, from the rise of city states in Mesopotamia c.3000 BC to the transformation of the Roman Empire in the 5th and 6th centuries AD. The emphasis will be on the major developments in the political and social history of the ancient Near East, Egypt, Greece, and Rome, with special attention to those institutions, practices, ideas, and objects that have had an",0
HISTORY 4B,Origins of Western Civilization: Medieval Europe,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introductory study of major historical events in the origins of western civilization. Emphasis on class discussions, readings in the sources, and writing of essays.",0
HISTORY 5,European Civilization from the Renaissance to the Present,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
This course is an introduction to European history from around 1500 to the present. The central questions that it addresses are how and why Europe--a small, relatively poor, and politically fragmented place-- became the motor of globalization and a world civilzation in its own right. Put differently how did ""western"" become an adjective that, for better and often for worse, stands in place",0
HISTORY 6A,History of China: Origins to the Mongol Conquest,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The history of China from its beginnings to the destruction of the Song Dynasty by the Mongols in the 13th century. Topics to be covered include the emergence of Chinese civilization, the Chinese language, early rhetoric and philosophy, the creation of the first empire, law, Buddhism and religious Taoism, the socioeconomic revolution of the 10th to 12th centuries, identities (male and female, Chinese and ""barbarian""), lyric poetry, and",0
HISTORY 6B,Introduction to Chinese History from the Mongols to Mao,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This is an introduction to Chinese history from the 13th through the 20th centuries -- from the Mongols and Khubilai Khan's conquest of southern China to the amazing turnaround following the death of Mao Zedong in 1976 and the opening of the era of reform that has led to China's emergence as a major economic and strategic power today. The course assumes no prior knowledge of Chinese history.",0
HISTORY 7A,Introduction to the History of the United States: The United States from Settlement to Civil War,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is an introduction to the history of the United States from the beginning of the European colonization of North America to the end of the Civil War. It is also an introduction to the ways historians look at the past and think about evidence. There are two main themes: one is to understand the origin of the ""groups"" we call European-Americans, Native-Americans, and African-Americans; the second, is to understand how democratic",0
HISTORY 7B,Introduction to the History of the United States: The United States from Civil War to Present,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
What does it mean to be American? Whatever your answer is to this question, chances are it is deeply connected to the themes and events we will discuss in this class. Here we will track America's rise to global power, the fate of freedom in a post-Emancipation political setting, and the changing boundaries of nation, citizenship, and community. We will use landmark events to sharpen our themes, but we will also",0
HISTORY 8A,"Latin American History: Becoming Latin America, 1492 to 1824",4 Units,,"Terms offered: Fall 2016, Spring 2015, Spring 2014<br/>
This course covers the history of Latin America from the time of Columbus to around 1870. It thus reckons with almost four centuries of encounter, colonization, accommodation, and struggle that frame the ways that Latin America was becoming Latin American. Lectures and a mix of secondary and primary source readings and images produced during the colonial period serve as points of entry for discussion in section meetings.",0
HISTORY 8B,Latin American History: Modern Latin America,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
This introductory course surveys the history of modern Latin America from independence to the present, with a strong emphasis on the twentieth century. Our focus will be on broad transfomations in politics, place, identity, and work.",0
HISTORY 10,African History,4 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
The history of Africa is extraordinarily complex and rich in both tragedy and achievement. In this course, important issues in African history will be introduced including the following: how and why complex societies formed in Africa; the technological responses of different Africans to environmental changes; how various cultures, religions, and state ideologies helped to organize African social and political life; the effects of the trade in enslaved",0
HISTORY 11,India,4 Units,,"Terms offered: Fall 2017, Fall 2015, Spring 2014<br/>",0
HISTORY 12,The Middle East,4 Units,,"Terms offered: Spring 2018, Fall 2015, Spring 2015<br/>",0
