code,title,units,prereqs,offered,corrupt
IAS 45,Survey of World History,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course focuses on benchmarks of the history of various nations and civilizations. It begins with the ancient Greeks, Romans, and Chinese, but emphasizes world developments since the 15th century. The purpose of the course is to gain a better understanding of the rise and decline of states, empires, and international trading systems. Therefore, political and economic structures and developments as well as military factors will be presented",0
IAS N45,Survey of World History,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
This course focuses on benchmarks of the history of various nations and civilizations. It begins with the ancient Greeks, Romans, and Chinese, but emphasizes world developments since the 15th century. The purpose of the course is to gain a better understanding of the rise and decline of states, empires, and international trading systems. Therefore, political and economic structures and developments as well as",0
IAS 102,Scope and Methods of Research in International and Area Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is an introduction to interdisciplinary research strategies for the collection, interpretation and analysis of data; teaching skills in research, analysis, and writing to social scientific standards. This course integrates the study of the fundamental theories of social science with the practical techniques of social science research methods. It satisfies the Methodology requirement for IAS undergraduate majors and aims to prepare",0
IAS H102,Scope and Methods of Research in International and Area Studies,4 Units, Open only to students meeting the requirements for participation and who intend to enroll in the honors seminar during the spring term. Consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Required prerequisite for all students intending to enroll in Development Studies H195, Latin American Studies H195, Political Economy of Industrial Societies H195, and Peace and Conflict Studies H195. Course provides an introduction to interdisciplinary research strategies for the collection, interpretation, and analysis of data. Course integrates the study of the fundamental theories of social science with the practical techniques of social science",0
IAS 106,Intermediate Microeconomic Theory,4 Units, Economics 1 or equivalent,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>
This course is designed as a comprehensive overview of intermediate microeconomic theory. It covers a number of topics including consumer and demand theory, firm, production and cost theory, competitive market theory, imperfect competition, welfare economics, choice under uncertainty and information. All analysis conducted in the course relies on graphical and algebraic techniques. Outside readings",0
IAS 107,Intermediate Macroeconomic Theory,4 Units, Economics 1 or equivalent,"Terms offered: Fall 2017, Fall 2016, Summer 2016 First 6 Week Session<br/>
This course is designed as a comprehensive overview of intermediate macroeconomic theory focusing on economic growth and international economics. It covers a number of topics including history of economic growth, industrial revolution, post-industrial revolution divergence, flexible-price and sticky-price macroeconomics, and macroeconomic policy. Course is structured for majors in International and Area Studies and other",0
IAS C118,Introductory Applied Econometrics,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017, Summer 2017 8 Week Session<br/>
Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and",0
IAS 120,Selected Topics - International and Area Studies,3 Units,,"Terms offered: Summer 2018 3 Week Session, Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session<br/>
Interdisciplinary study of selected topics in international and area studies focusing on issues in greater than a general topic lecture course. Through the use of lectures, discussions, and multimedia presentations, students will explore a variety of perspectives relating to the subject matter of the course. Students will be expected to successfully complete various writing assignments",0
IAS 150,Advanced Studies in International and Area Studies,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
Advanced multidisciplinary research in current issues and topics in international and area studies. Course will focus on specific issues or geographical areas with appropriate comparative material included. A major research project is required as well as class presentations. Topics change each semester.",0
IAS 157AC,"Engineering, The Environment, and Society",4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course engages students at the intersection of environmental justice, social justice, and engineering to explore how problems that are commonly defined in technical terms are at their roots deeply socially embedded. Through partnerships with community-based organizations, students are trained to recognize the socio-political nature of technical problems so that they may approach solutions in ways that prioritize social justice. Topics",0
IAS C175,The Economics of Climate Change,4 Units," 106, 107, Economics 1, or equivalent","Terms offered: Spring 2016, Fall 2015, Fall 2014, Fall 2013<br/>
The course will start with a brief introduction and evaluation of the scientific aspects behind climate change. Economic models will be developed to analyze the impacts of climate change and provide and critique existing and proposed policy tools. Specific topics studied are impacts on water resources and agriculture, economic evaluation of impacts, optimal control of greenhouse gases, benefit cost analysis, international treaty formation",0
IAS C176,Climate Change Economics,4 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
This course is a self-contained introduction to the economics of climate change. Climate change is caused by a large variety of economic activities, and many of its impacts will have economic consequences. Economists have studied climate change for more than two decades, and economic arguments are often powerful in policy decisions. The course will familiarize students with these arguments and equip them with the tools to participate in discussions of climate",0
IAS 194,Senior Seminar in International and Area Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Interdisciplinary research seminar for students in IAS majors. Intensive writing on research questions in social science and public policy best approached from an interdisciplinary perspective. Course assumes intermediate to advanced knowledge of central focus or topic of course. Weekly discussions and critiques of readings and assignments. Final paper or project required. Topic must be approved by instructor. Topics vary from term to term",0
