code,title,units,prereqs,offered,corrupt
IND ENG 24,Freshman Seminars,1 Unit,,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
IND ENG 66,A Bivariate Introduction to IE and OR,3 Units,,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2016<br/>
This Freshman-level Introductory course will provide an intuitive overview of the fundamental problems addressed and methods in the fields of Industrial Engineering and Operations Research including Constrained Optimization, Human Factors, Data Analytics, Queues and Chains, and Linear Programming. The course will focus on two-dimensional, i.e., bivariate, examples where the problems and methods are amenable to",0
IND ENG 95,A. Richard Newton Lecture Series,1 Unit,,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This lecture series serves as an entry point for undergraduate and graduate curriculum sequences in entrepreneurship and innovation. The series, established in 2005, is named in honor of A. Richard Newton, a visionary technology industry leader and late dean of the University of California Berkeley College of Engineering. The course features a selection of high-level industry speakers",0
IND ENG 115,Industrial and Commercial Data Systems,3 Units, Upper division standing,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Design and implementation of databases, with an emphasis on industrial and commercial applications. Relational algebra, SQL, normalization. Students work in teams with local companies on a database design project. WWW design and queries.",0
IND ENG 130,Methods of Manufacturing Improvement,3 Units," 172, Mathematics 54, or Statistics 134 (may be taken concurrently)","Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Analytical techniques for the improvement of manufacturing performance along the dimensions of productivity, quality, customer service, and throughput. Techniques for yield analysis, process control, inspection sampling, equipment efficiency analysis, cycle time reduction, and on-time delivery improvement. Applications on semiconductor manufacturing or other industrial settings.",0
IND ENG 135,Applied Data Science with Venture Applications,3 Units," Prerequisites include the ability to write code in Python, and a probability or statistics course. This course is ideal for students who have taken CS/INFO/STAT C8","Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Fall 2017<br/>
This highly-applied course surveys a variety of key of concepts and tools that are useful for designing and building applications that process data signals of information. The course introduces modern open source, computer programming tools, libraries, and code samples that can be used to implement data applications. The mathematical concepts highlighted in this course include filtering, prediction",0
IND ENG 142,Introduction to Machine Learning and Data Analytics,3 Units, IEOR 165 or equivalent course in statistics. Prior exposure to optimization is helpful but not strictly necessary. Some programming experience/literacy is expected,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2017<br/>
This course introduces students to key techniques in machine learning and data analytics through a diverse set of examples using real datasets from domains such as e-commerce, healthcare, social media, sports, the Internet, and more. Through these examples, exercises in R, and a comprehensive team project, students will gain experience understanding and applying techniques such as linear regression, logistic regression",0
IND ENG 150,Production Systems Analysis,3 Units," 160, 161, 162, 165, and Engineering 120, or senior standing in manufacturing engineering","Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Quantitative models for operational and tactical decision making in production systems, including production planning, inventory control, forecasting, and scheduling.",0
IND ENG 151,Service Operations Design and Analysis,3 Units," 161, 162, and a course in statistics","Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is concerned with improving processes and designing facilities for service businesses such as banks, health care organizations, telephone call centers, restaurants, and transportation providers. Major topics in the course include design of service processes, layout and location of service facilities, demand forecasting, demand management, employee scheduling, service quality management",0
IND ENG 153,Logistics Network Design and Supply Chain Management,3 Units," 160, 162 or senior standing","Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
We will focus primarily on both quantitative and qualitative issues which arise in the integrated design and management of the entire logistics network. Models and solution techniques for facility location and logistics network design will be considered. In addition, qualitative issues in distribution network structuring, centralized versus decentralized network control, variability",0
IND ENG 160,Nonlinear and Discrete Optimization,3 Units, Mathematics 53 and 54,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
This course introduces unconstrained and constrained optimization with continuous and discrete domains. Convex sets and convex functions; local optimality; KKT conditions; Lagrangian duality; steepest descent and Newton's method. Modeling with integer variables; branch-and-bound method; cutting planes. Models on production/inventory planning, logistics, portfolio optimization, factor modeling",0
IND ENG 162,Linear Programming and Network Flows,3 Units, Mathematics 53 and 54,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course addresses modeling and algorithms for optimization of linear constrained optimization problems. The simplex method; theorems of duality; complementary slackness. Applications in production planning and resource allocation. Graph and network problems as linear programs with integer solutions. Algorithms for selected network flow problems. Transportation and logistics problems.",0
IND ENG 165,"Engineering Statistics, Quality Control, and Forcasting",3 Units, Industrial Engineering 172 or Statistics 134 or an equivalent course in probability theory,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Applications in forecasting and quality control.<br/>
<br/>",0
IND ENG 166,Decision Analytics,3 Units, 172 or Statistics 134,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introductory course on the theory and applications of decision analysis. Elective course that provides a systematic evaluation of decision-making problems under uncertainty. Emphasis on the formulation, analysis, and use of decision-making techniques in engineering, operations research and systems analysis. Includes formulation of risk problems and probabilistic risk assessments. Graphical",0
IND ENG 170,Industrial Design and Human Factors,3 Units, Upper division standing,"Offered through: Industrial Engin and Oper Research<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course surveys topics related to the design of products and interfaces ranging from alarm clocks, cell phones, and dashboards to logos, presentations, and web sites. Design of such systems requires familiarity with human factors and ergonomics, including the physics and perception of color, sound, and touch, as well as familiarity with case studies and contemporary practices in",0
