code,title,units,prereqs,offered,corrupt
INFO C8,Foundations of Data Science,4 Units," This course may be taken on its own, but students are encouraged to take it concurrently with a data science connector course (numbered 88 in a range of departments)","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017, Summer 2017 8 Week Session<br/>
Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets",0
INFO W18,Python Fundamentals for Data Science,4 Units, Previous experience in a general-purpose programming language is strongly recommended,"Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
A fast-paced introduction to the Python programming language geared toward students of data science. The course introduces a range of Python objects and control structures, then builds on these with classes on object-oriented programming. The last section of the course is devoted to Python’s system of packages for data analysis. Students will gain experience in different styles of programming",0
INFO 88A,Data and Ethics,2 Units," This course is meant to be taken concurrently with Computer Science C8/Statistics C8/Information C8. Students may take more than one 88 (data science connector) course if they wish, ideally concurrent with or after having taken the C8 course","Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
This course provides an introduction to critical and ethical issues surrounding data and society. It blends social and historical perspectives on data with ethics, policy, and case examples to help students develop a workable understanding of current ethical issues in data science. Ethical and policy-related concepts addressed include: research ethics; privacy and surveillance; data and discrimination; and the “black box” of algorithms. Importantly",0
INFO 98,Directed Group Study for Lower Division Undergraduates,1 - 4 Units,,"Terms offered: Spring 2018, Spring 2015, Fall 2014<br/>
Lectures and small group discussions focusing on topics of interest, varying from semester to semester.",0
INFO 103,History of Information,3 Units, Upper level undergraduates,"Terms offered: Spring 2018, Spring 2017<br/>
This course explores the history of information and associated technologies, uncovering why we think of ours as ""the information age."" We will select moments in the evolution of production, recording, and storage from the earliest writing systems to the world of Short Message Service (SMS) and blogs. In every instance, we'll be concerned with both what and when and how and why, and we will keep returning to the question of technological determinism:",0
INFO 159,Natural Language Processing,3 Units," Computer Science 61B; Computer Science 70, Math 55, Statistics 134 or Statistics 140; strong programming skills","Terms offered: Fall 2017<br/>
This course introduces students to natural language processing and exposes them to the variety of methods available for reasoning about text in computational systems. NLP is deeply interdisciplinary, drawing on both linguistics and computer science, and helps drive much contemporary work in text analysis (as used in computational social science, the digital humanities, and computational journalism). We will focus on major algorithms used in NLP for various applications",0
INFO C167,Virtual Communities/Social Media,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
With the advent of virtual communities and online social networks, old questions about the meaning of human social behavior have taken on renewed significance. Using a variety of online social media simultaneously, and drawing upon theoretical literature in a variety of disciplines, this course delves into discourse about community across disciplines. This course will enable students to establish both theoretical and experiential foundations",0
INFO 188,Behind the Data: Humans and Values,3 Units,,"Terms offered: Spring 2018<br/>
This course blends social and historical perspectives on data with ethics, law, policy, and case examples to help students understand current ethical and legal issues in data science and machine learning. Legal, ethical, and policy-related concepts addressed include: research ethics; privacy and surveillance; bias and discrimination; and oversight and accountability. These issues will be addressed throughout the lifecycle of data--from collection to storage to analysis",0
INFO 190,Special Topics in Information,1 - 3 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A seminar focusing on topics of current interest. Topics will vary. A seminar paper will be required. Open to students from other departments.",0
INFO 199,Individual Study,1 - 4 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual study of topics in information management and systems under faculty supervision.",0
INFO 202,Information Organization and Retrieval,2 Units, Students should have a working knowledge of the Python programming language,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course introduces the intellectual foundations of information organization and retrieval: conceptual modeling, semantic representation, vocabulary and metadata design, classification, and standardization, as well as information retrieval practices, technology, and applications, including computational processes for analyzing information in both textual and non-textual formats.",0
INFO 203,Social Issues of Information,2 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is designed to be an introduction to the topics and issues associated with information and information technology and its role in society. Throughout the semester we will consider both the consequence and impact of technologies on social groups and on social interaction and how society defines and shapes the technologies that are produced. Students will be exposed to a broad range of applied and practical problems, theoretical",0
INFO 205,Information Law and Policy,2 Units, Consent of instructor required for nonmajors,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course uses examples from various commercial domains—retail, health, credit, entertainment, social media, and biosensing/quantified self—to explore legal and ethical issues including freedom of expression, privacy, research ethics, consumer protection, information and cybersecurity, and copyright. The class emphasizes how existing legal and policy frameworks constrain, inform, and enable the architecture, interfaces, data practices,",0
INFO 206,Software Prototyping for Data Science and Information Management,2 Units, Consent of instructor for nonmajors,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course introduces software skills used in building prototype scripts for applications in data science and information management. The course gives an overview of procedural programming, object-oriented programming, and functional programming techniques in the Python scripting language, together with an overview of fundamental data structures, associated algorithms, and asymptotic performance analysis. Students will watch a set of instructional",0
INFO 213,User Interface Design and Development,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
User interface design and human-computer interaction. Examination of alternative design. Tools and methods for design and development. Human computer interaction. Methods for measuring and evaluating interface quality.",0
INFO 214,Needs and Usability Assessment,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course addresses concepts and methods of user experience research, from understanding and identifying needs, to evaluating concepts and designs, to assessing the usability of products and solutions. We emphasize methods of collecting and interpreting qualitative data about user activities, working both individually and in teams, and translating them into design decisions. Students gain hands-on practice with observation, interview, survey",0
INFO 216,Computer-Mediated Communication,3 Units,,"Terms offered: Fall 2016, Spring 2016, Spring 2015<br/>
This course covers the practical and theoretical issues associated with computer-mediated communication (CMC) systems (e.g., email, newsgroups, wikis, online games, etc.). We will focus on the analysis of CMC practices, the relationship between technology and behavior, and the design and implementation issues associated with constructing CMC systems. This course primarily takes a social scientific approach (including research from social psychology",0
INFO 218,Concepts of Information,3 Units, Graduate standing,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
As it's generally used, ""information"" is a collection of notions, rather than a single coherent concept. In this course, we'll examine conceptions of information based in information theory, philosophy, social science, economics, and history. Issues include: How compatible are these conceptions; can we talk about ""information"" in the abstract? What work do these various notions play in discussions of literacy, intellectual",0
INFO 219,"Privacy, Security, and Cryptography",3 Units, Graduate standing in the School of Information or consent of instructor,"Terms offered: Fall 2017, Fall 2013, Fall 2012<br/>
Policy and technical issues related to insuring the accuracy and privacy of information. Encoding and decoding techniques including public and private key encryption. Survey of security problems in networked information environment including viruses, worms, trojan horses, Internet address spoofing.",0
INFO 225,Managing in Information-Intensive Companies,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course focuses on managing people in information-intensive firms and industries, such as information technology industries. Topics include managing knowledge workers; managing teams (including virtual ones); collaborating across disparate units, giving and receiving feedback; managing the innovation process (including in eco-systems); managing through networks; and managing when using communication tools (e.g., tele-presence). The course relies",0
INFO 232,Applied Behavioral Economics for Information Systems,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
""Behavioral Economics"" is one important perspective on how information impacts human behavior. The goal of this class is to deploy a few important theories about the relationship between information and behavior, into practical settings — emphasizing the design of experiments that can now be incorporated into many 'applications' in day-to-day life. Truly 'smart systems' will have built into them precise, testable propositions about how",0
INFO 234,"Information Technology Economics, Strategy, and Policy",3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Application of economic tools and principles, including game theory, industrial organization, information economics, and behavioral economics, to analyze business strategies and public policy issues surrounding information technologies and IT industries. Topics include: economics of information; economics of information goods, services, and platforms; strategic pricing; strategic complements and substitutes; competition models; network industry",0
INFO 239,Technology and Delegation,3 Units,,"Terms offered: Fall 2017<br/>
The introduction of technology increasingly delegates responsibility to technical actors, often reducing traditional forms of transparency and challenging traditional methods for accountability. This course explores the interaction between technical design and values including: privacy, accessibility, fairness, and freedom of expression. We will draw on literature from design, science and technology studies, computer science, law, and ethics, as well as primary sources",0
INFO 247,Information Visualization and Presentation,4 Units," Information 206, Computer Science 160, or knowledge of programming and data structures with consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The design and presentation of digital information. Use of graphics, animation, sound, visualization software, and hypermedia in presenting information to the user. Methods of presenting complex information to enhance comprehension and analysis. Incorporation of visualization techniques into human-computer interfaces. Course must be completed for a letter grade to fulfill degree requirements.",0
INFO 251,Applied Machine Learning,4 Units," Info 206, or equivalent course in Python programming; Info 271B, or equivalent graduate-level course in statistics or econometrics; or permission of instructor","Terms offered: Fall 2017<br/>
Provides a theoretical and practical introduction to modern techniques in applied machine learning. Covers key concepts in supervised and unsupervised machine learning, including the design of machine learning experiments, algorithms for prediction and inference, optimization, and evaluation. Students will learn functional, procedural, and statistical programming techniques for working with real-world data.",0
