code,title,units,prereqs,offered,corrupt
INTEGBI C13,Origins: from the Big Bang to the Emergence of Humans,4 Units,,"Terms offered: Fall 2016, Fall 2014, Fall 2013<br/>
This course will cover our modern scientific understanding of origins, from the Big Bang to the formation of planets like Earth, evolution by natural selection, the genetic basis of evolution, and the emergence of humans. These ideas are of great intrinsic scientific importance and also have far reaching implications for other aspects of people's lives (e.g., philosophical, religious, and political). A major theme will be the scientific method",0
INTEGBI 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
INTEGBI 31,The Ecology and Evolution of Animal Behavior,3 Units, Open to all students; designed for those not specializing in biology,"Terms offered: Summer 2018 8 Week Session, Spring 2017, Spring 2016<br/>
Principles of evolution biology as they relate to animal behavior and behavioral ecology with broad coverage of animal groups. Special attention will be paid to the emerging discipline of behavioral ecology.",0
INTEGBI C32,Bioinspired Design,3 Units, Open to all students,"Terms offered: Spring 2018, Spring 2017<br/>
Bioinspired design views the process of how we learn from Nature as an innovation strategy translating principles of function, performance and aesthetics from biology to human technology. The creative design process is driven by interdisciplinary exchange among engineering, biology, art, architecture and business. Diverse teams of students will collaborate on, create, and present original bioinspired design projects. Lectures discuss biomimicry, challenges",0
INTEGBI 35AC,Human Biological Variation,4 Units,,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
This course addresses modern human biological variation from historical, comparative, evolutionary, biomedical, and cultural perspectives. It is designed to introduce students to the fundamentals of comparative biology, evolutionary theory, and genetics.",0
INTEGBI 41,Marine Mammals,2 Units, Designed for those not specializing in Integrative Biology,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Fall 2013<br/>
A survey of marine mammal evolution, biology, behavior, ecology, and politics with a concentration on those species found in the North Pacific. Coverage would include: origin and evolution of cetaceans, pinnipeds, sirenians, and sea otters; basic biology and anatomy of marine mammal groups, and North Pacific species in particular; ecological interactions and role in nearshore and pelagic marine communities; and",0
INTEGBI 77A,Integrative Human Biology,1 Unit,,"Terms offered: Fall 2017<br/>
Each week a different Integrative Biology faculty member will give a one hour lecture on how their research field contributes to our understanding of human biology. The integration of the disciplines of evolution, ecology, paleontology, comparative physiology, and comparative anatomy in the study of how humans function in ecosystems illuminates our understanding of human biology. During each presentation, the faculty member will also inform students about IB courses",0
INTEGBI 77B,Integrative Human Biology,1 Unit,,"Terms offered: Spring 2018<br/>
Each week a different Integrative Biology faculty member will give a one hour lecture on how their research field contributes to our understanding of human biology. The integration of the disciplines of evolution, ecology, paleontology, comparative physiology, and comparative anatomy in the study of how humans function in ecosystems illuminates our understanding of human biology. During each presentation, the faculty member will also inform students about IB courses",0
INTEGBI C82,Oceans,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course offers multidisciplinary approach to begin answering the question ""Why are oceans important to us?"" Upon a physical, chemical, and geologic base, we introduce the alien world of sea life, the importance of the ocean to the global carbon cycle, and the principles of ecology with a focus on the important concept of energy flow through food webs. Lectures expand beyond science to include current topics as diverse as music, movies",0
INTEGBI 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Spring 2018, Fall 2017, Fall 2014<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
INTEGBI 95,Special Research Project in Biology 1B,2 Units, Consent of instructor; selected by interview,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Students enrolled in Biology 1B can participate in special field research in addition to attending regular laboratory sections. Students work independently with minimal supervision. Students will learn how to develop a project, collect and record data, conduct and analyze experiments, write a report, and make an oral presentation. Project may require traveling to off-campus sites, and may include night or weekend work.",0
INTEGBI C96,Studying the Biological Sciences,1 Unit, Consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Freshmen will be introduced to the ""culture"" of the biological sciences, along with an in-depth orientation to the academic life and the culture of the university as they relate to majoring in biology. Students will learn concepts, skills, and information that they can use in their major course, and as future science professionals. Restricted to freshmen in the biology scholars program.",0
INTEGBI 98,Directed Group Study,1 - 4 Units, Freshmen and sophomores only,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Lectures and small group discussions focusing on topics of interest, varying from semester to semester.",0
INTEGBI C100,Communicating Ocean Science,4 Units," One course in introductory biology, geology, chemistry, physics, or marine science required and interest in ocean science; junior, senior, or graduate standing; consent of instructor required for sophomores","Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
For undergraduates interested in improving their ability to communicate their scientific knowledge by teaching ocean science in elementary schools or science centers/aquariums. The course will combine instruction in inquiry-based teaching methods and learning pedagogy with six weeks of supervised teaching experience in a local school classroom or the Lawrence Hall of Science with a partner. Thus, students will practice communicating scientific",0
INTEGBI 101,Introduction to Scientific Writing,4 Units,,"Terms offered: Spring 2018, Fall 1997<br/>
This course will introduce students to concepts and techniques for effective communication of scientific findings, both within the scientific community and to the general public. Students will be exposed to a variety of formats, including systematic observations in field journals, proposals, conference presentations, seminars, journal articles, popular science writing, and interviews. Students can expect to gain a sense of confidence in writing and public",0
INTEGBI 102LF,Introduction to California Plant Life with Laboratory,4 Units, Biology 1B or consent of instructor,"Terms offered: Spring 2018, Spring 2015, Spring 2013<br/>
The relationship of the main plant groups and the plant communities of California to climate, soils, vegetation, geological and recent history, and conservation. Laboratory will also include at least two Saturday field trips and focus on main plant groups and major plant families in California, and use of keys to identify introduced and especially native pteridophytes, conifers, and flowering plants of the state.",0
INTEGBI 103LF,Invertebrate Zoology with Laboratory,5 Units, Biology 1A-1B,"Terms offered: Spring 2018, Spring 2016, Spring 2014<br/>
Introductory survey of the biology of invertebrates, stressing comparative functional morphology, phylogeny, natural history, and aspects of physiology and development. Laboratory study of invertebrate diversity and functional morphology, and field study of the natural history of local marine invertebrates.",0
INTEGBI 104LF,Natural History of the Vertebrates with Laboratory,5 Units, Biology 1A-1B,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Biology of the vertebrates, exclusive of fish. Laboratory and field study of local vertebrates exclusive of fish.",0
INTEGBI C105,Natural History Museums and Biodiversity Science,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
(1) survey of museum resources, including strategies for accession, conservation, collecting and acquiring material, administration, and policies; (2) strategies for making collections digitally available (digitization, databasing, georeferencing, mapping); (3) tools and approaches for examining historical specimens (genomics, isotopes, ecology, morphology, etc); and (4) data integration and inference. The final third of the course will involve",0
INTEGBI C107L,Principles of Plant Morphology with Laboratory,4 Units, Biology 1A-1B,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An analysis of the structural diversity of land plants plants with emphasis on the developmental mechanisms responsible for this variation in morphology and the significance of this diversity in relation to adaptation and evolution.",0
