code,title,units,prereqs,offered,corrupt
ISF 10,Enduring Questions and Great Books of the Western Tradition,4 Units,,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
This course is a broad survey of major canonical works (“Great Books”) emphasizing from the premodern traditions of Western Civilization since the Greeks. These texts offer responses to central questions that, across the disciplinary divides, continue to inform contemporary work in the social sciences and the humanities. By considering these enduring questions and the responses of writers in Ancient, Medieval, Early Modern, and Modern Europe",0
ISF 60,Technology and Values,3 Units,,"Terms offered: Spring 2018, Spring 2008, Fall 2006<br/>
If science and technology are value-laden activities, then where exactly do the values lie? In this class, we will pick apart the black-box of science and technology and look for values not just in terms of bad actors, corruption, or ""implications,"" but in the processes that constitute modern technoscience itself. These processes include: the ways in which researchers construct problems, solutions, facts, and artifacts; the norms",0
ISF 61,Moral Reasoning and Human Action: The Quest for Judgment,3 Units,,"Terms offered: Spring 2017, Fall 2016, Spring 2015<br/>
This is an interdisciplinary survey course that seeks to understand how we define justice, evil, and individual responsibility in modern society. In particular we are going to probe carefully how humans reflect on and practice the process of moral reasoning. We will focus on human behavior in extreme situations: war, life and death conflicts, genocide and mass killing, as well as competing conceptions of human freedom. The course has a distinctive",0
ISF 98,Directed Group Study,1 - 3 Units,,"Terms offered: Spring 2017, Spring 2016, Fall 2015<br/>
Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from semester to semester.",0
ISF 100A,Introduction to Social Theory and Cultural Analysis,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
This course, required of all ISF majors but open to all students, provides an introduction to the works of foundational social theorists of the nineteenth century, including Karl Marx and Max Weber. Writing in what might be called the “pre disciplinary” period of the modern social sciences, their works cross the boundaries of anthropology, economics, history, political science, sociology, and are today claimed by these",0
ISF 100B,Introduction to Social Theory and Cultural Analysis,4 Units,,"Terms offered: Spring 2018, Spring 2015, Fall 2014<br/>
This is a course exploring how we understand the idea of the self in contemporary social worlds. The course shares the presumption that the modern self is a created endeavor. It charts traditional and contemporary understandings of individual identity, the maturation process and the notion of an inner life, the concepts of freedom and individual agency, the force of evolution and heredity, and the influence of social causation. The course stresses",0
ISF 100C,Language and Identity,4 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2013 Second 6 Week Session<br/>
This course examines the role of language in the construction of social identities, and how language is tied to various forms of symbolic power at the national and international levels.? Drawing on case studies from Southeast Asia, Europe, Canada, and the U.S., we will pay special attention to topics such as the legitimization of a national language, the political use of language in nation-building processes, the endangerment",0
ISF C100G,"Introduction to Science, Technology, and Society",4 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
This course provides an overview of the field of Science and Technology Studies (STS) as a way to study how our knowledge and technology shape and are shaped by social, political, historical, economic, and other factors. We will learn key concepts of the field (e.g., how technologies are understood and used differently in different communities) and apply them to a wide range of topics, including geography, history, environmental and information",0
ISF 100D,"Introduction to Technology, Society, and Culture",4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2014, Fall 2013<br/>
This course surveys the technological revolutions of the 19th and 20th centuries, it then focuses on the development of the computer and the Internet. The final part examines the impact of the Internet on social movements.",0
ISF 100E,"The Globalization of Rights, Values, and Laws in the 21st Century",4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2013, Fall 2012<br/>
This interdisciplinary course is an introduction to the complex interplay of transnational values, international rights and legal institutions that increasingly govern social, cultural and geopolitical interactions in our contemporary world. Theoretical and methodological tools from the social sciences, jurisprudence, and philosophy will be applied im the analyses of these interplays. A study of rights and norms presupposes",0
ISF 100F,Theorizing Modern Capitalism: Controversies and Interpretations,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2016, Fall 2015<br/>
The focus of this course will be on the various ways the nature and trajectory of modern capitalism has been interpreted. Our stress will be on post-Marxist works of analysis. The initial focal point will be on the work of Max Weber and Joseph Schumpeter, as well as important current debates in economic history and social theory generated by their work. Both Weber and Schumpeter display a strong fascination and elaboration",0
ISF 100G,"Introduction to Science, Society, and Ethics",4 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
This interdisciplinary course will explore whether it has proven possible and desirable to understand society through value-free and positivistic scientific methods as predominantly developed in the transatlantic worlds of the 19th centuries. We shall explore questions that may be applied to the realms of public health and human biology, or to the social sciences generally, including anthropology, sociology, economics, and political scie",0
