code,title,units,prereqs,offered,corrupt
ITALIAN 1,Elementary Italian,5 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Basic grammar for beginners: Part one.",0
ITALIAN 1R,Intensive Italian for Romance Languages Speakers,5 Units," Level 4 or higher of a Romance Language (French, Spanish, Portuguese, Romanian or Catalan) or departmental consent on a case by case basis","Terms offered: Spring 2018<br/>
An intensive Italian language course designed for native or advanced speakers of Romance languages (French, Spanish, Portuguese, Romanian, Catalan). In one semester, we will cover materials usually taught in two semesters in Elementary Italian 1 and 2. Students who successfully complete the course will be able to enroll in Italian 3 (Intermediate Italian). Regular attendance is mandatory.",0
ITALIAN 1S,Intensive Italian for Romance Languages Speakers,6 Units," Level 4 or higher of a Romance Language (French, Spanish, Portuguese, Romanian or Catalan) or departmental consent on a case by case basis","Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
An intensive Italian language course designed for native or advanced speakers of Romance languages (French, Spanish, Portuguese, Romanian, Catalan). In one semester, we will cover materials usually taught in two semesters in Elementary Italian 1 and 2. Students who successfully complete the course will be able to enroll in Italian 3 (Intermediate Italian). Regular and continued attendance of both classes is mandatory.",0
ITALIAN 2,Elementary Italian,5 Units, Italian 1,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Basic grammar for beginners: Part two.",0
ITALIAN 3,Intermediate Italian,5 Units, 2,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Grammar review, reading, and written composition.",0
ITALIAN 4,Intermediate Italian,5 Units, 3,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected readings in modern Italian prose; a review of the essentials of grammar; written and oral compositions.",0
ITALIAN R5A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Reading and composition course based on works by Italians and foreigners about Italy and its culture and by Italians about their distinctive experiences of other cultures as tourists and emigrants. Works studied will be primarily chosen from among fiction and non fiction narratives, both originally in English and translated into it. R5A satisfies the first half of the Reading and Composition Requirement and R5B satisfies the second half.",0
ITALIAN R5B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 8 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Reading and composition course based on works by Italians and foreigners about Italy and its culture and by Italians about their distinctive experiences of other cultures as tourists and emigrants. Works studied will be primarily chosen from among fiction and non fiction narratives, both originally in English and translated into it. R5A satisfies the first half of the Reading and Composition Requirement",0
ITALIAN 12,Advanced Conversational Italian,3 Units," 3 or equivalent, or consent of instructor","Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
The course is designed to develop and enhance oral communication skills at an advanced level, by means of conversational practice, discussion of readings, student presentation or original material, and use of audio-visual materials and realia.",0
ITALIAN 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
ITALIAN 25,Critical Issues in Interdisciplinary Italian Studies,3 Units,,"Terms offered: Spring 2018<br/>
This course serves as an introduction to Italian Studies in a comparative and interdisciplinary context. In each iteration of the course, students will learn about major intellectual debates in Italian culture and society, viewed in relation to their global context. Topics will vary with instructor.",0
ITALIAN 30,Dante (in English),3 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
An introduction to Dante's works in the cultural and historical context of the European Middle Ages.",0
ITALIAN 40,Italian Culture (in English),4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to Italian studies through selected topics and themes integral to the history, literature, and arts of Italy from Dante to Fellini.",0
ITALIAN 70,"Italian Cinema: History, Directors, Genres, Introduction to Italian Cinema",3 Units,,"Terms offered: Spring 2016, Summer 2015 Second 6 Week Session, Summer 2014 Second 6 Week Session<br/>
This course is a brief introduction to the history of Italian cinema. No prior knowledge of Italian cinema or film theory is necessary. We will study major auteurs and genres of Italian cinema in the context of Italian culture and history from 1895 to the present. The course is structured chronologically: we will begin with silent cinema, work our way through the 20th century, and end with contemporary",0
ITALIAN 97,Field Studies,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised field programs involving experiences in schools and school-related activities. Weekly participation commitment, regular individual meetings with faculty supervisor and written reports required.",0
ITALIAN 98,Directed Group Study,1 - 4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Group study of selected topics not covered by regularly scheduled courses.",0
ITALIAN 101,Advanced Writing Workshop,4 Units, Italian 4,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A writing-intensive course that aims to strengthen writing skills though varied genres, including literary analysis, journalism, and biography, and through multiple revisions. The course is a prerequisite for all upper division courses.",0
ITALIAN 101A,"Advanced Grammar, Reading, and Composition",4 Units, 4,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Reading and grammatical analysis of representative texts; advanced written composition.",0
ITALIAN 101B,"Advanced Grammar, Reading, and Composition",4 Units, 4,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Reading and grammatical analysis of representative texts; advanced written composition.",0
ITALIAN 102,Italian through the Arts,4 Units, Italian 101 or departmental placement,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course aims to develop advanced oral and aural skills through discussion, debate, performance, and role-play about the arts in Italy, including cinema, theater, the figurative arts, and music.<br/>",0
ITALIAN 103,History of Italian Culture,4 Units,,"Terms offered: Spring 2016, Fall 2014, Fall 2013<br/>
Introduction to the historical development of culture and literature in Italian from the Middle Ages to the present day. Lectures, critical analysis of texts, frequent writing exercises. In Italian.",0
ITALIAN 104,Reading Italian Literature,4 Units,,"Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
Introduction to basic works of Italian literature (fiction, poetry, drama) with an emphasis on techniques of reading.",0
ITALIAN 105,History of Italian Culture,4 Units, Italian 4 or consent of instructor,"Terms offered: Spring 2018, Spring 2017<br/>
Introduction to the historical development of Italian culture from the Middle Ages to the present, with an emphasis on critical analysis of literary and visual texts in relation to the politics and societies of the Italian peninsula, and an ultimate goal of advancing student’s critical and linguistic skills.",0
ITALIAN 110,Literature and Culture of the 13th and 14th Centuries,4 Units,,"Terms offered: Fall 2016, Spring 2016, Spring 2010<br/>
Emphasis on the literature and culture of the 13th and 14th centuries. Literature will emphasize the ""Stil Novo"" and Dante's minor works as well as Boccaccio's and Petrarch's .",0
ITALIAN 112,Sixteenth-Century Literature and Culture,4 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Studies in the literature and culture of the High Renaissance and the Late Renaissance.",0
ITALIAN 117,Twentieth and Twenty-First Century Literature,4 Units,,"Terms offered: Fall 2017, Spring 2016, Fall 2014<br/>
The main trends in the fiction, poetry, prose and theatre of the twentieth and twenty-first centuries.",0
ITALIAN 120,Topics in Italian Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Three hours of lectures, readings, and discussion per week on major authors, themes, and movements in Italian literature.",0
