code,title,units,prereqs,offered,corrupt
KOREAN 1,Intensive Elementary Korean,10 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2015 10 Week Session<br/>
This is the equivalent of 1A-1B offered in the regular academic year.",0
KOREAN 1A,Elementary Korean,5 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is designed for students who have little or no prior knowledge of the Korean language. Students will learn the Korean alphabet and basic grammar.",0
KOREAN 1AX,Elementary Korean for Heritage Speakers,5 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is designed for students who already have elementary comprehension and speaking skills in Korean and have minimum exposure to reading and/or writing in Korean.",0
KOREAN 1B,Elementary Korean,5 Units, Korean 1A; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
With an emphasis on speaking, listening, reading and writing, students will learn daily life expressions, common colloquialisms, and speech acts. The course is also intended to introduce certain cultural aspects through media sources and various activities.",0
KOREAN 1BX,Elementary Korean for Heritage Speakers,5 Units, Korean 1AX; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
With special emphasis on reading and writing, students will expand common colloquialisms and appropriate speech acts.",0
KOREAN 7A,Introduction to Premodern Korean Literature and Culture,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A survey of pre-modern Korean literature and culture from the seventh century to the 19th century, focusing on the relation between literary texts and various aspects of performance tradition. Topics include literati culture, gender relations, humor, and material culture. Texts to be examined include ritual songs, sijo, kasa, p'ansori, prose narratives, art, and contemporary media representation",0
KOREAN 7B,Introduction to Modern Korean Literature and Culture,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A survey of modern Korean literature and culture in the 20th century, focusing on the development of nationalist aesthetics in both North and South Korea. Topics include ""new woman"" narratives, urban culture, colonial modernity, war and trauma, and diaspora. Texts to be examined include works of fiction, poetry, art, and film. All readings are in English.",0
KOREAN 10,Intensive Intermediate Korean,10 Units, 1B or equivalent,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
This course is the equivalent of 10A-10B offered in the regular academic year.",0
KOREAN 10A,Intermediate Korean,5 Units, Korean 1 or Korean 1B; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
With equal attention given to speaking, listening, reading, writing, and cultural aspects of the language, students will further develop their language skills for handling various everyday situations.",0
KOREAN 10AX,Intermediate Korean for Heritage Speakers,5 Units, 10AX is prerequisite to 10BX,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This is an intermediate course for students whose Korean proficiency level is higher in speaking than in reading or writing due to Korean-heritage background. Students will elaborate their language skills for handling various everyday situations.",0
