code,title,units,prereqs,offered,corrupt
L & S 1,Exploring the Liberal Arts,2 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This is a course for entering students, particularly those who are undecided about the major they would like to pursue. It provides an introduction to the intellectual landscape of the College of Letters and Science, revealing the underlying assumptions, goals, and structure of a liberal arts education. Topics include the difference between the College of Letters and Science and the professional schools, the rationale behind the breadth requirement",0
L & S 1W,Exploring the Liberal Arts Hybrid Course,2 Units,,"Terms offered: Fall 2017<br/>
A hybrid course for entering students, particularly those who are undecided about the major they would like to pursue. It provides an introduction to the intellectual landscape of the College of Letters and Science, revealing the underlying assumptions, goals, and structure of a liberal arts education. Topics include the rationale behind the breadth requirement, the approaches and methodologies of each of the divisions in the college, and the benefits of engaging in",0
L & S W1,Exploring the Liberal Arts,2 Units,,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
This is a course for entering students, particularly those who are excited to be here but uncertain of where to start their explorations. It provides an introduction to the intellectual landscape of the College of Letters and Science, revealing the underlying assumptions, goals and structure of a liberal arts education. Guest speakers, drawn largely from the faculty and recent graduates of L&S",0
L & S C5,Introduction to Entrepreneurship,2 Units,,"Terms offered: Spring 2017, Fall 2015, Fall 2014<br/>
This course offers students a taste of what it’s really like to start a business. In addition to learning key foundational entrepreneurial concepts such as idea generation & evaluation, customer & product development, creating a business model, fundraising, marketing, and scaling & exiting a business, students will also hear from successful entrepreneurs who share their perspectives and best practices. Students will apply core concepts",0
L & S 10,The On the Same Page Course,1 Unit,,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
This is a course for new students (freshmen or transfers) who would like to engage with the On the Same Page book or theme for their year in a more in-depth way than the average student might. They will take full advantage of the On the Same Page events and programming planned for the fall of each year, and will enjoy opportunities to discuss the book or theme with faculty and fellow students.",0
L & S 20E,Arts and Literature,3 or 4 Units,,"Terms offered: Fall 2016<br/>
This course features significant engagement with arts, literature or language, either through critical study of works of art or through the creation of art. Art enables us to see the familiar world with new, often questioning eyes, and makes distant times and places, characters, and issues come alive in our imagination, which is essential to almost all intellectual endeavor. The Arts and Literature breadth requirement is intended to provide students with knowledge and",0
L & S 22,Sense and Sensibility and Science,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The approaches to problem solving developed by scientists have proven to be effective, and yet we as individuals, groups, and larger societies do not often seem to be able to take advantage even of rational approaches to problems--let alone the ""hyperrationality"" offered by science. Rationality by itself does not solve any problems or answer any questions. Its efficaciousness depends on how we combine it with our drives, goals,",0
L & S 24,Freshman Seminar,1 Unit,,"Terms offered: Fall 2016, Fall 2013, Fall 2012<br/>
The Freshman and Sophomore Seminars program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
L & S 25,Thinking Through Art and Design @Berkeley,3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course introduces students to key vocabularies, forms, and histories from the many arts and design disciplines represented at UC Berkeley. It is conceived each year around a central theme that responds to significant works and events on the campus, providing an introduction to the many art and design resources available to students on campus. Students will compare practices from across the fields of visual art, film, dance, theater, music",0
L & S C30T,Drugs and the Brain,3 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
The history, chemical nature, botanical origins, and effects on the human brain and behavior of drugs such as stimulants, depressants, psychedelics, analgesics, antidepressants, antipsychotics, steroids, and other psychoactive substances of both natural and synthetic origin. The necessary biological, chemical, and psychological background material for understanding the content of this course will be contained within the course itself.",0
