code,title,units,prereqs,offered,corrupt
LATIN 1,Elementary Latin,4 Units,,"Offered through: Classics<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Beginners' course.",0
LATIN 2,Elementary Latin,4 Units, 1 or equivalent,"Offered through: Classics<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Beginners' course.",0
LATIN 10,Intensive Elementary Latin,8 Units,,"Offered through: Classics<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Beginners' course (intensive); equivalent to Latin 1-2.",0
LATIN 15,The Latin Workshop,10 Units," Senior or graduate standing, or consent of instructor","Offered through: Classics<br/>
Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
Designed for anyone who wishes to acquire reading knowledge of Latin; replaces 2+ semesters of traditional study. Lectures, discussions, drills and tutorial sessions on grammar and vocabulary; readings in Latin prose and poetry (e.g., Cicero and Ovid).",0
LATIN 40,Intermediate Latin Prose Composition,4 Units," 2, 10, or 15","Offered through: Classics<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Development of skills in writing Latin prose and sight reading; review of grammar.",0
LATIN 100,Republican Prose,4 Units," 2, 10, or 15","Offered through: Classics<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected readings in Caesar, Sallust, and Cicero; some review of grammar.",0
LATIN 101,Vergil,4 Units, 100,"Offered through: Classics<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected readings from Vergil.",0
LATIN 102,Lyric and Society,4 Units, 100,"Offered through: Classics<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Reading in Catullus and Horace, and of short selections from prose literature of their periods.",0
LATIN 116,"Lucretius, Vergil's Georgics",4 Units, 101 or 102,"Offered through: Classics<br/>
Terms offered: Fall 2016, Spring 2013, Fall 2011<br/>
Readings in the De Rerum Natura and the Georgics.",0
LATIN 119,Latin Epic,4 Units, 101 or 102,"Offered through: Classics<br/>
Terms offered: Fall 2017, Spring 2014, Spring 2010<br/>
Readings in Latin epic poetry.",0
LATIN 122,Post-Augustan Prose,4 Units, 100 and either 101 or 102 or 140,"Offered through: Classics<br/>
Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Readings in Seneca, the younger Pliny, and other prose writers.",0
LATIN 140,Medieval Latin,4 Units, 100,"Offered through: Classics<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Introduction to medieval Latin: readings in prose and poetry from Cassiodorus to the Italian Renaissance, with emphasis on certain periods.",0
