code,title,units,prereqs,offered,corrupt
LD ARCH 1,Drawing a Green Future: Fundamentals of Visual Representation and Creativity,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
This introductory studio course is open to all undergraduate students in the University, who want to investigate the process of drawing as a method to learn how to perceive, observe and represent the environment. This studio will encourage visual thinking as a formative tool for problem solving that provides a means to envision a sustainable future. The focus will be on the critical coordination between hand",0
LD ARCH 12,Environmental Science for Sustainable Development,4 Units,,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
The scientific basis of sustainability, explored through study of energy, water, food, natural resources, and built environment. Physical/ecological processes and systems, and human impacts from the global scale to local energy/resource use. Energy and water audits, opportunities to increase sustainability of processes/practices. Discussion/lab section involves field data collection/analysis (e.g., habitat characteristics",0
LD ARCH 101,Fundamentals of Landscape Design,5 Units, Environmental Design 11A-11B or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This studio introduces students to the programmatic, artistic, and technical aspects of land form and topographic adjustments to accommodate human use. Topics include pedestrian and vehicular circulation, conservation and addition of plant materials, movement of water, recreation use, and creation of views. Sculptural land forms will be emphasized through the use of topographic plans, sections, and contour models.",0
LD ARCH 102,Case Studies in Landscape Design,5 Units, 101 or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This studio stresses the shaping and coordination of ideas from initial concept to complete design product. A product(s) of intermediate scale and complexity (such as a garden, small park, plaza, or campus courtyard) will be developed in detail including the selection of planting, selection of construction materials, and topographic design. Lecture modules on selected professional topics are integrated into this course.",0
LD ARCH 103,"Energy, Fantasy, and Form",5 Units," 101, 102, Environmental Design 11A-11B, (Arch 100A or 100B for Architecture students) or by consent of instructor","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This is an undergraduate studio with a central focus on climate modification for energy conservation. We will research historical precedents in order to develop new garden forms for passive green designs. We will also explore how past cultures integrated metaphysics into their gardens as an adjunct to microclimate and habitat design. The contemporary landscape should be a balanced interweaving of proportion, function, comfort, energy conservation",0
LD ARCH 110,Ecological Analysis,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Analysis of environmental factors, ecosystem functions, and ecosystem dynamics, as related to decision-making for landscape planning and design.",0
LD ARCH 110L,Ecological Analysis Laboratory,2 Units, Landscape Architecture 110 (may be taken concurrently),"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to field techniques for assessment of landscape factors. Factors include topography, geology, climate, soil, hydrology, flora, vegetation, and wildlife.",0
LD ARCH 111,Plants in Design,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Through lecture, research, and studio assignments, this course introduces the use of plants as design elements in the landscape, from the urban scale to the site-specific scale, focusing on the public open space. By analyzing historic, contemporary, and Bay Area examples, the course examines the spatial, visual, and sensory qualities of vegetation, as well as the interplay with ecological functions and engineering uses of plants.",0
LD ARCH 112,Landscape Plants: Identification and Use,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is an introduction to the identification and recognition, as well as design applications and uses, of plants in the landscape. Through lectures, assignments, and fieldwork, the course provides class participants with an appreciation of the importance of vertical vegetation as a design element. Students will be introduced to a variety of built projects and plants commonly used in Bay Area landscapes.",0
LD ARCH 120,Topographic Form and Design Technology,3 Units, 102 or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Technical, graphic and computational exercises, and studio problems in topographic site design and the shaping of the site for surface drainage.",0
LD ARCH 121,Design in Detail: Introduction to Landscape Materials and Construction,4 Units," 101, Architecture 100A, or consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course introduces the visual and physical characteristics of landscape construction materials including, but not limited to, stone, brick, concrete, metal, asphalt, and wood. Additionally, lectures cover the production and availability of these materials, any existing evaluations on their sustainability, and their potential impact on the immediate environment. Students also learn to utilize standard sources of information on building",0
LD ARCH 122,Hydrology for Planners,4 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
This course presents an overview of relevant hydrologic, hydraulic, and geomorphic processes, to provide the planner and ecologist with insight to incorporate these processes into the planning process and coordinate with specialists in the field of hydrology. Relevant government regulations and policies are also reviewed. The course is not intended to duplicate more specialized courses offered in such fields as engineering hydrology, coastal engineering",0
LD ARCH 130,Sustainable Landscapes and Cities,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
This course is an introduction to issues of sustainability in the designed landscape and in our cities. It includes environmental history as well as contemporary social, environmental and political issues surrounding sustainable design and activism. The course stresses motives and values expressed through environmental design at various scales – from neighborhood to global and examines problems affecting healthy",0
LD ARCH 134A,Drawing Workshop 1,3 Units, Environmental Design 11A-11B or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This studio will elaborate on a number of studio themes while introducing the students to a variety of graphic mediums and drawing techniques. Measured drawing procedures (including orthographic projections) will be augmented by figure-ground principles and themes of contrast, color, chiaroscuro, and compositions. On-site and visits to galleries and museums will complement the studio sessions.",0
