code,title,units,prereqs,offered,corrupt
LEGALST R1B,Reading and Composition in Connection with the Law as a Social Institution,4 Units," Previously passed an R_A course with a letter grade of C- or better. <BR/>Previously passed an articulated R_A course with a letter grade of C- or better. <BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition. Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition. Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is designed to fulfill the second half of the Reading and Composition requirement. Students will develop their skills at critical reading, writing, and analysis, and will complete a series of essays culminating in a research paper relating to law, legal actors, and legal institutions. Emphasis will be placed on the process of writing, including developing research questions, constructing an argument, and revising for content and",0
LEGALST 24,Freshman Seminars,1 Unit,,"Terms offered: Fall 2016, Fall 2001, Fall 2000<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
LEGALST 39D,Freshman/Sophomore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
LEGALST 39I,Freshman/Sophomore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Fall 2017, Fall 2016<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
LEGALST 88,Crime and Punishment: taking the measure of the US justice system,2 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
We will explore how data are used in the criminal justice system by exploring the debates surrounding mass incarceration and evaluating a number of different data sources that bear on police practices, incarceration, and criminal justice reform. Students will be required to think critically about the debates regarding criminal justice in the US and to work with various public data sets to assess the extent to which these data confirm or deny specific",0
LEGALST 98,Directed Group Study,1 - 4 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Small group instruction in topics not covered by regularly scheduled courses. Topics may vary from year to year.",0
LEGALST 100,Foundations of Legal Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This is a liberal arts course designed to introduce students to the foundational frameworks and cross-disciplinary perspectives from humanities and social sciences that distinguish legal studies as a scholarly field. It provides a comparative and historical introduction to forms, ideas, institutions, and systems of law and sociological ordering. It highlights basic theoretical problems and scholarly methods for understanding questions of law",0
LEGALST 102,Policing and Society,4 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2015 Second 6 Week Session<br/>
This course examines the American social institution of policing with particular emphasis on urban law enforcement. It explores the social, economic, and cultural forces that pull policing in the direction of state legal authority and power as well as those that are a counter-weight to the concentration of policing powers in the state. Special attention is given to how policing shapes and is shaped by the urban landscape",0
LEGALST 103,Theories of Law and Society,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 Second 6 Week Session<br/>
An historical examination of major interpretations of law, morals and social development, with special emphasis on the social thought of the 18th and 19th centuries and including the writings of Marx, Maine, Durkheim, Weber and other contemporary figures.",0
LEGALST 104AC,Youth Justice and Culture,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
This course challenges adult-centered representations of urban youth of different ethnicities, their problems, and the supposed solutions to those problems. It departs from the conceptualizations and methods used to study youth in mainstream criminology and developmental psychology. Attention is given to youth conflict, peer relations, identity building within and across ethnic groups, claims on territory",0
LEGALST 105,Theoretical Foundations of Criminal Law,3 Units, Sophomore standing,"Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
Criminal law raises fundamental theoretical issues that have occupied philosophers over the years. In this course we will discuss a selection of articles that bring to bear such a philosophical perspective on important aspects of criminal law. Topics include justification of punishment, foundations of blame and responsibility, substantive values protected by criminal law, significance of actual harm, liability of groups and other collectivities",0
LEGALST 106,Philosophy of Law,4 Units,,"Terms offered: Spring 2018<br/>
This course explores philosophical themes bearing on the nature of the law and its relationship to morality: e.g., What is law—does its claim rest only on social processes or does law necessarily embody moral claims? Do we have an obligation to obey the law? What are the moral limits of legal punishment? The course will sharpen students’ skills in practical reasoning through the analysis of logical argument. The materials consist of readings from the assigned text",0
LEGALST 107,Theories of Justice,4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
Major perspectives in social and economic thought, e.g., natural law, natural right, laissez faire, ""possessive individualism,"" contractualism, pluralism, and social equality as they affect contemporary discussion of ""higher law,"" fairness, civic competence, and distributive justice.",0
LEGALST 109,Aims and Limits of the Criminal Law,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Fall 2016<br/>
Analysis of the capacity of criminal law to fulfill its aims. What are the aims of criminal law? How are they assigned relative priority? What principles can be identified for evaluating the effort to control disapproved activities through criminal law?",0
LEGALST 110,Special Topics in Legal Studies,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2000<br/>
Please refer to the Legal Studies website for specific topics.",0
LEGALST 119,Philosophy and Law in Ancient Athens,4 Units,,"Terms offered: Fall 2016, Spring 2010<br/>
This is an introduction to important aspects of the philosophical and constitutional thought of classical Athens. We will pay particular attention to accounts of the origins of the Athenian legal system; criticisms and defenses of the democracy; arguments about the nature of justice, law, and legal obligation; and the context of the Athenian way of organizing trials, taxation, and administration. Readings from Aeschylus, Thucydides, Aristophanes, Plato",0
