code,title,units,prereqs,offered,corrupt
LINGUIS 1A,American Sign Language I,5 Units, Not open to native signers,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction of the fundamentals of American Sign Language: comprehension skills, grammatical structures, practice in the production aspects of the language, and exposure to Deaf culture.",0
LINGUIS 1B,American Sign Language II,5 Units, Linguistics 1A; not open to native signers,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Continuation of the study of the fundamentals of American Sign Language: comprehension skills, grammatical structures, practice in the production aspects of the language, and exposure to Deaf culture.",0
LINGUIS R1B,Endangered Languages: What We Lose when a Language Dies,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
In this course, we will investigate such questions as: What causes language endangerment and death, and why does it matter? Can dying languages be revitalized? How are thought, identity, and culture influenced by language, and vice versa? The course is designed to hone students' reading, writing, and research skills. Satisfies the second half of the reading and composition requirement.",0
LINGUIS R2B,Language and Linguistics in Science Fiction,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2016 Second 6 Week Session<br/>
If representatives from an alien species appeared on earth from outer space, how would we communicate with them?What if they were not organic creatures, but were instead machines?What would an alien species sound like?What kinds of changes will happen to languages over the next several centuries?The genre of science fiction raises many such linguistic questions, but the science of linguistics has rarely been applied to science fiction texts.",0
LINGUIS 3,Linguistic Diversity,3 Units,,"Terms offered: Summer 2017 Second 6 Week Session, Fall 2013<br/>
Over six weeks, students will explore the common structures and enormous variability observed in human languages. We will introduce elements of basic linguistic description at the level of phonetics, phonology, morphology, syntax, and semantics, and use them to compare, contrast, and classify the languages of the world. Students enrolled in the course will benefit from critically examining preconceptions about language in its many",0
LINGUIS 5,Language and Linguistics,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 Second 6 Week Session<br/>
A general survey of the field of linguistics. Students are introduced to a wide range of data from diverse languages to basic principles of linguistic analysis.",0
LINGUIS 10,The Sounds of English,3 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2016 Second 6 Week Session<br/>
In this course, students will learn the fundamentals of speech production and perception with special emphasis on the sounds of English. Students who take this course will learn the basics of vocal tract anatomy and speech production. Using English as a case study, they will gain a deeper knowledge of a language they already speak. They will also gain tools to study other languages inventories and phonological processes.",0
LINGUIS 11,Writing Systems,3 Units,,"Terms offered: Spring 2016, Fall 2014, Fall 2010<br/>
Examines different writing systems in terms of their historical origin and their cognitive properties. Enrollment limited to 15 students.",0
LINGUIS 23,Language and Sex,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2013 Second 6 Week Session<br/>
Introduction to linguistic principles through analysis of sexual terminology and collocations. Exploration of sociolinguistic issues related to sex, gender, and sexuality. Examination of how societal attitudes about sexuality are reflected in language, and how different languages express sexual concepts differently.",0
LINGUIS 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
