code,title,units,prereqs,offered,corrupt
MAT SCI 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 20 freshmen.",0
MAT SCI 45,Properties of Materials,3 Units, Physics 7A (may be taken concurrently),"Terms offered: Spring 2018, Fall 2017<br/>
Application of basic principles of physics and chemistry to the engineering properties of materials. Special emphasis devoted to relation between microstructure and the mechanical properties of metals, concrete, polymers, and ceramics, and the electrical properties of semiconducting materials. Sponsoring Department: Materials Science and Engineering",0
MAT SCI 45L,Properties of Materials Laboratory,1 Unit,,"Terms offered: Spring 2018, Fall 2017<br/>
This course presents laboratory applications of the basic principles introduced in the lecture-based course MSE45 – Properties of Materials.",0
MAT SCI 102,"Bonding, Crystallography, and Crystal Defects",3 Units, Engineering 45,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Bonding in solids; classification of metals, semiconductors, and insulators; crystal systems; point, line, and planar defects in crystals; examples of crystallographic and defect analysis in engineering materials; relationship to physical and mechanical properties.",0
MAT SCI 103,Phase Transformations and Kinetics,3 Units, 102 and Engineering 115,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The nature, mechanisms, and kinetics of phase transformations and microstructural changes in the solid state. Atom diffusion in solids. Phase transformations through the nucleation and growth of new matrix or precipitate phases. Martensitic transformations, spinodal decomposition. The use of phase transformations to control microstructure.",0
MAT SCI 104,Materials Characterization,4 Units, 102,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Physical and chemical characterization of materials: Diffraction, imaging, and spectroscopy using optical, electron, and X-ray methods for bulk and surface analysis. Measurement of mechanical and physical properties. Project laboratory focusing on mechanical, chemical, electrical, and magnetic properties of materials, and materials characterization. Field trips.",0
MAT SCI 111,Properties of Electronic Materials,4 Units, Physics 7A-7B-7C or Physics 7A-7B and consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to the physical principles underlying the electric properties of modern solids with emphasis on semiconductors; control of defects and impurities through physical purification, bulk and thin film crystal growth and doping processes, materials basis of electronic and optoelectronic devices (diodes, transistors, semiconductor lasers) and optical fibers; properties of metal and oxide superconductors and their applications.",0
MAT SCI 112,Corrosion (Chemical Properties),3 Units, Engineering 45 and Engineering 115,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Electrochemical theory of corrosion. Mechanisms and rates in relation to physiochemical and metallurgical factors. Stress corrosion and mechanical influences on corrosion. Corrosion protection by design, inhibition, cathodic protection, and coatings.",0
MAT SCI 113,Mechanical Behavior of Engineering Materials,3 Units, C30/Mechanical Engineering C85 and Engineering 45,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course covers elastic and plastic deformation under static and dynamic loads. Prediction and prevention of failure by yielding, fracture, fatigue, wear and environmental factors are addressed. Design issues pertaining to materials selection for load bearing applications are discussed. Case studies of engineering failures are presented. Topics include engineering materials, structure-property relationships, materials selection for design, mechanical",0
MAT SCI 117,Properties of Dielectric and Magnetic Materials,3 Units, Physics 7A-7B-7C or Physics 7A-7B and consent of instructor; 111 is recommended,"Terms offered: Spring 2017, Spring 2011, Fall 2010<br/>
Introduction to the physical principles underlying the dielectric and magnetic properties of solids. Processing-microstructure-property relationships of dielectric materials, including piezoelectric, pryoelectric, and ferroelectric oxides, and of magnetic materials, including hard- and soft ferromagnets, ferrites and magneto-optic and -resistive materials. The course also covers the properties of grain boundary devices (including varistors)",0
MAT SCI C118,Biological Performance of Materials,4 Units, Engin 45; BioE 103 or equivalent; BioE 102 and BioE 104 recommended,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
This course is intended to give students the opportunity to expand their knowledge of topics related to biomedical materials selection and design. Structure-property relationships of biomedical materials and their interaction with biological systems will be addressed. Applications of the concepts developed include blood-materials compatibility, biomimetic materials, hard and soft tissue-materials interactions, drug delivery, tissue engineering",0
