code,title,units,prereqs,offered,corrupt
MATH 1A,Calculus,4 Units," Three and one-half years of high school math, including trigonometry and analytic geometry, plus a satisfactory grade in one of the following: CEEB MAT test, an AP test, the UC/CSU math diagnostic test, or 32. Consult the mathematics department for details. Students with AP credit should consider choosing a course more advanced than 1A","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This sequence is intended for majors in engineering and the physical sciences. An introduction to differential and integral calculus of functions of one variable, with applications and an introduction to transcendental functions.",0
MATH 1B,Calculus,4 Units, 1A,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Continuation of 1A. Techniques of integration; applications of integration. Infinite sequences and series. First-order ordinary differential equations. Second-order ordinary differential equations; oscillation and damping; series solutions of ordinary differential equations.",0
MATH 10A,"Methods of Mathematics: Calculus, Statistics, and Combinatorics",4 Units," Three and one-half years of high school math, including trigonometry and analytic geometry","Terms offered: Summer 2018 8 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
This sequence is intended for majors in the life sciences. Introduction to differential and integral calculus of functions of one variable. Representation of data, elementary probability theory, statistical models, and testing.",0
MATH 10B,"Methods of Mathematics: Calculus, Statistics, and Combinatorics",4 Units, Continuation of 10A,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
Elementary combinatorics and discrete probability theory. Introduction to graphs, matrix algebra, linear equations, difference equations, and differential equations.",0
MATH 16A,Analytic Geometry and Calculus,3 Units," Three years of high school math, including trigonometry, plus a satisfactory grade in one of the following: CEEB MAT test, an AP test, the UC/CSU math diagnostic exam, or 32. Consult the mathematics department for details","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This sequence is intended for majors in the life and social sciences. Calculus of one variable; derivatives, definite integrals and applications, maxima and minima, and applications of the exponential and logarithmic functions.",0
MATH 16B,Analytic Geometry and Calculus,3 Units, 16A,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Continuation of 16A. Application of integration of economics and life sciences. Differential equations. Functions of many variables. Partial derivatives, constrained and unconstrained optimization.",0
MATH 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
MATH 32,Precalculus,4 Units," Three years of high school mathematics, plus satisfactory score on one of the following: CEEB MAT test, math SAT, or UC/CSU diagnostic examination","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Polynomial and rational functions, exponential and logarithmic functions, trigonometry and trigonometric functions. Complex numbers, fundamental theorem of algebra, mathematical induction, binomial theorem, series, and sequences.",0
MATH 39A,Freshman/Sophomore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Spring 2018, Spring 2010, Spring 2009<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
MATH 49,Supplementary Work in Lower Division Mathematics,1 - 3 Units, Some units in a lower division Mathematics class,"Terms offered: Spring 2017, Spring 2016, Fall 2015<br/>
Students with partial credit in lower division mathematics courses may, with consent of instructor, complete the credit under this heading.",0
MATH 53,Multivariable Calculus,4 Units, Mathematics 1B,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Parametric equations and polar coordinates. Vectors in 2- and 3-dimensional Euclidean spaces. Partial derivatives. Multiple integrals. Vector calculus. Theorems of Green, Gauss, and Stokes.",0
MATH H53,Honors Multivariable Calculus,4 Units, 1B,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Honors version of 53. Parametric equations and polar coordinates. Vectors in 2- and 3-dimensional Euclidean spaces. Partial derivatives. Multiple integrals. Vector calculus. Theorems of Green, Gauss, and Stokes.",0
