code,title,units,prereqs,offered,corrupt
MCELLBI 15,Current Topics in the Biological Sciences,2 Units, Suitable for freshmen who plan to major in a biological science,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Students in this course will critically examine modern methods of biological investigations and their social implications. Relevant literature will be used to present basic biological concepts that address the cultural, technological and health aspects of current topics in the biological sciences. Designing and evaluating scientific questions will be stressed.",0
MCELLBI 32,Introduction to Human Physiology,3 Units, One year high school or college chemistry,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
A comprehensive introduction to human biology. The course will concentrate on basic mechanisms underlying human life processes, including cells and membranes; nerve and muscle function; cardiovascular, respiratory, renal, and gastrointestinal physiology; metabolism, endocrinology, and reproduction.",0
MCELLBI 32L,Introduction to Human Physiology Laboratory,2 Units, 32 or may be taken concurrently,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
Experiments and demonstrations are designed to amplify and reinforce information presented in 32. Exercises include investigations into the structure and function of muscle, nerve, cardiovascular, renal, respiratory, endocrine, and blood systems.",0
MCELLBI 38,"Stem Cell Biology, Ethics and Societal Impact",3 Units,,"Terms offered: Spring 2018<br/>
Innovations in bioengineering and use of stem cells will significantly impact our ability to combat human disease, genetic disorders and physiological dysfunction. An understanding of human stem cell biology will be critical to make informed decisions on our health and public policy.",0
MCELLBI 41,Genetics and Society,3 Units, Primarily for students not specializing in biology,"Terms offered: Spring 2016, Spring 2013, Summer 2012 8 Week Session<br/>
Basic communication of inheritance; gene mapping; gene expression and genetic disease in animals and humans; social inheritance of genetics.",0
MCELLBI C44,Biology for Voters,3 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
This is a Discovery Course for non-Biology majors designed to introduce lower-division college students to biology through the lens of the contemporary problems facing people, the planet and the species of the planet. Modern genetic contributions will be presented on such issues as genetic engineering of plants and animals, the emergence of new pathogens, the role of genetic variation among individuals, and the extent to which DNA is and",0
MCELLBI 50,The Immune System and Disease,4 Units, High school chemistry or Chemistry 1A and high school biology or Biology 1A. Biology 1AL is not required,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Course will discuss how the immune system resolves, prevents, or causes disease. A general overview of the immune system will be covered in the first five weeks followed by five weeks discussing infectious diseases including anthrax, mad cow, herpes, malaria, tuberculosis, and HIV. In addition, other lectures will focus on current immunology topics including vaccines, autoimmunity, allergy, transplantation, and cancer.",0
MCELLBI 55,Plagues and Pandemics,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Discussion of how infectious agents cause disease and impact society at large. We will examine historical and current examples of plagues and pandemics and consider the question of what we should do to ameliorate the impact of infectious disease in the future. The course is intended for non-majors and will begin by briefly providing necessary background in microbiology and immunology. The primary focus in each subsequent week, however, will be",0
MCELLBI C61,"Brain, Mind, and Behavior",3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to human brain mechanisms of sensation, movement, perception, thinking, learning, memory, and emotion in terms of anatomy, physiology, and chemistry of the nervous system in health and disease. Intended for students in the humanities and social sciences and others not majoring in the biological sciences.",0
MCELLBI W61,"Brain, Mind, and Behavior",3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session, Summer 2016 10 Week Session<br/>
This course deals with the structure and function of the human nervous system, with an emphasis on how brain physiology and chemistry are related to human behavior. This is a comprehensive introduction to the exciting field of contemporary neuroscience for students of all backgrounds and interests, including those from the humanities and social sciences, as well as physical and biological",0
MCELLBI C62,Drugs and the Brain,3 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
The history, chemical nature, botanical origins, and effects on the human brain and behavior of drugs such as stimulants, depressants, psychedelics, analgesics, antidepressants, antipsychotics, steroids, and other psychoactive substances of both natural and synthetic origin. The necessary biological, chemical, and psychological background material for understanding the content of this course will be contained within the course itself.",0
MCELLBI 63,Introduction to Functional Neuroanatomy,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course emphasizes beginning anatomy of the brain and spinal cord to individuals interested in understanding the dynamics of motor and sensory functions in the human body. Students in the Departments of Education, Psychology, and Integrative Biology, as well as students interested in medicine and the life sciences, are especially encouraged to attend.",0
