code,title,units,prereqs,offered,corrupt
NATAMST R1A,Native American Studies Reading and Composition,4 Units, Satisfaction of UC Entry Level Writing Requirement,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
This course introduces students to the genres of Native American literature (written and oral traditions), provides historical and cultural frameworks for understanding, appreciating, and interpreting Native American writings, and develops basic skills in expository and creative writing. Satisfies the first half of the Reading and Composition requirement.",0
NATAMST R1B,Native American Studies Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Course examines Native American written and oral traditions in historical and cultural contexts. Emphasis on literary interpretation and creative and analytical writing, so that students increasingly write from positions of strength. Satisfies the second half of the Reading and Composition requirement.",0
NATAMST 20A,Introduction to Native American Studies,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course explores the interactions, from friendship treaties and land deals to contemporary American governmental policies, between America's original inhabitants with Europeans and Euro-Americans. Emphasis will be placed on how tribal peoples continue to react to the national myths and policies created by Europeans and Euro-Americans.",0
NATAMST 20B,"Introduction to Native American Studies II: Cultural Practice, Art, and Identity",4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course explores Native American identify practices in written and oral traditions in literature, art, dance, theatre, ceremony, and song. The place of these traditions in the contemporary day will be emphasized as creative struggles for maintaining and elaborating on Indian identity in the context of colonialism.",0
NATAMST 39A,Freshman/Sophomore Seminar,1.5 - 4 Units, Priority given to freshmen and sophomores,"Terms offered: Spring 2016, Fall 2013<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
NATAMST C70,Working with Grammar: Linguistic Tools for Learning and Teaching a Native American Language,3 Units,,"Terms offered: Fall 2017<br/>
This course is for people who want to learn a Native American language, understood to include any of the hundreds of indigenous languages of North, Central, and South America. Since most of these languages are not taught in the usual formal educational settings, a major emphasis of the course is helping students develop strategies for self-directed language learning and effective teaching methods to help others learn as well. The course will also provide a basic introduction",0
NATAMST 71,Native Americans in North America to 1900,4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2015<br/>
An ethnohistorical analysis of America's original inhabitants and their interactions with Europeans and Euro-Americans emphasizing an Indian perspective.",0
NATAMST 72,Native Americans in North America 1900-Present,4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
A survey and analysis of issues affecting Native Americans in the 20th and 21st centuries. Course will explore political, economic, and social/cultural developments as they shape federal-Indian relations and tribal sovereignty.",0
NATAMST 90,"Freshman Seminar--Myth, Memory and History",4 Units, Limited to Freshmen,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course will introduce students to different ways of understanding the history of American Indians and to basic resources and research methods for studying the history of Indian tribes.",0
NATAMST 97,Field Work in Native American Communities,1 - 3 Units, Consent of instructor and lower division standing,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual conferences to be arranged. Supervised experiences relevant to specific aspects of the Native American community in off-campus settings. Regular individual meetings with faculty sponsor and written reports required.",0
