code,title,units,prereqs,offered,corrupt
NEUROSC C217D,Biological and Public Health Aspects of Alzheimer's Disease,3 Units, Graduate standing or consent of instructor,"Terms offered: Spring 2017, Spring 2015, Spring 2014, Spring 2013<br/>
This course will survey the field of Alzheimer's disease (AD) from a biological and public health perspective by reading original research papers in the fields of medicine, neuroscience, and epidemiology. The course will begin with a historical survey of the concept of AD, followed by a description of clinical and neuropathological features. Subsequent classes will cover the genetics and molecular biology of the disease, as well",0
NEUROSC C261,Cellular and Developmental Neurobiology,3 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
This course covers the molecular/cellular basis of neuron excitability (membrane potentials, action potential generation and propagation, ion channels), synaptic transmission and plasticity, sensory receptor function, and developmental neurobiology.",0
NEUROSC C262,Circuit and Systems Neurobiology,3 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Advanced coverage of current research problems in systems-level neuroscience, and experimental and computational techniques used for these studies.",0
NEUROSC 290,Neuroscience First Year Research,2 Units, Graduate standing in Neuroscience Graduate Group; concurrent enrollment in 291A-291B,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Seminar on the presentation and evaluation of research results for first-year neuroscience graduate students. During the first weeks, faculty present their research (FERPS); later, students present individual research results and evaluate their own and each other's work. Course enrollment limited to 15.",0
NEUROSC 290A,Neuroscience Research Design and Analysis,1 Unit," Restricted to 1st year PhD students in Neuroscience-related PhD Programs (Neuroscience PhD Program,<BR/>MCB PhD Program, Psychology PhD Program, Biophysics PhD Program), or permission of instructor","Terms offered: Fall 2017, Fall 2016<br/>
Professional core competency training for graduate students involved in neuroscience research at Berkeley. Includes survey of modern research methods, and professional skills including principles of experimental design and data reproducibility.<br/>",0
NEUROSC 290B,Neuroscience Career Skills,1 Unit," Restricted to 1st year PhD students in Neuroscience-related PhD Programs (Neuroscience PhD Program,<BR/>MCB PhD Program, Psychology PhD Program, Biophysics PhD Program), or permission of instructor","Terms offered: Spring 2018, Spring 2017<br/>
Professional core competency training for graduate students involved in neuroscience research at Berkeley. Includes training in giving scientific presentations, scientific writing, and project management.<br/>",0
NEUROSC 291A,Neuroscience Introduction to Research,4 - 12 Units, Graduate standing in Neuroscience Graduate Group; consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Closely supervised, intensive laboratory experimental research under the direction of an individual faculty member. For first-year neuroscience graduate students, this course will provide an introduction to experimental methods and research approaches in the different areas of neuroscience. Grade awarded on completion of sequence, which includes 3 ten-week laboratory rotations spread out over the fall and spring semesters.",0
NEUROSC 291B,Neuroscience Introduction to Research,4 - 12 Units, Graduate standing in Neuroscience Graduate Group; consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Closely supervised, intensive laboratory experimental research under the direction of an individual faculty member. For first-year neuroscience graduate students, this course will provide an introduction to experimental methods and research approaches in the different areas of neuroscience. Grade awarded on completion of sequence, which includes 3 ten-week laboratory rotations spread out over the fall and spring semesters.",0
NEUROSC 292,Neuroscience Graduate Research,3 - 12 Units, Graduate standing in the Neuroscience Graduate Group; advanced approval from instructor,"Terms offered: Summer 2018 10 Week Session, Spring 2018, Fall 2017<br/>
For graduate students in neuroscience in their second or later years. During the summer, the course will count for 3-6 units. Individual research under faculty supervision. In this course each graduate student conducts basic thesis and dissertation research after successful completion of the first-year laboratory rotation, Neuroscience 291A-291B. Laboratory work provides the basis for students' thesis research, preparation for",0
NEUROSC 294,Neuroscience Graduate Student Presentation Seminar,1 Unit, Graduate student standing,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course will encompass three important facets of graduate education in the neurosciences: 1) Development of research presentation skills: fourth and fifth year graduate students will present seminars based on their ongoing dissertation research. Preparation and critiques of presentations will focus on organization of conceptual issues, data presentation, and summarization. 2) Exposure to current topics in neuroscience: faculty speakers",0
NEUROSC 299,Seminars,1 - 3 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Course that focuses on topical subjects in specific fields of neuroscience.",0
