code,title,units,prereqs,offered,corrupt
NUC ENG 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
NUC ENG 100,Introduction to Nuclear Engineering,3 Units," Physics 7A and 7B, Physics 7C may be taken concurrently. Mathematics 53 and 54 may be taken concurrently","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The class provides students with an overview of the contemporary nuclear energy technology with emphasis on nuclear fission as an energy source. Starting with the basic physics of the nuclear fission process, the class includes discussions on reactor control, thermal hydraulics, fuel production, and spent fuel management for various types of reactors in use around the world as well as analysis of safety and other nuclear-related issues. This",0
NUC ENG 101,Nuclear Reactions and Radiation,4 Units, Physics 7C,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Energetics and kinetics of nuclear reactions and radioactive decay, fission, fusion, and reactions of low-energy neutrons; properties of the fission products and the actinides; nuclear models and transition probabilities; interaction of radiation with matter.",0
NUC ENG 102,Nuclear Reactions and Radiation Laboratory,3 Units, 101,"Terms offered: Spring 2016, Spring 2015, Spring 2013<br/>
Laboratory course in nuclear physics. Experiments will allow students to directly observe phenomena discussed in Nuclear Engineering 101. These experiments will give students exposure to (1) electronics, (2) alpha, beta, gamma radiation detectors, (3) radioactive sources, and (4) experimental methods relevant for all aspects of nuclear science. Experiments include: Rutherford scattering, x-ray fluorescence, muon lifetime, gamma-gamma angular",0
NUC ENG 104,Radiation Detection and Nuclear Instrumentation Laboratory,4 Units, 101 or equivalent or consent of instructor; 150 or equivalent recommended,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Basic science of radiation measurement, nuclear instrumentation, neutronics, radiation dosimetry. The lectures emphasize the principles of radiation detection. The weekly laboratory applies a variety of radiation detection systems to the practical measurements of interest for nuclear power, nuclear and non-nuclear science, and environmental applications. Students present goals and approaches of the experiements being performed.",0
NUC ENG 107,Introduction to Imaging,3 Units, 101 and 104A or consent of instructor,"Terms offered: Fall 2016, Fall 2014, Fall 2012<br/>
Introduction to medical imaging physics and systems, including x-ray computed tomography (CT), nuclear magnetic resonance (NMR), positron emission tomography (PET), and SPECT; basic principles of tomography and an introduction to unfolding methods; resolution effects of counting statistics, inherent system resolution and human factors.",0
NUC ENG 120,Nuclear Materials,4 Units, Engineering 45 and an upper division course in thermodynamics,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Effects of irradiation on the atomic and mechanical properties of materials in nuclear reactors. Fission product swelling and release; neutron damage to structural alloys; fabrication and properties of uranium dioxide fuel.",0
NUC ENG 124,Radioactive Waste Management,3 Units, Engineering 117 or equivalent course,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Components and material flowsheets for nuclear fuel cycle, waste characteristics, sources of radioactive wastes, compositions, radioactivity and heat generation; waste treatment technologies; waste disposal technologies; safety assessment of waste disposal.",0
NUC ENG 130,Analytical Methods for Non-proliferation,3 Units," 101 or equivalent course in nuclear physics, or consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Use of nuclear measurement techniques to detect clandestine movement and/or possession of nuclear materials by third parties. Nuclear detection, forensics, signatures, and active and passive interrogation methodologies will be explored. Techniques currently deployed for arms control and treaty verification will be discussed. Emphasis will be placed on common elements of detection technology from the viewpoint of resolution of threat signatures",0
NUC ENG 150,Introduction to Nuclear Reactor Theory,4 Units, 101; Mathematics 53 and 54,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Neutron interactions, nuclear fission, and chain reacting systematics in thermal and fast nuclear reactors. Diffusion and slowing down of neutrons. Criticality calculations. Nuclear reactor dynamics and reactivity feedback. Production of radionuclides in nuclear reactors.",0
