code,title,units,prereqs,offered,corrupt
NWMEDIA R1B,New Media Reading and Composition,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 First 6 Week Session, Summer 2016 Second 6 Week Session<br/>
How do media shape our perception of our environment? What is at stake when we adopt or create new media? This seminar provides continued training in expository and argumentative writing, with an emphasis on new media. Satisfies the second half of the Reading and Composition requirement.",0
NWMEDIA 90,Introduction to New Media,1 - 4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
See Schedule of Classes for current section offerings. Topics introduce new media and related issues.",0
NWMEDIA 190,Special Topics in New Media,1 - 4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
See Schedule of Classes for current section offerings. Topics deal with new media and related issues.",0
NWMEDIA 198,Directed Group Study,1 - 3 Units, Upper division standing,"Terms offered: Spring 2017, Spring 2016, Spring 2014<br/>
Course may be student-intitated or initiated by a faculty affiliate of the Center for New Media. The subject matter will vary from semester to semester. Student initiated courses will be taught by a student facilitator under the supervision of the faculty sponsor, who must be a faculty affiliate of the Berkeley Center for New Media.",0
NWMEDIA 200,History and Theory of New Media,4 Units, Graduate standing or consent of instructor. Required for all students in the Designated Emphasis in New Media,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
This course provides a broad historical and theoretical background for new media production and practice. The class will map out theoretical approaches from different disciplines and allow graduate students to discuss and apply them to their own research projects.",0
NWMEDIA 201,Questioning New Media,3 Units, Graduate standing or consent of instructor. Required of all students in the Designated Emphasis in New Media,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Held in conjunction with the Art, Technology, and Culture Colloquium which brings internationally-known speakers to campus to present their work on advanced topics in new media: http://atc.berkeley.edu. Students will enhance skills in questioning new media: how to think critically about new media, how to use new media resources to research pioneering work in new media, how to form incisive questions about new media, and how to evaluate and create",0
NWMEDIA C203,Critical Making,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Critical Making will operationalize and critique the practice of “making” through both foundational literature and hands on studio culture. As hybrid practitioners, students will develop fluency in readily collaging and incorporating a variety of physical materials and protocols into their practice. Students will envision and create future computational experiences that critically explore social and culturally relevant technological themes.",0
NWMEDIA C262,Theory and Practice of Tangible User Interfaces,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course explores the theory and practice of Tangible User Interfaces, a new approach to Human Computer Interaction that focuses on the physical interaction with computational media. The topics covered in the course include theoretical framework, design examples, enabling technologies, and evaluation of Tangible User Interfaces. Students will design and develop experimental Tangible User Interfaces using physical computing prototyping tools",0
NWMEDIA C265,Interface Aesthetics,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course will cover new interface metaphors beyond desktops (e.g., for mobile devices, computationally enhanced environments, tangible user interfaces) but will also cover visual design basics (e.g., color, layout, typography, iconography) so that we have systematic and critical understanding of aesthetically engaging interfaces. Students will get a hands-on learning experience on these topics through course projects, design critiques",0
NWMEDIA 290,Special Topics in New Media,1 - 4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
See Schedule of Classes for current section offerings. Topics deal with new media and related issues.",0
NWMEDIA 299,Individual Study or Research,1 - 4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
Individual study or research with Center for New Media- affiliated faculty. This course provides the opportunity to search out and study in detail subjects unavailable in the ordinary course offerings. Unit credit will reflect conparable work per unit as regular courses, and will include both meetings with faculty sponsor and independent work.",0
