code,title,units,prereqs,offered,corrupt
OPTOM 10,The Eye and Vision in a Changing Environment,2 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Course covers introduction to the basis of common sight-reducing visual disorders with major public health implications for society--e.g., myopia, cataracts, diabetic hypertensive eye disorders, developmental disorders (e.g., lazy eye), and environmentally induced disease and disorders (solar eye burns, cataracts). Major approaches to the prevention, diagnosis, and treatment of common disorders will be addressed in terms of the biological",0
OPTOM 98,Directed Group Study,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Directed group study for undergraduates interested in the field of optometry.",0
OPTOM 200AL,Clinical Examination of the Visual System,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Fundamentals of the optometric examination. Case history, visual acuities, objective and subjective methods of determining refractive status. Basic examination of anterior ocular structures and the ocular funds; perimetry.",0
OPTOM 200B,Clinical Examination of the Visual System,2 Units, 200A,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Classification and epidemiology of refractive errors, evaluation of accommodative and binocular status. Tonometry, advanced techniques of examining the posterior pole, evaluation of visual pathway function.",0
OPTOM 200BL,Clinical Examination of the Visual System,3 Units," Opt 200A, Opt 200AL","Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Classification and epidemiology of refractive errors, evaluation of accommodative and binocular status. Tonometry, advanced techniques of examining the posterior pole, evaluation of visual pathway function.",0
OPTOM 200CL,Clinical Examination of the Visual System,2 Units, Optom 200B,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Case analysis of refractive, accommodative, and binocular anomalies. Pediatric examination techniques. Advanced methods of examining the peripheral ocular funds; anterior angle evaluation.",0
OPTOM 200D,Clinical Examination of the Visual System,2 Units," 200C, 200CL","Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Modification of the exam sequence for specific patient needs. Evaluation and management of tear film disorders; analysis of vision with cataract. Patient management and professional communications; legal and ethical issues; managed care and optometry.",0
OPTOM 200DL,Clinical Examination of the Visual System,2 Units," Optom 200C, Optom 200CL","Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Modification of the exam sequence for specific patient needs. Evaluation and management of tear film disorders; analysis of vision with cataract. Patient management and professional communications; legal and ethical issues; managed care and optometry.",0
OPTOM 222A,Optics of Ophthalmic Lenses,4 Units, Vision Science 203A,"Terms offered: Spring 2016, Spring 2015, Fall 2014<br/>
Optical and physical characteristics of ophthalmic lenses, to include spheric and aspherical surface of single and multifocal lens designs, and ophthalmic prisms. Lens power measurement methods, lens thickness power relationships and considerations in designing prescription eyewear. Characteristics of absorptive lenses, ophthalmic coatings, lens materials, and their role in ocular protection.",0
OPTOM 226A,Systemic Pharmacology,2.5 Units, Vision Science 206D,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Basic pharmacology, terminology, and concepts (both pharmacodynamic and pharmacokinetic) and pharmacotheraphy of medical conditions commonly encountered in clinical optometric practice (including cardiovascular disease, respiratory disease, diabetes, infection and inflammatory conditions, as well as central nervous system disorders).",0
OPTOM 226B,Ocular Pharmacology,2.5 Units, 226A,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Basic pharmacology, terminology, and concepts (both pharmacodynamic and pharmacokinetic) as applied to the eye and ophthalmic drugs, clinical prescribing issues including formulation, dosing and prescribing, and pharmacotherapy of anti-inflammatory, centrally acting, hormonal and other ""specialist"" systemic drugs.",0
OPTOM 230B,Graduate General Clinical Practice,2 - 6 Units, O.D. degree,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
General optometric practice for four hours per week per credit hour, including optometric examination, dispensing, consultation, and subsequent vision care of patients, performed independently by graduate student clinicians.",0
OPTOM 231B,Graduate Specialty Clinics,2 - 8 Units, O.D. degree,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Clinical examination of patients in designated specialty clinics. More than one clinical specialty may be taken simultaneously.",0
OPTOM 236A,Systemic Disease and its Ocular Manifestations,3 Units, 200D. 236A is a prerequisite for 236B,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The pathophysiology, pharmacotherapy, and clinical management of systemic and ocular diseases will be discussed through a combination of lecture and problem-based learning approaches. Disease processes will be emphasized and include cellular injury and repair, inflammation, infection, degeneration, and neoplasia. Neurologic, cardiovascular, endocrine, pulmonary, and congenital disease and their relative ocular manifestations will be presented.",0
OPTOM 236B,Systemic Disease and its Ocular Manifestations,3 Units, 236A,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
The pathophysiology, pharmacotherapy, and clinical management of systemic and ocular diseases will be discussed through a combination of lecture and problem-based learning approaches. Disease processes will be emphasized and include cellular injury and repair, inflammation, infection, degeneration, and neoplasia. Neurologic, cardiovascular, endocrine, pulmonary, and congenital disease and their relative ocular manifestations will be pres",0
OPTOM 240,Diagnosis and Treatment of Sensory/Motor Anomalies,3 Units, Vision Science 217 and 219,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Diagnosis and treatment of heterophoria, accommodative, vergence and oculomotor anomalies including sensory anomalies and amblyopia. Rationale and methods for treatment with lenses, prism, occlusion, and vision training. Design and implementation of treatment programs.",0
OPTOM 241,Advanced Management and Rehabilitation of Sensory/Motor Anomalies,3 Units, 240,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Advanced diagnosis, prognosis and treatment of strabismus, neurologic oculomotor disorders, amblyopia, and other associated sensory anomalies. Assessment and management of developmental and acquired visual perceptual disorders in relationship to learning disabilities. Design and implementation of treatment programs.",0
OPTOM 256,Diagnosis and Treatment of Posterior Segment Ocular Disease,4 Units, 246,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
This course series consists of the pathophysiology, pharmacotherapy, and clinical management of systemic and ocular diseases through a combination of lecture and problem-based learning approaches. Disease processes will be emphasized and include cellular injury and repair, inflammation, infection, degeneration, and neoplasia. Neurologic, cardiovascular, endocrine, pulmonary, and congenital disease and their relative ocular manifestations",0
OPTOM 260A,Contact Lenses: Examination Principles and Practice,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Examination procedures and instrumentation used in monitoring the ocular response to contact lenses. Contact lens inspection, care, and handling. Physical and optical properties of contact lenses. Fitting contact lenses to the human eye, clinical implications. The Sarver Lecture series in Contact Lenses (12 hours on a Saturday and Sunday.)",0
OPTOM 270C,Eyecare Business and Professional Management II,2 Units, 270A,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Entrepreneurship, financing alternatives, business loans, human resources, marketing, personal finance, business law as it affects optometry.",0
OPTOM 281B,Graduate Clinical Rounds,1 - 3 Units, O.D. degree,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Presentation and discussion of the diagnosis, etiology, prognosis, and treatment of selected clinical cases.",0
OPTOM 291B,Optometry Research Project,1 Unit, 290A-290B,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Thesis research for optometry students. Presentation of research results.",0
OPTOM 292A,Graduate Optometry Seminar,1 - 3 Units, O.D. degree,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Graduate seminars on selected topics in clinical optometry.",0
OPTOM 292B,Graduate Optometry Seminar,1 - 3 Units, O.D. degree,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Graduate seminars on selected topics in clinical optometry.",0
OPTOM 298A,Independent or Group Studies,1 - 6 Units, O.D. degree,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Directed studies on a selected topic(s) within optometry.",0
OPTOM 298B,Independent or Group Studies,1 - 6 Units, O.D. degree,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Directed studies on a selected topic(s) within optometry.",0
OPTOM 299B,Graduate Optometry Research,2 - 4 Units, O.D. Degree,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Directed research on a selected topic within clinical optometry.",0
OPTOM 430A,Optometry Clinics,4 Units, Opt 200D and Opt 200DL,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
Clinical practice in examination techniques and interpretation of clinical data. Primary care optometric exams.",0
OPTOM 430B,Optometry Clinics,9 Units, 430A,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Examination of patients in a primary care setting, prescribing of optometric therapy, management of emergency procedures, and vision screenings of children and adults.",0
OPTOM 430C,Optometry Clinics,9 Units, 430A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Examination of patients in a primary care setting, prescribing of optometric therapy, management of emergency procedures, and vision screenings of children and adults.",0
OPTOM 432,Introduction to Clinical Topics for the New Clinician,2 Units, Optom 200D Clinical Examination of the Visual System,"Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session<br/>
This course emphasizes ocular conditions and diseases that are commonly encountered during patient care. The goal is to improve observational skills for new clinicians by presenting clinical information in a Grand Rounds format and to increase efficiency for comprehensive eye examinations by outlining alternative strategies for examining patients and analyzing clinical data.",0
OPTOM 435,Advanced Procedures in Ocular Disease Diagnosis,2 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Instrumentation, techniques, and principles for examination, diagnosis, and treatment of ocular disease. Introduction to optometric informatics related to ocular disease.",0
OPTOM 440A,Advanced Optometry Clinic,2.5 Units, 430C,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
Optometric examination of patients in the primary care clinic performed independently by student clinicians under supervision of the clinical staff.",0
OPTOM 440B,Advanced Optometry Clinic,9 Units, 440A and 441A,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Examination of patients in a primary care setting. Diagnosis, prognosis, treatment, patient management and follow-up.",0
OPTOM 440C,Advanced Optometry Clinic,9 Units, 440A and 441A (offered Summer Session only),"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Examination of patients in a primary care setting. Diagnosis, prognosis, treatment, patient management and follow-up.",0
OPTOM 441A,Specialty Clinics,2.5 Units, 430C,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
Examination, diagnosis, prognosis, treatment, and management of patients in the specialty clinics.",0
OPTOM 441C,Specialty Clinics,7 Units, 440A and 441A (offered Summer Session only),"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Examination, diagnosis, prognosis, treatment, and/or management of patients in specialty clinics; ocular disease, contact lenses, binocular vision, ophthalmic optics, and environmental and occupational vision.",0
OPTOM 450B,Grand Rounds and Seminar,2 Units, 440A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Presentation of clinical cases demonstrating basic and advanced optometric care, including diagnosis, treatment, and patient management.",0
OPTOM 452,Current Concepts in Ocular Disease,1 Unit, 440B and 441B,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Recent advances in the detection, diagnosis, and management of ocular disease.",0
OPTOM 499,Supervised Independent Study,1 - 12 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Independent study under control of Associate Dean for Student Affairs.",0
