code,title,units,prereqs,offered,corrupt
PACS 10,Introduction to Peace and Conflict Studies,4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
This course introduces students to a broad range of issues, concepts, and approaches integral to the study of peace and conflict. Subject areas include the war system and war prevention, conflict resolution and nonviolence, human rights and social justice, development and environmental sustainability. Required of all Peace and Conflict Studies majors.",0
PACS 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2017, Fall 2016, Spring 2003<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment is limited to 15 freshmen.",0
PACS 98,Directed Group Study,1 - 3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Group discussion, research and reporting on selected topics.",0
PACS 100,Peace Theory: Approaches and Analyses,3 Units, 10,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course will explore the historical development of the field through analysis of the operative assumptions, logic, and differing approaches of the seminal schools and thinkers that have shaped the field. Students will become familiar with the body of literature and major debates in peace studies and research.",0
PACS 119,Special Topics in Peace and Conflict Issues,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Course will focus on specific issues of current research and issues in the field of peace and conflict studies. Topics will be different each term and reflect the current research of the instructor. Students will be required to do extensive reading on a weekly basis, participate in assigned projects, and complete one major research project and class presentation. Actual assignments may vary from term to term depending upon the subject.",0
PACS 126,International Human Rights,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course provides an overview to the historical, theoretical, political, and legal underpinnings that have shaped and continue to shape the development of human rights. Students are introduced to substantive topics within human rights and provided an opportunity to develop critical thinking, oral presentation, and writing skills. We discuss where the concept of human rights originates, how these ideas have been memorialized in international",0
PACS 127,Human Rights and Global Politics,4 Units,,"Terms offered: Spring 2017, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session<br/>
After World War II, we witnessed a ""revolution"" in human rights theory, practice, and institution building. The implications of viewing individuals as equal and endowed with certain rights is potentially far reaching as in the declaration that individuals hold many of those rights irrespective of the views of their government. Yet, we also live in a world of sovereign states with sovereign state's",0
PACS 130,Cross-Listed Topics,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2017, Spring 2016, Fall 2014<br/>
This course is designed to accommodate cross-listed courses offered through other departments, the content of which is applicable to Peace and Conflict Studies majors.",0
PACS 135,Special Topics in Regional Conflict,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Topics vary from semester to semester. The course will offer a critical interdisciplinary study of geo-political regions and the sources of their conflicts.",0
PACS 148AC,"Social Movements, Urban Histories, and the Politics of Memory",4 Units,,"Terms offered: Fall 2016, Spring 2015, Spring 2014<br/>
Course examines the history of progressive social movements in the San Francisco Bay Area. Combining history, sociology, urban geography, and ethnic studies, we ask: why and how these movements emerged? What cultural, racial, ethnic and political identities were drawn from, reconfigured, and created within these movements? What kinds of knowledge and institutions were created by these movements, and how have these legacies shaped (and been",0
PACS 149,Global Change and World Order,3 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2011<br/>
This course will analyze emerging trends, patterns, and problems associated with the phenomenon of globalization. Particular attention will be given to world economic and social integration, ethno-religious nationalism and identity politics, domestic politics, and foreign policy. Special emphasis is placed on the prospects of peace and world order in the post-cold war era.",0
PACS 150,Conflict Resolution: Theory and Practice,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course will investigate theories of individual and group conflict as a conceptual framework for practical application. Students will engage in practice as parties to conflicts and as third-party intervenors. The course will look at the sources of conflict, including multicultural aspects, and will emphasize the opportunities for growth and development in conflictive incidents.",0
PACS 151,International Conflict: Analysis and Resolution,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Inspired by the changed meaning of international conflict and the expanding mission of conflict resolution in the post-cold war era, this course will study the contemporary context and issues of conflict by examining the evolution in thinking about conflict, the resolution, and their application in practice.",0
PACS 170,"Conflict Resolution, Social Change, and the Cultures of Peace",4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
A comprehensive exploration of the concepts and processes of conflict resolution, using this term in the broadest sense. In particular, the course elaborates upon the relationships among conflict resolution, social change, and cultures of peace with examples drawn from the domestic and global levels.",0
PACS 190,Senior Seminar,4 Units, Senior standing. Course should be taken in final year of study and is only open to PACS majors,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Students prepare a major analytical paper synthesizing what they have learned in the major and give an oral presentation on their area of concentration. Students review literature and issues of peace and conflict studies appropriate to focus of senior paper and participate in regular consultations with instructor scheduled outside of class hours in preparing paper for presentation. All students will be expected to read and critique a common",0
PACS 195,Senior Thesis,3 - 4 Units, Senior standing in PACS,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Research paper or suitable research project done under the direct supervision of a faculty sponsor. Subject must be approved by faculty sponsor no later than the preceding semester in which the course is to be taken.",0
PACS H195,Senior Honors Thesis Seminar,4 Units, Senior standing; 3.6 GPA in major; 3.5 GPA overall in coursework undertaken at Berkeley; International and Area Studies 102; and consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Students are required to research and write a thesis based on the prospectus developed in International and Area Studies 102 or a prospectus approved by the instructor before the first class meeting. The thesis work is conducted in regular consultation with the Honors Seminar instructor and a second topic expert reader to be selected based upon the thesis topic. Weekly progress reports and written work are required.",0
