code,title,units,prereqs,offered,corrupt
PERSIAN 1A,Elementary Modern Persian,5 Units," Prerequisite for Persian 1B, or consent of instructor","Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduction to Persian language, covering basics of the language skills in all aspects of reading, writing, listening comprehension, and speaking with emphasis on culture and communicative methods.",0
PERSIAN 1B,Elementary Modern Persian,5 Units," 1A, or consent of instructor","Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to Persian language, covering basics of the language skills in all aspects of reading, writing, listening comprehension, and speaking with emphasis on culture and communicative methods.",0
PERSIAN 10,Intensive Elementary Persian,10 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Summer 2018 8 Week Session, Summer 2017, Summer 2016 10 Week Session<br/>
This course is equivalent to a full year of elementary Persian. It will train students in the four language skills: speaking, comprehension, reading, and writing. Emphasis will be placed on the functional usage of the language.",0
PERSIAN 11A,Reading and Composition for Persian Speaking Students,5 Units, Rudimentary knowledge of spoken Persian and consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Designed for heritage students who possess oral skills (speaking/comprehension, though limited) but need to improve their writing and reading abilities, and expand their knowledge of Persian grammar and syntax. Completion of 11A-11B will prepare the student to take Persian 20A, Intermediate Persian.",0
PERSIAN 11B,Reading and Composition for Persian-Speaking Students,5 Units, Persian 11A or the consent of the instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Designed for heritage students who possess oral skills (speaking/comprehension, though limited) but need to improve their writing and reading abilities, and expand their knowledge of Persian grammar and syntax. Completion of 11A-11B will prepare the student to take Persian 20A, Intermediate Persian.",0
PERSIAN 20,Intensive Intermediate Persian,10 Units, Persian 1A-1B or Persian 10 or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Summer 2017 8 Week Session, Summer 2007 10 Week Session, Summer 2007 8 Week Session<br/>
A year or more of advanced level Persian with emphasis on advanced grammar and vocabulary build up. Newspaper clippings, film reviews and cultural awareness through introduction of literature will be covered.",0
PERSIAN 20A,Intermediate Modern Persian,5 Units, Persian 1A-1B or Persian 11A-11B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The sequence begins in the fall. This course emphasizes reading of simple literary texts, expository writing and composition, formal conversation, grammar, and syntax. It involves intensive vocabulary building in preparation for advanced reading and comprehension of standard literary texts.",0
PERSIAN 20B,Intermediate Modern Persian,5 Units, Persian 20A or the consent of the instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The sequence begins in the fall. This course emphasizes reading of simple literary texts, expository writing and composition, formal conversation, grammar, and syntax. It involves intensive vocabulary building in preparation for advanced reading and comprehension of standard literary texts.",0
PERSIAN 100A,Advanced Persian,3 Units," Persian 20A-20B or equivalent, or consent of instructor","Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Emphasis on intensive vocabulary building, comprehensive grammar review, reading and analysis of short literary texts of various genres from classical and modern periods, and reading newspaper clips and other original sources in Persian media.",0
PERSIAN 100B,Advanced Persian,3 Units, Persian 100A or the consent of the instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Emphasis on intensive vocabulary building, comprehensive grammar review, reading and analysis of short literary texts of various genres from classical and modern periods, and reading newspaper clips and other original sources in Persian media.<br/>
<br/>",0
PERSIAN 102A,Readings in Classical Persian Prose,3 Units, 101A or 101B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2016, Fall 2014, Fall 2011<br/>
Systematic study of representative selections from all periods of classical Persian literature, with attention to the historical and intellectual context.",0
PERSIAN 103A,Classical Persian Poetry,3 Units, 101A or 101B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Spring 2012, Fall 2010<br/>
Systematic study of poems belonging to all genres of classical Persian poetry, with consideration of questions of prosody, rhetoric, and style.",0
PERSIAN 103B,Classical Persian Poetry,3 Units, 101A or 101B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Systematic study of poems belonging to all genres of classical Persian poetry, with consideration of questions of prosody, rhetoric, and style.",0
PERSIAN 104B,Contemporary Persian Literature,3 Units, 101A or 101B or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Spring 2013, Spring 2007<br/>
This course will deal with significant works of Persian prose and poetry from the beginning of the 19th century down to the present. Complete works or extracts from them will be read in the original as a preliminary to their analysis in terms of literary and stylistic development, as well as the changing role of literature in society. The literature of the rest of the 20th century.",0
PERSIAN 199,Supervised Independent Study and Research,1 - 4 Units,,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2003, Fall 2002<br/>
Enrollment is restricted by regulations shown in the .",0
PERSIAN 200B,Readings in Persian Literary Texts,3 Units, Twelve units of upper division coursework in Persian or consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2016, Spring 2011, Spring 2010<br/>
Advanced topics in Persian literature from various periods of Persian culture and literary history.",0
PERSIAN 298,Seminar,1 - 4 Units, Consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
Special topics in Persian. Topics vary and are announced at the beginning of each semester.",0
