code,title,units,prereqs,offered,corrupt
PHILOS R1B,Reading and Composition Through Philosophy,4 Units," R1A offered by any department, or an equivalent course","Terms offered: Spring 2016, Spring 2015, Spring 2013<br/>
Training in writing expository prose in conjunction with reading philosophical texts. Satisfies the second half of the Reading and Composition requirement.",0
PHILOS 2,Individual Morality and Social Justice,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Fall 2017<br/>
Introduction to ethical and political philosophy.",0
PHILOS 3,The Nature of Mind,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Introduction to the philosophy of mind. Topics to be considered may include the relation between mind and body; the structure of action; the nature of desires and beliefs; the role of the unconscious.",0
PHILOS 4,Knowledge and Its Limits,4 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Introduction to the theory of knowledge.",0
PHILOS 5,Science and Human Understanding,4 Units,,"Terms offered: Fall 2017, Spring 2012, Spring 2007<br/>
Introduction to the Philosophy of Science.",0
PHILOS 6,"Man, God, and Society in Western Literature",4 Units,,"Terms offered: Fall 2016, Fall 2013, Summer 2011 Second 6 Week Session<br/>
Philosophical issues as expressed in poetry, drama, and the novel. This course will compare and contrast the Greek, Medieval, and modern worlds, as reflected in their greatest literature, with special emphasis on the role of the community in reconciling conflicts between sub-groups in society and the individual's ability to understand and control his own life. We will also follow man's realization that the changing answers",0
PHILOS 11,Introduction to the Philosophy of Religion,4 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
A survey of basic issues in contemporary philosophy of religion, exploring arguments about God's existence, the status of religious experiences and beliefs, how souls might interact with bodies, and the relationship of God to morality.",0
PHILOS 12A,Introduction to Logic,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
Syntax, semantics, and proof theory of sentential and predicate logic.",0
PHILOS W12A,Introduction to Logic,4 Units,,"Terms offered: Summer 2018 8 Week Session<br/>
Intended as a first course in logic for students with no previous exposure to the subject, the course treats symbolic logic. Students will learn to formalize reasoning in symbolic languages with precisely defined meanings and rules of inference. Symbolic logic is by nature a mathematical subject, but the course does not presuppose any prior coursework in mathematics—only an openness to mathematical reasoning.<br/>
<br/>
The course concentrates on three",0
PHILOS 18,Confucius for Today,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
The teachings of Confucius (6th to 5th century B.C.) have had a profound influence on Chinese and East Asian cultures, and have attracted significant interest throughout the world. In what ways are they still of relevance to life in the twenty-first century? The course will consider the contemporary implications of Confucius’ teachings for such topics as: family, rituals, life and death, fate, contentment and anxiety, anger and resentment, courage",0
PHILOS 25A,Ancient Philosophy,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Fall 2017<br/>
The history of ancient philosophy with special emphasis on the Presocratics, Plato, and Aristotle.",0
PHILOS 25B,Modern Philosophy,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
The history of modern philosophy from Descartes through Kant.",0
PHILOS 98,Directed Group Study for Lower Division Students,1 - 4 Units, Lower Division standing,"Terms offered: Spring 2016, Fall 2015, Spring 2014<br/>
Directed study on special topics.",0
PHILOS 98BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
PHILOS 100,Philosophical Methods,4 Units," Two courses from 2, 4, 25A, 25B. Restricted to students in the major","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The course is designed to acquaint students with the techniques of philosophical reasoning through detailed study of selected philosophical texts and through extensive training in philosophical writing, based on those texts. Should be taken as early as possible after declaring the major.",0
PHILOS 104,Ethical Theories,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
The fundamental concepts and problems of morality examined through the study of classical and contemporary philosophical theories of ethics.",0
