code,title,units,prereqs,offered,corrupt
PHYS ED 1,Physical Education Activities,0.5 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Instruction in a variety of sports, exercise, and conditioning activities is offered at the elementary level. Students select section by activity and time preferences. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 2,Physical Education Activities,0.5 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Instruction in a variety of sports, exercise, and conditioning activities is offered at the low intermediate level. Students select section by activity and time preferences. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 3,Physical Education Activities,0.5 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Instruction in a variety of sports, exercise, and conditioning activities is offered at the intermediate level. Students select section by activity and time preferences. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 4,Physical Education Activities,0.5 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Instruction in a variety of sports, exercise, and conditioning activities is offered at the high intermediate level. Students select section by activity and time preferences. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 5,Physical Education Activities,0.5 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Instruction in a variety of sports, exercise, and conditioning activities is offered at the advanced level. Students select section by activity and time preferences. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 11,Physical Education Activities,0.5 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Variety of intercollegiate sports for men. Students should select section by activity. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 12,Physical Education Activities,0.5 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Variety of intercollegiate sports for women. Students should select section by activity. Students should consult the Online Schedule of Classes each semester to determine the particular activities available.",0
PHYS ED 32,Fitness for Life: Physical Adaptations to Exercise,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Develops the relationship between physical fitness and wellness through scientific evidence presented in the areas of exercise science and health. The body's adaptation to programs of aerobic conditioning and strength training are examined. Areas associated with health and fitness, including nutrition and weight control, maintaining fitness with age, heart disease, low back care, and stress reduction are discussed. The",0
PHYS ED 47B,Intermediate Skin and SCUBA Diving,2 Units, Basic SCUBA certification; pass swim evaluation and medical examination for SCUBA,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course is designed to continue the training and experiences of divers possessing a Basic Open Water certificate. Divers will be introduced to new diving environments and techniques, including night diving, nitrox diving, deeper diving, hazardous marine life, additional search and rescue techniques, etc. The weekend open water ocean dives will be conducted in Monterey and Carmel. This course will properly prepare students interested in underwater",0
PHYS ED 98,Supervised Group Study,1 - 4 Units, Restricted to freshmen and sophomores with consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised studies by lower division students. Enrollment is restricted by regulations listed in the General Catalog.",0
PHYS ED C129,Human Physiological Assessment,3 Units," Biology 1A, IB 132 (may be taken concurrently); IB 123AL is recommended","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Principles and theories of human physiological assessment in relation to physical activity and conditioning. Performance of laboratory procedures in the measurement and interpretation of physiological fitness (cardiorespiratory endurance, body composition, musculoskeletal fitness).",0
PHYS ED C165,Introduction to the Biomechanical Analysis of Human Movement,4 Units, Physical Education 9 and Integrative Biology 131 and 131L,"Terms offered: Fall 2016, Fall 2015, Fall 2014, Fall 2013<br/>
Basic biomechanical and anatomical concepts of human movement and their application to fundamental movement patterns, exercise, and sport skills.",0
PHYS ED 197,Field Study in Physical Education,1 - 3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised experience relevant to specific aspects of physical education, sport, and fitness. Regular individual meetings with faculty sponsor and written reports required.",0
PHYS ED 198,Supervised Group Study,1 - 4 Units, Must have 60 units and consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised studies by upper division students. Enrollment is restricted by regulations listed in the General Catalog.",0
PHYS ED C407,Introduction to Scientific Diving,3 Units," Advanced scuba certification, swim test, medical exam, and consent of instructor","Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Diving physics, physiology, medicine, rescue, decompression, theory, navigation, environment, marine life, research methods, equipment, and University regulations. Course leads to University certification to use underwater life support apparatus for study or research under University auspices.",0
