code,title,units,prereqs,offered,corrupt
PHYSICS 5A,Introductory Mechanics and Relativity,3 Units, Prerequisites: Math 1A; Math 1B (which may be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Kinematics, dynamics, work and energy, rotational motion, oscillations, fluids and relativity. Use of calculus and vector algebra will be emphasized. Intended for students with an interest in pursuing a major in physics, astrophysics, engineering physics, or related disciplines. Successor to the Physics H7 series. Start of three semester 5A-5B-5C sequence.",0
PHYSICS 5B,"Introductory Electromagnetism, Waves, and Optics",3 Units, Prerequisites: Physics 5A or 7A; Math 53 (which may be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Electric fields and potential, circuits, magnetism and induction. Introduction to optics including light propagation, reflection, refraction and interference. Intended for students with an interest in pursuing a major in physics, astrophysics, engineering physics, or related disciplines. Successor to the Physics H7 series. Continuation of 5A-5B-5C sequence.",0
PHYSICS 5BL,Introduction to Experimental Physics I,2 Units, Prerequisites: Physics 5A or 7A; 5B or 7B (which may be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Part one of a two-semester laboratory sequence to introduce students to experimental physics and prepare them for research. Covers a variety of modern and historical experiments, emphasizing data analysis, clear scientific communication, and development of skills on modern equipment. Successor to the Physics H7 series.",0
PHYSICS 5C,Introductory Thermodynamics and Quantum Mechanics,3 Units, Prerequisites: Physics 5B or 7B; Physics 89 or Math 54 (which may be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Fall 1977<br/>
Temperature, kinetic theory, entropy; particle/wave nature of matter, Schrodinger equation, hydrogen atom, applications of quantum physics. Intended for students with an interest in pursuing a major in physics, astrophysics, engineering physics or related disciplines. Continuation of 5A-5B-5C sequence. Successor to the Physics H7 series.",0
PHYSICS 5CL,Introduction to Experimental Physics II,2 Units, Physics 5B & 5BL or 7B; Physics 5C or 7C (which may be taken concurrently),"Terms offered: Spring 2018, Fall 2017<br/>
Part two of a two-semester laboratory sequence to introduce students to experimental physics and prepare them for research. Covers a variety of modern and historical experiments, emphasizing iterative experimental design, clear scientific communication, and development of skills on modern equipment. Successor to the Physics H7 series.",0
PHYSICS 7A,Physics for Scientists and Engineers,4 Units, High school physics; Math 1A; Math 1B (which may be taken concurrently),"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Mechanics and wave motion.",0
PHYSICS 7B,Physics for Scientists and Engineers,4 Units," 7A, Math 1A-1B, Math 53 (may be taken concurrently)","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Heat, electricity, and magnetism.",0
PHYSICS 7C,Physics for Scientists and Engineers,4 Units," 7A-7B, Math 1A-1B, Math 53, 54 (Math 54 may be taken concurrently)","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Electromagnetic waves, optics, relativity, and quantum physics.",0
PHYSICS H7B,Physics for Scientists and Engineers,4 Units," 7A, Math 1A-1B, Math 53 (may be taken concurrently)","Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
Honors sequence corresponding to 7A-7B-7C, but with a greater emphasis on theory as opposed to problem solving. Recommended for those students who have had advanced Physics on the high school level and who are intending to declare a major in physics. Entrance into H7A is decided on the basis of performance on an examination given during the first week of class or the consent of the instructor, and into H7B-H7C on performance in previous courses",0
PHYSICS H7C,Physics for Scientists and Engineers,4 Units," 7A-7B, Math 1A-1B, Math 53, 54 (Math 54 may be taken concurrently)","Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
Honors sequence corresponding to 7A-7B-7C, but with a greater emphasis on theory as opposed to problem solving. Recommended for those students who have had advanced Physics on the high school level and who are intending to declare a major in physics. Entrance into H7A is decided on the basis of performance on an examination given during the first week of class or the consent of the instructor, and into H7B-H7C on performance in previous courses",0
